,Product,Origin,Destination,OriginStationarity,DestinationStationarity,diffLength
0,Cow Peas,Kamembe,Bujumbura,1,1,0
0,Cow Peas,Kamembe,Kigali,1,1,0
0,Cow Peas,Kamembe,Ngozi,1,1,0
0,Cow Peas,Kamembe,Rubavu,1,1,0
0,Cow Peas,Kamembe,Ruhuha,1,1,0
0,Cow Peas,Kampala,Busia,1,1,0
0,Cow Peas,Kampala,Kasese,1,1,0
0,Cow Peas,Kampala,Masindi,1,1,12
0,Cow Peas,Kampala,Mbale,1,1,0
0,Cow Peas,Kampala,Musoma,1,1,0
0,Cow Peas,Kampala,Soroti,1,1,0
0,Cow Peas,Kampala,Tororo,1,1,0
0,Cow Peas,Kapchorwa,Kitale,1,1,13
0,Cow Peas,Kapchorwa,Mbale,1,1,0
0,Cow Peas,Kasese,Kabale,1,1,0
0,Cow Peas,Kasese,Kampala,1,1,0
0,Cow Peas,Kasese,Masindi,1,1,30
0,Cow Peas,Kasese,Ruhengeri,1,1,0
0,Cow Peas,Kicukiro,Kigali,1,1,0
0,Cow Peas,Kigali,Gicumbi,1,1,13
0,Cow Peas,Kigali,Kamembe,1,1,0
0,Cow Peas,Kigali,Kicukiro,1,1,0
0,Cow Peas,Kigali,Kobero,1,1,0
0,Cow Peas,Kigali,Ngozi,1,1,0
0,Cow Peas,Kigali,Ruhengeri,1,1,12
0,Cow Peas,Kigali,Ruhuha,1,1,0
0,Cow Peas,Kigoma,Arusha,1,1,9
0,Cow Peas,Kigoma,Bujumbura,1,1,0
0,Cow Peas,Kigoma,Gitega,1,1,0
0,Cow Peas,Kigoma,Kobero,1,1,0
0,Cow Peas,Kigoma,Mbeya,1,1,0
0,Cow Peas,Kigoma,Mwanza,1,1,0
0,Cow Peas,Kigoma,Tunduma,1,1,0
0,Cow Peas,Kisumu,Busia,1,1,0
0,Cow Peas,Kisumu,Eldoret,1,1,73
0,Cow Peas,Kisumu,Kitale,1,1,0
0,Cow Peas,Kisumu,Musoma,1,1,0
0,Cow Peas,Kisumu,Nakuru,1,1,4
0,Cow Peas,Kisumu,Tororo,1,1,0
0,Cow Peas,Kitale,Busia,1,1,0
0,Cow Peas,Kitale,Eldoret,1,1,12
0,Cow Peas,Kitale,Kapchorwa,1,1,13
0,Cow Peas,Kitale,Kisumu,1,1,0
0,Cow Peas,Kitale,Mbale,1,1,0
0,Cow Peas,Kitale,Tororo,1,1,0
0,Cow Peas,Kobero,Gitega,1,1,0
0,Cow Peas,Kobero,Kigali,1,1,0
0,Cow Peas,Kobero,Kigoma,1,1,0
0,Cow Peas,Kobero,Mwanza,1,1,0
0,Cow Peas,Kobero,Ngozi,1,1,0
0,Cow Peas,Kobero,Ruhuha,1,1,0
0,Cow Peas,Lira,Gulu,1,1,13
0,Cow Peas,Lira,Masindi,1,1,12
0,Cow Peas,Lira,Soroti,1,1,0
0,Cow Peas,Machakos,Arusha,1,1,33
0,Cow Peas,Machakos,Makueni,1,1,56
0,Cow Peas,Machakos,Meru,1,1,35
0,Cow Peas,Machakos,Mombasa,1,1,64
0,Cow Peas,Machakos,Moshi,1,1,0
0,Cow Peas,Machakos,Nairobi,1,1,26
0,Cow Peas,Makueni,Arusha,1,1,29
0,Cow Peas,Makueni,Machakos,1,1,56
0,Cow Peas,Makueni,Meru,1,1,39
0,Cow Peas,Makueni,Mombasa,1,1,71
0,Cow Peas,Makueni,Moshi,1,1,0
0,Cow Peas,Makueni,Nairobi,1,1,22
0,Cow Peas,Masindi,Gulu,1,1,61
0,Cow Peas,Masindi,Kampala,1,1,12
0,Cow Peas,Masindi,Kasese,1,1,30
0,Cow Peas,Masindi,Lira,1,1,12
0,Cow Peas,Mbale,Kampala,1,1,0
0,Cow Peas,Mbale,Kapchorwa,1,1,0
0,Cow Peas,Mbale,Kitale,1,1,0
0,Cow Peas,Mbale,Soroti,1,1,38
0,Cow Peas,Mbale,Tororo,1,1,0
0,Cow Peas,Mbeya,Dodoma,1,1,0
0,Cow Peas,Mbeya,Iringa,1,1,3
0,Cow Peas,Mbeya,Kigoma,1,1,0
0,Cow Peas,Mbeya,Mwanza,1,1,0
0,Cow Peas,Mbeya,Songea,1,1,0
0,Cow Peas,Mbeya,Tunduma,1,1,0
0,Cow Peas,Meru,Eldoret,1,1,52
0,Cow Peas,Meru,Machakos,1,1,35
0,Cow Peas,Meru,Makueni,1,1,39
0,Cow Peas,Meru,Nairobi,1,1,31
0,Cow Peas,Meru,Nakuru,1,1,6
0,Cow Peas,Mombasa,Machakos,1,1,64
0,Cow Peas,Mombasa,Makueni,1,1,71
0,Cow Peas,Mombasa,Moshi,1,1,0
0,Cow Peas,Mombasa,Nairobi,1,1,34
0,Cow Peas,Mombasa,Tanga,1,1,0
0,Cow Peas,Morogoro,Arusha,1,1,0
0,Cow Peas,Morogoro,Dar es salaam,1,1,0
0,Cow Peas,Morogoro,Dodoma,1,1,0
0,Cow Peas,Morogoro,Iringa,1,1,0
0,Cow Peas,Morogoro,Moshi,1,1,0
0,Cow Peas,Morogoro,Tanga,1,1,0
0,Cow Peas,Moshi,Arusha,1,1,0
0,Cow Peas,Moshi,Dar es salaam,1,1,0
0,Cow Peas,Moshi,Machakos,1,1,0
0,Cow Peas,Moshi,Makueni,1,1,0
0,Cow Peas,Moshi,Mombasa,1,1,0
0,Cow Peas,Moshi,Morogoro,1,1,0
0,Cow Peas,Moshi,Nairobi,1,1,0
0,Cow Peas,Moshi,Tanga,1,1,0
0,Cow Peas,Mulindi,Gicumbi,1,1,0
0,Cow Peas,Mulindi,Kabale,1,1,0
0,Cow Peas,Mulindi,Ruhengeri,1,1,0
0,Cow Peas,Musoma,Arusha,1,1,0
0,Cow Peas,Musoma,Kampala,1,1,0
0,Cow Peas,Musoma,Kisumu,1,1,0
0,Cow Peas,Musoma,Mwanza,1,1,0
0,Cow Peas,Musoma,Nairobi,1,1,0
0,Cow Peas,Musoma,Nakuru,1,1,0
0,Cow Peas,Mwanza,Arusha,1,1,23
0,Cow Peas,Mwanza,Dodoma,1,1,0
0,Cow Peas,Mwanza,Gitega,1,1,0
0,Cow Peas,Mwanza,Kigoma,1,1,0
0,Cow Peas,Mwanza,Kobero,1,1,0
0,Cow Peas,Mwanza,Mbeya,1,1,0
0,Cow Peas,Mwanza,Musoma,1,1,0
0,Cow Peas,Nairobi,Arusha,1,1,37
0,Cow Peas,Nairobi,Machakos,1,1,26
0,Cow Peas,Nairobi,Makueni,1,1,22
0,Cow Peas,Nairobi,Meru,1,1,31
0,Cow Peas,Nairobi,Mombasa,1,1,34
0,Cow Peas,Nairobi,Moshi,1,1,0
0,Cow Peas,Nairobi,Musoma,1,1,0
0,Cow Peas,Nairobi,Nakuru,1,1,14
0,Cow Peas,Nakuru,Eldoret,1,1,17
0,Cow Peas,Nakuru,Kisumu,1,1,4
0,Cow Peas,Nakuru,Meru,1,1,6
0,Cow Peas,Nakuru,Musoma,1,1,0
0,Cow Peas,Nakuru,Nairobi,1,1,14
0,Cow Peas,Ngozi,Bujumbura,1,1,0
0,Cow Peas,Ngozi,Gitega,1,1,0
0,Cow Peas,Ngozi,Kamembe,1,1,0
0,Cow Peas,Ngozi,Kigali,1,1,0
0,Cow Peas,Ngozi,Kobero,1,1,0
0,Cow Peas,Ngozi,Rubavu,1,1,0
0,Cow Peas,Ngozi,Ruhuha,1,1,0
0,Cow Peas,Rubavu,Kamembe,1,1,0
0,Cow Peas,Rubavu,Ngozi,1,1,0
0,Cow Peas,Rubavu,Ruhengeri,1,1,0
0,Cow Peas,Ruhengeri,Gicumbi,1,1,11
0,Cow Peas,Ruhengeri,Kabale,1,1,9
0,Cow Peas,Ruhengeri,Kasese,1,1,0
0,Cow Peas,Ruhengeri,Kigali,1,1,12
0,Cow Peas,Ruhengeri,Mulindi,1,1,0
0,Cow Peas,Ruhengeri,Rubavu,1,1,0
0,Cow Peas,Ruhuha,Kamembe,1,1,0
0,Cow Peas,Ruhuha,Kigali,1,1,0
0,Cow Peas,Ruhuha,Kobero,1,1,0
0,Cow Peas,Ruhuha,Ngozi,1,1,0
0,Cow Peas,Songea,Dar es salaam,1,1,0
0,Cow Peas,Songea,Iringa,1,1,0
0,Cow Peas,Songea,Mbeya,1,1,0
0,Cow Peas,Soroti,Kampala,1,1,0
0,Cow Peas,Soroti,Lira,1,1,0
0,Cow Peas,Soroti,Mbale,1,1,38
0,Cow Peas,Tanga,Dar es salaam,1,1,0
0,Cow Peas,Tanga,Mombasa,1,1,0
0,Cow Peas,Tanga,Morogoro,1,1,0
0,Cow Peas,Tanga,Moshi,1,1,0
0,Cow Peas,Tororo,Busia,1,1,0
0,Cow Peas,Tororo,Eldoret,1,1,0
0,Cow Peas,Tororo,Kampala,1,1,0
0,Cow Peas,Tororo,Kisumu,1,1,0
0,Cow Peas,Tororo,Kitale,1,1,0
0,Cow Peas,Tororo,Mbale,1,1,0
0,Cow Peas,Tunduma,Kigoma,1,1,0
0,Cow Peas,Tunduma,Mbeya,1,1,0
0,Green Grams,Arusha,Dodoma,1,1,0
0,Green Grams,Arusha,Kigoma,1,1,10
0,Green Grams,Arusha,Machakos,1,1,65
0,Green Grams,Arusha,Makueni,1,1,57
0,Green Grams,Arusha,Morogoro,1,1,0
0,Green Grams,Arusha,Moshi,1,1,0
0,Green Grams,Arusha,Musoma,1,1,0
0,Green Grams,Arusha,Mwanza,1,1,23
0,Green Grams,Arusha,Nairobi,1,1,77
0,Green Grams,Bujumbura,Gitega,1,1,0
0,Green Grams,Bujumbura,Kamembe,1,1,0
0,Green Grams,Bujumbura,Kigoma,1,1,0
0,Green Grams,Bujumbura,Ngozi,1,1,0
0,Green Grams,Busia,Eldoret,1,1,58
0,Green Grams,Busia,Kampala,1,1,0
0,Green Grams,Busia,Kisumu,1,1,58
0,Green Grams,Busia,Kitale,1,1,0
0,Green Grams,Busia,Tororo,1,1,32
0,Green Grams,Dar es salaam,Morogoro,1,1,0
0,Green Grams,Dar es salaam,Moshi,1,1,0
0,Green Grams,Dar es salaam,Songea,1,1,0
0,Green Grams,Dar es salaam,Tanga,1,1,0
0,Green Grams,Dodoma,Arusha,1,1,0
0,Green Grams,Dodoma,Iringa,1,1,0
0,Green Grams,Dodoma,Mbeya,1,1,0
0,Green Grams,Dodoma,Morogoro,1,1,0
0,Green Grams,Dodoma,Mwanza,1,1,0
0,Green Grams,Eldoret,Busia,1,1,58
0,Green Grams,Eldoret,Kisumu,1,1,87
0,Green Grams,Eldoret,Kitale,1,1,12
0,Green Grams,Eldoret,Meru,1,1,50
0,Green Grams,Eldoret,Nakuru,1,1,90
0,Green Grams,Eldoret,Tororo,1,1,48
0,Green Grams,Gicumbi,Kigali,1,1,0
0,Green Grams,Gicumbi,Mulindi,1,1,0
0,Green Grams,Gicumbi,Ruhengeri,1,1,0
0,Green Grams,Gitega,Bujumbura,1,1,0
0,Green Grams,Gitega,Kigoma,1,1,0
0,Green Grams,Gitega,Kobero,1,1,0
0,Green Grams,Gitega,Mwanza,1,1,0
0,Green Grams,Gitega,Ngozi,1,1,0
0,Green Grams,Gulu,Lira,1,1,60
0,Green Grams,Gulu,Masindi,1,1,43
0,Green Grams,Iringa,Dodoma,1,1,0
0,Green Grams,Iringa,Mbeya,1,1,0
0,Green Grams,Iringa,Morogoro,1,1,0
0,Green Grams,Iringa,Songea,1,1,0
0,Green Grams,Kabale,Kasese,1,1,0
0,Green Grams,Kabale,Mulindi,1,1,0
0,Green Grams,Kabale,Ruhengeri,1,1,0
0,Green Grams,Kamembe,Bujumbura,1,1,0
0,Green Grams,Kamembe,Kigali,1,1,0
0,Green Grams,Kamembe,Ngozi,1,1,0
0,Green Grams,Kamembe,Rubavu,1,1,0
0,Green Grams,Kamembe,Ruhuha,1,1,0
0,Green Grams,Kampala,Busia,1,1,0
0,Green Grams,Kampala,Kasese,1,1,0
0,Green Grams,Kampala,Masindi,1,1,3
0,Green Grams,Kampala,Mbale,1,1,0
0,Green Grams,Kampala,Musoma,1,1,0
0,Green Grams,Kampala,Soroti,1,1,0
0,Green Grams,Kampala,Tororo,1,1,0
0,Green Grams,Kapchorwa,Kitale,1,1,0
0,Green Grams,Kapchorwa,Mbale,1,1,0
0,Green Grams,Kasese,Kabale,1,1,0
0,Green Grams,Kasese,Kampala,1,1,0
0,Green Grams,Kasese,Masindi,1,1,2
0,Green Grams,Kasese,Ruhengeri,1,1,0
0,Green Grams,Kicukiro,Kigali,1,1,0
0,Green Grams,Kigali,Gicumbi,1,1,0
0,Green Grams,Kigali,Kamembe,1,1,0
0,Green Grams,Kigali,Kicukiro,1,1,0
0,Green Grams,Kigali,Kobero,1,1,0
0,Green Grams,Kigali,Ngozi,1,1,0
0,Green Grams,Kigali,Ruhengeri,1,1,0
0,Green Grams,Kigali,Ruhuha,1,1,0
0,Green Grams,Kigoma,Arusha,1,1,10
0,Green Grams,Kigoma,Bujumbura,1,1,0
0,Green Grams,Kigoma,Gitega,1,1,0
0,Green Grams,Kigoma,Kobero,1,1,0
0,Green Grams,Kigoma,Mbeya,1,1,0
0,Green Grams,Kigoma,Mwanza,1,1,0
0,Green Grams,Kigoma,Tunduma,1,1,0
0,Green Grams,Kisumu,Busia,1,1,58
0,Green Grams,Kisumu,Eldoret,1,1,87
0,Green Grams,Kisumu,Kitale,1,1,4
0,Green Grams,Kisumu,Musoma,1,1,0
0,Green Grams,Kisumu,Nakuru,1,1,81
0,Green Grams,Kisumu,Tororo,1,1,48
0,Green Grams,Kitale,Busia,1,1,0
0,Green Grams,Kitale,Eldoret,1,1,12
0,Green Grams,Kitale,Kapchorwa,1,1,0
0,Green Grams,Kitale,Kisumu,1,1,4
0,Green Grams,Kitale,Mbale,1,1,0
0,Green Grams,Kitale,Tororo,1,1,0
0,Green Grams,Kobero,Gitega,1,1,0
0,Green Grams,Kobero,Kigali,1,1,0
0,Green Grams,Kobero,Kigoma,1,1,0
0,Green Grams,Kobero,Mwanza,1,1,0
0,Green Grams,Kobero,Ngozi,1,1,0
0,Green Grams,Kobero,Ruhuha,1,1,0
0,Green Grams,Lira,Gulu,1,1,60
0,Green Grams,Lira,Masindi,1,1,50
0,Green Grams,Lira,Soroti,1,1,51
0,Green Grams,Machakos,Arusha,1,1,65
0,Green Grams,Machakos,Makueni,1,1,58
0,Green Grams,Machakos,Meru,1,1,38
0,Green Grams,Machakos,Mombasa,1,1,69
0,Green Grams,Machakos,Moshi,1,1,0
0,Green Grams,Machakos,Nairobi,1,1,65
0,Green Grams,Makueni,Arusha,1,1,57
0,Green Grams,Makueni,Machakos,1,1,58
0,Green Grams,Makueni,Meru,1,1,40
0,Green Grams,Makueni,Mombasa,1,1,70
0,Green Grams,Makueni,Moshi,1,1,0
0,Green Grams,Makueni,Nairobi,1,1,65
0,Green Grams,Masindi,Gulu,1,1,43
0,Green Grams,Masindi,Kampala,1,1,3
0,Green Grams,Masindi,Kasese,1,1,2
0,Green Grams,Masindi,Lira,1,1,50
0,Green Grams,Mbale,Kampala,1,1,0
0,Green Grams,Mbale,Kapchorwa,1,1,0
0,Green Grams,Mbale,Kitale,1,1,0
0,Green Grams,Mbale,Soroti,1,1,51
0,Green Grams,Mbale,Tororo,1,1,45
0,Green Grams,Mbeya,Dodoma,1,1,0
0,Green Grams,Mbeya,Iringa,1,1,0
0,Green Grams,Mbeya,Kigoma,1,1,0
0,Green Grams,Mbeya,Mwanza,1,1,0
0,Green Grams,Mbeya,Songea,1,1,0
0,Green Grams,Mbeya,Tunduma,1,1,0
0,Green Grams,Meru,Eldoret,1,1,50
0,Green Grams,Meru,Machakos,1,1,38
0,Green Grams,Meru,Makueni,1,1,40
0,Green Grams,Meru,Nairobi,1,1,45
0,Green Grams,Meru,Nakuru,1,1,47
0,Green Grams,Mombasa,Machakos,1,1,69
0,Green Grams,Mombasa,Makueni,1,1,70
0,Green Grams,Mombasa,Moshi,1,1,0
0,Green Grams,Mombasa,Nairobi,1,1,87
0,Green Grams,Mombasa,Tanga,1,1,0
0,Green Grams,Morogoro,Arusha,1,1,0
0,Green Grams,Morogoro,Dar es salaam,1,1,0
0,Green Grams,Morogoro,Dodoma,1,1,0
0,Green Grams,Morogoro,Iringa,1,1,0
0,Green Grams,Morogoro,Moshi,1,1,0
0,Green Grams,Morogoro,Tanga,1,1,0
0,Green Grams,Moshi,Arusha,1,1,0
0,Green Grams,Moshi,Dar es salaam,1,1,0
0,Green Grams,Moshi,Machakos,1,1,0
0,Green Grams,Moshi,Makueni,1,1,0
0,Green Grams,Moshi,Mombasa,1,1,0
0,Green Grams,Moshi,Morogoro,1,1,0
0,Green Grams,Moshi,Nairobi,1,1,0
0,Green Grams,Moshi,Tanga,1,1,0
0,Green Grams,Mulindi,Gicumbi,1,1,0
0,Green Grams,Mulindi,Kabale,1,1,0
0,Green Grams,Mulindi,Ruhengeri,1,1,0
0,Green Grams,Musoma,Arusha,1,1,0
0,Green Grams,Musoma,Kampala,1,1,0
0,Green Grams,Musoma,Kisumu,1,1,0
0,Green Grams,Musoma,Mwanza,1,1,0
0,Green Grams,Musoma,Nairobi,1,1,0
0,Green Grams,Musoma,Nakuru,1,1,0
0,Green Grams,Mwanza,Arusha,1,1,23
0,Green Grams,Mwanza,Dodoma,1,1,0
0,Green Grams,Mwanza,Gitega,1,1,0
0,Green Grams,Mwanza,Kigoma,1,1,0
0,Green Grams,Mwanza,Kobero,1,1,0
0,Green Grams,Mwanza,Mbeya,1,1,0
0,Green Grams,Mwanza,Musoma,1,1,0
0,Green Grams,Nairobi,Arusha,1,1,77
0,Green Grams,Nairobi,Machakos,1,1,65
0,Green Grams,Nairobi,Makueni,1,1,65
0,Green Grams,Nairobi,Meru,1,1,45
0,Green Grams,Nairobi,Mombasa,1,1,87
0,Green Grams,Nairobi,Moshi,1,1,0
0,Green Grams,Nairobi,Musoma,1,1,0
0,Green Grams,Nairobi,Nakuru,1,1,87
0,Green Grams,Nakuru,Eldoret,1,1,90
0,Green Grams,Nakuru,Kisumu,1,1,81
0,Green Grams,Nakuru,Meru,1,1,47
0,Green Grams,Nakuru,Musoma,1,1,0
0,Green Grams,Nakuru,Nairobi,1,1,87
0,Green Grams,Ngozi,Bujumbura,1,1,0
0,Green Grams,Ngozi,Gitega,1,1,0
0,Green Grams,Ngozi,Kamembe,1,1,0
0,Green Grams,Ngozi,Kigali,1,1,0
0,Green Grams,Ngozi,Kobero,1,1,0
0,Green Grams,Ngozi,Rubavu,1,1,0
0,Green Grams,Ngozi,Ruhuha,1,1,0
0,Green Grams,Rubavu,Kamembe,1,1,0
0,Green Grams,Rubavu,Ngozi,1,1,0
0,Green Grams,Rubavu,Ruhengeri,1,1,0
0,Green Grams,Ruhengeri,Gicumbi,1,1,0
0,Green Grams,Ruhengeri,Kabale,1,1,0
0,Green Grams,Ruhengeri,Kasese,1,1,0
0,Green Grams,Ruhengeri,Kigali,1,1,0
0,Green Grams,Ruhengeri,Mulindi,1,1,0
0,Green Grams,Ruhengeri,Rubavu,1,1,0
0,Green Grams,Ruhuha,Kamembe,1,1,0
0,Green Grams,Ruhuha,Kigali,1,1,0
0,Green Grams,Ruhuha,Kobero,1,1,0
0,Green Grams,Ruhuha,Ngozi,1,1,0
0,Green Grams,Songea,Dar es salaam,1,1,0
0,Green Grams,Songea,Iringa,1,1,0
0,Green Grams,Songea,Mbeya,1,1,0
0,Green Grams,Soroti,Kampala,1,1,0
0,Green Grams,Soroti,Lira,1,1,51
0,Green Grams,Soroti,Mbale,1,1,51
0,Green Grams,Tanga,Dar es salaam,1,1,0
0,Green Grams,Tanga,Mombasa,1,1,0
0,Green Grams,Tanga,Morogoro,1,1,0
0,Green Grams,Tanga,Moshi,1,1,0
0,Green Grams,Tororo,Busia,1,1,32
0,Green Grams,Tororo,Eldoret,1,1,48
0,Green Grams,Tororo,Kampala,1,1,0
0,Green Grams,Tororo,Kisumu,1,1,48
0,Green Grams,Tororo,Kitale,1,1,0
0,Green Grams,Tororo,Mbale,1,1,45
0,Green Grams,Tunduma,Kigoma,1,1,0
0,Green Grams,Tunduma,Mbeya,1,1,0
0,Green Peas,Arusha,Dodoma,1,1,0
0,Green Peas,Arusha,Kigoma,1,1,12
0,Green Peas,Arusha,Machakos,1,1,0
0,Green Peas,Arusha,Makueni,1,1,0
0,Green Peas,Arusha,Morogoro,1,1,0
0,Green Peas,Arusha,Moshi,1,1,0
0,Green Peas,Arusha,Musoma,1,1,0
0,Green Peas,Arusha,Mwanza,1,1,14
0,Green Peas,Arusha,Nairobi,1,1,28
0,Green Peas,Bujumbura,Gitega,1,1,86
0,Green Peas,Bujumbura,Kamembe,1,1,48
0,Green Peas,Bujumbura,Kigoma,1,1,10
0,Green Peas,Bujumbura,Ngozi,1,1,86
0,Green Peas,Busia,Eldoret,1,1,0
0,Green Peas,Busia,Kampala,1,1,0
0,Green Peas,Busia,Kisumu,1,1,0
0,Green Peas,Busia,Kitale,1,1,0
0,Green Peas,Busia,Tororo,1,1,0
0,Green Peas,Dar es salaam,Morogoro,1,1,0
0,Green Peas,Dar es salaam,Moshi,1,1,0
0,Green Peas,Dar es salaam,Songea,1,1,0
0,Green Peas,Dar es salaam,Tanga,1,1,0
0,Green Peas,Dodoma,Arusha,1,1,0
0,Green Peas,Dodoma,Iringa,1,1,0
0,Green Peas,Dodoma,Mbeya,1,1,0
0,Green Peas,Dodoma,Morogoro,1,1,0
0,Green Peas,Dodoma,Mwanza,1,1,0
0,Green Peas,Eldoret,Busia,1,1,0
0,Green Peas,Eldoret,Kisumu,1,1,7
0,Green Peas,Eldoret,Kitale,1,1,11
0,Green Peas,Eldoret,Meru,1,1,21
0,Green Peas,Eldoret,Nakuru,1,1,22
0,Green Peas,Eldoret,Tororo,1,1,0
0,Green Peas,Gicumbi,Kigali,1,1,11
0,Green Peas,Gicumbi,Mulindi,1,1,0
0,Green Peas,Gicumbi,Ruhengeri,1,1,11
0,Green Peas,Gitega,Bujumbura,1,1,86
0,Green Peas,Gitega,Kigoma,1,1,12
0,Green Peas,Gitega,Kobero,1,1,12
0,Green Peas,Gitega,Mwanza,1,1,24
0,Green Peas,Gitega,Ngozi,1,1,95
0,Green Peas,Gulu,Lira,1,1,12
0,Green Peas,Gulu,Masindi,1,1,12
0,Green Peas,Iringa,Dodoma,1,1,0
0,Green Peas,Iringa,Mbeya,1,1,0
0,Green Peas,Iringa,Morogoro,1,1,0
0,Green Peas,Iringa,Songea,1,1,0
0,Green Peas,Kabale,Kasese,1,1,0
0,Green Peas,Kabale,Mulindi,1,1,0
0,Green Peas,Kabale,Ruhengeri,1,1,9
0,Green Peas,Kamembe,Bujumbura,1,1,48
0,Green Peas,Kamembe,Kigali,1,1,0
0,Green Peas,Kamembe,Ngozi,1,1,54
0,Green Peas,Kamembe,Rubavu,1,1,54
0,Green Peas,Kamembe,Ruhuha,1,1,18
0,Green Peas,Kampala,Busia,1,1,0
0,Green Peas,Kampala,Kasese,1,1,0
0,Green Peas,Kampala,Masindi,1,1,10
0,Green Peas,Kampala,Mbale,1,1,0
0,Green Peas,Kampala,Musoma,1,1,0
0,Green Peas,Kampala,Soroti,1,1,0
0,Green Peas,Kampala,Tororo,1,1,0
0,Green Peas,Kapchorwa,Kitale,1,1,8
0,Green Peas,Kapchorwa,Mbale,1,1,0
0,Green Peas,Kasese,Kabale,1,1,0
0,Green Peas,Kasese,Kampala,1,1,0
0,Green Peas,Kasese,Masindi,1,1,11
0,Green Peas,Kasese,Ruhengeri,1,1,0
0,Green Peas,Kicukiro,Kigali,1,1,0
0,Green Peas,Kigali,Gicumbi,1,1,11
0,Green Peas,Kigali,Kamembe,1,1,0
0,Green Peas,Kigali,Kicukiro,1,1,0
0,Green Peas,Kigali,Kobero,1,1,10
0,Green Peas,Kigali,Ngozi,1,1,10
0,Green Peas,Kigali,Ruhengeri,1,1,11
0,Green Peas,Kigali,Ruhuha,1,1,0
0,Green Peas,Kigoma,Arusha,1,1,12
0,Green Peas,Kigoma,Bujumbura,1,1,10
0,Green Peas,Kigoma,Gitega,1,1,12
0,Green Peas,Kigoma,Kobero,1,1,12
0,Green Peas,Kigoma,Mbeya,1,1,0
0,Green Peas,Kigoma,Mwanza,1,1,0
0,Green Peas,Kigoma,Tunduma,1,1,0
0,Green Peas,Kisumu,Busia,1,1,0
0,Green Peas,Kisumu,Eldoret,1,1,7
0,Green Peas,Kisumu,Kitale,1,1,4
0,Green Peas,Kisumu,Musoma,1,1,0
0,Green Peas,Kisumu,Nakuru,1,1,4
0,Green Peas,Kisumu,Tororo,1,1,0
0,Green Peas,Kitale,Busia,1,1,0
0,Green Peas,Kitale,Eldoret,1,1,11
0,Green Peas,Kitale,Kapchorwa,1,1,8
0,Green Peas,Kitale,Kisumu,1,1,4
0,Green Peas,Kitale,Mbale,1,1,0
0,Green Peas,Kitale,Tororo,1,1,0
0,Green Peas,Kobero,Gitega,1,1,12
0,Green Peas,Kobero,Kigali,1,1,10
0,Green Peas,Kobero,Kigoma,1,1,12
0,Green Peas,Kobero,Mwanza,1,1,0
0,Green Peas,Kobero,Ngozi,1,1,12
0,Green Peas,Kobero,Ruhuha,1,1,0
