,Product,Origin,Destination,OriginStationarity,DestinationStationarity,diffLength
0,Cow Peas,Arusha,Dodoma,1,1,0
0,Cow Peas,Arusha,Kigoma,1,1,9
0,Cow Peas,Arusha,Machakos,1,1,33
0,Cow Peas,Arusha,Makueni,1,1,29
0,Cow Peas,Arusha,Morogoro,1,1,0
0,Cow Peas,Arusha,Moshi,1,1,0
0,Cow Peas,Arusha,Musoma,1,1,0
0,Cow Peas,Arusha,Mwanza,1,1,23
0,Cow Peas,Arusha,Nairobi,1,1,37
0,Cow Peas,Bujumbura,Gitega,1,1,0
0,Cow Peas,Bujumbura,Kamembe,1,1,0
0,Cow Peas,Bujumbura,Kigoma,1,1,0
0,Cow Peas,Bujumbura,Ngozi,1,1,0
0,Cow Peas,Busia,Eldoret,1,1,0
0,Cow Peas,Busia,Kampala,1,1,0
0,Cow Peas,Busia,Kisumu,1,1,0
0,Cow Peas,Busia,Kitale,1,1,0
0,Cow Peas,Busia,Tororo,1,1,0
0,Cow Peas,Dar es salaam,Morogoro,1,1,0
0,Cow Peas,Dar es salaam,Moshi,1,1,0
0,Cow Peas,Dar es salaam,Songea,1,1,0
0,Cow Peas,Dar es salaam,Tanga,1,1,0
0,Cow Peas,Dodoma,Arusha,1,1,0
0,Cow Peas,Dodoma,Iringa,1,1,0
0,Cow Peas,Dodoma,Mbeya,1,1,0
0,Cow Peas,Dodoma,Morogoro,1,1,0
0,Cow Peas,Dodoma,Mwanza,1,1,0
0,Cow Peas,Eldoret,Busia,1,1,0
0,Cow Peas,Eldoret,Kisumu,1,1,73
0,Cow Peas,Eldoret,Kitale,1,1,12
0,Cow Peas,Eldoret,Meru,1,1,52
0,Cow Peas,Eldoret,Nakuru,1,1,17
0,Cow Peas,Eldoret,Tororo,1,1,0
0,Cow Peas,Gicumbi,Kigali,1,1,13
0,Cow Peas,Gicumbi,Mulindi,1,1,0
0,Cow Peas,Gicumbi,Ruhengeri,1,1,11
0,Cow Peas,Gitega,Bujumbura,1,1,0
0,Cow Peas,Gitega,Kigoma,1,1,0
0,Cow Peas,Gitega,Kobero,1,1,0
0,Cow Peas,Gitega,Mwanza,1,1,0
0,Cow Peas,Gitega,Ngozi,1,1,0
0,Cow Peas,Gulu,Lira,1,1,13
0,Cow Peas,Gulu,Masindi,1,1,61
0,Cow Peas,Iringa,Dodoma,1,1,0
0,Cow Peas,Iringa,Mbeya,1,1,3
0,Cow Peas,Iringa,Morogoro,1,1,0
0,Cow Peas,Iringa,Songea,1,1,0
0,Cow Peas,Kabale,Kasese,1,1,0
0,Cow Peas,Kabale,Mulindi,1,1,0
0,Cow Peas,Kabale,Ruhengeri,1,1,9
