,Nakuru,Kampala
0,6.269643121194631,5.969865126935269
1,6.271738240300797,5.8855170059367845
2,6.1775682141919575,5.958950814007155
3,6.065022496009283,5.955617794596877
4,6.163987426248881,5.9640798968472035
5,6.2555229799993395,5.916258313000828
6,6.164652539769697,5.984397783085841
7,6.266657541376189,6.0087147913069865
8,6.269322468996456,5.992603814703873
9,6.260913208783499,5.928847986257203
10,6.255232722228788,6.000340059619703
11,6.338471865456233,5.998142305638953
12,6.33448335957486,5.986408941062014
13,6.408322700959061,6.059513895246804
14,6.411774645994671,6.206733056318419
15,6.346797217954415,6.178142286718774
16,6.409113110531074,5.931330274039128
17,6.406004268809988,5.971917235529052
18,6.402905062039947,6.038237994467524
19,6.39935031465575,6.135130873309249
20,6.225965838630675,6.18503626172917
21,6.220344771712386,6.245436340302469
22,6.45054822271013,6.303407971945689
23,6.4495104143997155,6.426360802458954
24,6.439159412503881,6.424294917311788
25,6.491377814802274,6.46784330130732
26,6.48015945940407,6.438182518753147
27,6.475256959020295,6.456406483124705
28,6.492448857128271,6.433756537325549
29,6.527492390219751,6.444134157483775
30,6.513609846560578,6.411815898740327
31,6.733790312209459,6.6167693122360465
32,6.827280321601237,6.609154152421307
33,6.832367126674707,6.651157472929973
34,6.51886252955458,6.598349920832463
35,6.523060158669789,6.528490626350559
36,6.523459192397635,6.122483898456167
37,6.51976849303224,6.177429919199405
38,6.449373265838694,6.219172051891497
39,6.588682253264534,6.221904564035328
40,6.647203635419596,6.21706955057843
41,6.649234530454639,6.260786644586643
42,6.530095537388278,6.25757878317172
43,6.533480223211691,6.0959569293486515
44,6.651323114272416,6.490122621510149
45,6.6509140830322275,6.202083936018567
46,6.616683259191621,6.199259239942363
47,6.636010161368536,6.20072944042185
48,6.5428810290214185,6.085991273891787
49,6.6260861632375025,6.093007630923488
50,6.571196457534675,6.091974649613189
51,6.5048931310893465,6.110455785799122
52,6.47051388598808,6.083188164709767
53,6.49820502613868,6.079821860869233
54,6.427546572685042,6.123893015909692
55,6.430702443773156,6.119565155834772
56,6.457837637091864,6.085738614760137
57,6.493245287333208,6.056185647326365
58,6.491488023834004,5.909885772883303
59,6.465465369464242,5.899323049235942
60,6.43717092672199,5.840267704300021
61,6.436294272020863,5.649097005083259
62,6.432990418353861,5.467431007872181
63,6.429675613045191,5.628345580121404
64,6.417267898358417,5.526399935507779
65,6.41855687214752,5.689119464595366
66,6.4225499004819016,5.69957371962666
67,6.42881924802643,5.700318809555521
68,6.424351125843935,5.778881477414169
69,6.411615967657628,5.824251725093439
70,6.4090365056953,5.860350561713563
71,6.431649536576872,5.798257397085895
72,6.475397051066472,5.865071969663276
73,6.418251928983971,5.870525719778315
74,6.41322660876446,5.948900478153654
75,6.407591212060947,5.856292101256782
76,6.395011114949591,5.783783672336026
77,6.3234286247653015,5.841175693608735
78,6.313983213879818,5.9040897218658595
79,6.387003774771569,6.012072877856533
80,6.383004351875905,6.016729375660117
81,6.381673373869312,6.017236747212243
82,6.366455302461724,6.031614643169441
83,6.351002057865671,6.138397671441232
84,6.252205775936364,6.033906762562189
85,6.282418809701479,5.917209673028302
86,6.319020384118148,5.706072661330043
87,6.2794359986692605,5.706978502181697
88,6.296659512544104,5.780334941770064
89,6.274654045926108,5.706477203017882
90,6.273126652807842,5.699239051090859
91,6.12692720928323,6.04807999073588
92,6.130131227149029,5.905718291584433
93,6.128281615454731,5.9037179594778175
94,6.1304956853001045,5.842217143333874
95,6.126025836353637,5.9312467090679695
96,6.127925118388319,5.840858504086831
97,6.1264923411749175,5.614840536866957
98,6.121759889965547,5.617571013347163
