,Ngozi,Rubavu
0,6.274015287068532,5.930995913042221
1,6.369134044251951,5.984085323282617
2,6.276161683759354,5.9242170766792706
3,6.364820103532932,5.870432929539245
4,6.367989462999362,5.996039937277953
5,6.363567750828419,5.992348544630131
6,6.358082072153762,5.989566770759652
7,6.261654122552297,5.9663437934060335
8,6.245282409995431,5.94885528903404
9,6.2384095299604425,5.964998531683107
10,6.230014936380357,5.877659946578954
11,6.228869104423331,5.672550481768117
12,6.313681937899138,5.7138634852441745
13,6.233045042035486,5.568306773757408
14,6.141727443695866,5.71917618161065
15,6.146922782984865,5.753511781008449
16,6.0467499218923075,5.78401688498536
17,6.052198560566379,5.813493322943517
18,6.013160074860922,5.593391776142832
19,6.000084065035526,5.468670580540359
20,5.9354275585128615,5.506565245794442
21,5.804897977400199,5.497126880373267
22,5.801812236955429,5.52577788358153
23,5.798297296527306,5.521324596645931
24,5.547036430877266,5.520275151566461
25,5.461644335296973,5.56039275999768
26,5.56306778546031,5.142064814345821
27,5.471353148921878,5.307103498620262
28,5.572823964055831,5.69774156698443
29,5.5777379765123305,5.22622286083673
30,5.486095427777976,5.301290062685486
31,5.6607107800765375,5.244679574454269
32,5.767163274813551,5.130268827670307
33,5.768670592030551,5.011338800119288
34,5.917726034587793,5.140733006248622
35,6.19468502525166,5.197753402801982
36,6.18781457811301,5.228884617989416
37,5.7636072881951055,5.35609549595004
38,5.800746835144563,5.360362795269934
39,6.053106908196236,5.368595747789457
40,6.130679026381403,5.384858722050264
41,6.133839127518489,5.446045746453948
42,5.718906462967478,5.489326195201016
43,5.88163779480016,5.39301627935272
44,5.473115000427939,5.280119199084031
45,5.35788509881904,5.452329909470558
46,5.3466568286844325,5.444418887112604
47,5.344411151746888,5.476472850497874
48,5.545029386719342,5.465165493275693
49,5.3552366962848295,5.544773838522187
50,5.471423843348001,5.5418503501851895
51,5.652946199520379,5.575094213106259
