,Tororo,Mbale
0,5.366612950491872,5.380096300829159
1,5.340941584956898,5.315108037028888
2,5.3145937976166415,5.24560092612969
3,5.295622821353832,5.28347200357132
4,5.291061483717872,5.291061483717872
5,5.348429982859414,5.334696527843346
6,5.549749753989781,5.492372641406479
7,5.610142423642327,5.5871529054176285
8,5.602991124233586,5.55801951760426
9,5.576141902958443,5.518558680276081
10,5.4923782278421704,5.458544154826388
11,5.423705056340891,5.426834949349819
12,5.360092855457803,5.404544618028637
13,5.454821743197266,5.454821743197266
14,5.5281612144275725,5.529090150862232
15,5.5139818386605155,5.532587026491551
16,5.555958906579959,5.554161960903257
17,5.635625854879024,5.6617284787816615
18,5.656488286964094,5.73312151298501
19,5.725621390378153,5.757206829097955
20,5.695102992115967,5.732843320098814
21,5.643596694341668,5.704078414783624
22,5.687556151203077,5.685238653062714
23,5.72931576756422,5.687940930497865
24,5.722318971851242,5.722318971851242
25,5.7813879192895,5.874231226657774
26,5.969114394466924,5.999119475863482
27,5.9628779560878975,5.996356259907167
28,5.964084995289282,5.991297558814167
29,5.983435180334269,5.983435180334269
30,6.007103365847976,6.022404210803276
31,6.029826072147289,5.938288464858283
32,5.797147848052577,5.629472606775861
33,5.1801395887336295,5.373399411927151
34,5.372561740665815,5.372561740665815
35,5.366130350325041,5.368581761113166
36,5.423792202869158,5.526976439104388
37,5.527474771622853,5.567445339952891
38,5.471308355088266,5.467556005469715
39,5.342139477487782,5.294200015198664
40,5.342936347741292,5.399799209635835
41,5.154580502417795,5.221686419060612
42,5.154315200331731,5.151747804826485
43,5.075605806730655,5.147636934939538
44,5.1529607047350146,5.1529607047350146
45,5.275061057675458,5.138928883350879
46,5.133677469568224,5.149262200584922
47,5.117816535418485,5.149232731651864
48,5.211709363575876,5.144268082780344
49,5.204488406774421,5.139302426889725
50,5.054234707216013,5.132759470328324
51,5.094273598728534,5.126191201696839
52,5.123795709372973,5.123795709372973
53,5.039616508713424,5.039616508713424
54,5.073983710502667,5.106418986255821
55,5.044143123349394,5.088471710456624
56,5.072644476051474,5.072644476051474
57,5.064955123696586,5.067713746135665
58,4.53969047128427,4.852632210495289
59,4.526104197836701,4.576458083982315
60,4.526622869038901,4.603064564538843
61,4.507543104770602,4.637137876021543
62,4.468255461410195,4.562665145881269
63,4.641371777279842,4.74422916271955
64,4.8450582667783735,4.752465479950549
65,4.943140500340458,4.943140500340458
66,4.944059829839408,4.944059829839408
67,4.8042179123373625,4.949208222765956
68,5.019239533194721,5.127453117834954
69,5.100216309973188,5.131306897043219
70,5.033716055574165,5.135136234020068
71,5.300741684808489,5.279048860197229
72,5.227376269354647,5.289896626335981
73,5.223509773156054,5.286030130137388
74,5.367203805187378,5.27784012457078
75,5.550062909233008,5.61253317730652
76,5.563053355337969,5.609203151428446
77,5.520292489346226,5.6081538451375605
