,Kabale,Mulindi
0,5.203928229729121,5.520255181400469
1,5.2333361911469645,5.661816553147137
2,5.301558139647146,5.628362039010801
3,5.482078561514354,5.624959600909211
4,5.483369914314137,5.624882215442379
5,5.472491270852649,5.635201908939239
6,5.516649026125994,5.550338028338687
7,5.558939057898939,5.465173630459656
8,5.543111377281961,5.490147941576294
9,5.461575991408508,5.631986117942213
10,5.424749442858798,5.58416485436128
11,5.4244927860608865,5.572260830406624
12,5.4528116922692424,5.59139861206696
13,5.5281612144275725,5.776637736633431
14,5.518665687972942,5.761590154294152
15,5.554161960903257,5.764392901832001
16,5.6520196646547,5.730855800119232
17,5.824222875226165,5.746202822475705
18,5.877637597676779,5.722576403498153
19,5.824780815424499,5.667216476381894
20,5.728175966362685,5.516176297940057
21,5.670435110422965,5.4520552445734545
22,5.72931576756422,5.423777151969351
23,5.722318971851242,5.392684330263794
24,5.7813879192895,5.294565084698854
25,5.998561595793225,5.489476938442125
26,5.996356259907167,5.66201197837778
27,6.037207260118245,5.676628596003036
28,6.043960600722122,5.69840076623483
29,6.050740776621751,5.846820261106045
30,6.061186601181437,5.831918598444783
31,5.940703961448439,5.910030184163604
32,5.630277136893386,5.753552369086058
33,5.431462011765542,5.602420850616872
34,5.425681877812573,5.565212615754572
35,5.528757383475383,5.463345642025259
36,5.6189089775824845,5.451231177126585
37,5.522414366021762,5.934226873016353
38,5.411983050855047,5.600286241203884
39,5.396779579762114,5.632276582630178
40,5.343733853503453,5.592870173957543
41,5.218853721469302,5.583170796389558
42,5.074221723464717,5.568991614788335
43,5.1529607047350146,5.394439712469995
44,5.223767763287908,5.370388466238035
45,5.101759866599919,5.347157499748326
46,5.149232731651864,5.288709020038852
47,5.290636622165547,5.228844529266213
48,5.27250993287174,5.232869415317401
49,5.135360252028382,5.197638295334497
50,5.192037767494425,5.142107435300787
51,5.189642275170559,5.107348798869858
52,5.116156585835759,5.123220521966893
53,5.173281931484947,5.135125024593336
54,5.176611628362781,5.195605581273852
55,5.194083822910968,5.14583535102414
56,5.206397133669616,5.203160925402773
57,4.774854509452604,5.22391072107835
58,4.670143568059638,5.195454600450221
59,4.751633834527906,5.193624403653985
60,4.522474967701403,4.94081529973908
61,4.514828111541494,4.908529306253067
62,4.544482826798079,4.929573199735533
63,4.74422916271955,4.947811658333048
64,4.960571153900218,4.968854076868145
65,5.037327715400159,5.054543575634109
66,5.098210509666667,5.1367025815830845
67,5.045633229887527,5.260499252312756
68,5.132568218501724,5.258215990420927
69,5.171312231656918,5.305714382026771
70,5.0776791789952815,5.306277101088684
71,5.334500164733444,5.297508060137905
72,5.344647141107389,5.280119199084031
73,5.223509773156054,5.267062842446847
74,5.3328222589881324,5.262835065505188
75,5.615633954984768,5.301949986189738
76,5.689843837951351,5.33928524738669
77,5.611264267551952,5.383422906042537
78,5.608661216689686,5.383816170331533
79,5.6230773360243065,5.380478745406587
80,5.624465696722833,5.4044184579211825
81,5.443426667039587,5.472979775476133
82,5.281682715893047,5.4922423319106874
83,5.39421279650503,5.505577188486587
84,5.441869527626314,5.544204704579903
85,5.5342315263643185,5.5792437990639705
