,Bujumbura,Kamembe
0,6.71097374466288,6.668131934783771
1,6.770984048656892,6.659685276645941
2,6.7692255363779195,6.661473185674499
3,6.758584576267968,6.664371981824951
4,6.8798199446699435,6.609791223047029
5,6.8107370397350895,6.636040277721459
6,6.8241284436619205,6.6686345813781935
7,6.82627098712563,6.638263000048744
8,6.822501815157606,6.613296546511881
9,6.765444714038118,6.635936872882846
10,6.75300676919163,6.6019454883193776
11,6.8035538105448605,6.617904918014925
12,6.811812505378781,6.579364834389938
13,6.7772194175308735,6.571979460215723
14,6.826391590315532,6.698403416153799
15,6.825951605237362,6.588560319819493
16,6.833640665230186,6.5968559726308165
17,6.832693598309452,6.66844318172644
18,6.840942183399497,6.667565375484248
19,6.8951567372032505,6.634503616026713
20,6.848377967024559,6.667517666091672
21,6.689997005984161,6.6649977390414215
22,6.692204024138941,6.654089976970547
23,6.694929666625103,6.64768824314714
24,6.746793259186641,6.637124385204231
25,6.626774874924381,6.625519477846792
26,6.587661069824696,6.619936885314041
27,6.5693264519857415,6.613240897846361
28,6.525872679612416,6.620132858649259
29,6.496356093703037,6.621963355424937
30,6.53558149323732,6.6291429863140285
31,6.5416770260208414,6.6329277937646305
32,6.512273945553212,6.624569017755475
33,6.515964564026483,6.552219850099193
34,6.525630241813561,6.615010084585146
35,6.534130367608763,6.61440822419771
36,6.568123787069351,6.623072924813738
37,6.57991836267975,6.6271712543631365
38,6.601327296532839,6.627558448366056
39,6.597690809386151,6.625638109899444
40,6.723268116769353,6.628151667380087
41,6.69385423156306,6.635309977675683
42,6.7711186218214765,6.6318422135796835
43,6.7120547500829515,6.630685246548976
44,6.717071861967251,6.627761300456787
45,6.721076389428976,6.627159197022407
46,6.713244325392688,6.6167917109748355
47,6.6959395101124795,6.603043946271333
48,6.686550347102294,6.590587029485908
49,6.674019411427988,6.5828194258391255
50,6.6717737344904435,6.577454808521302
51,6.647865408782689,6.563777781943802
52,6.623371444828051,6.565364921629401
53,6.613470412672955,6.563368698521016
