,Bujumbura,Rubavu
0,5.800053222391385,6.339168770196058
1,5.803574351104725,6.398322519768936
2,5.805781369259504,6.095316530794884
3,5.807993269119418,6.1583768022964795
4,5.906761112525855,6.188511945939813
5,5.932534200543064,6.155967213988995
6,5.798297296527306,6.193923108978489
7,5.855272586606483,6.2692660683425
8,6.049819425140857,6.3091539525461995
9,5.729389000907824,6.0091653020292055
10,5.656002995475424,5.942215786225738
11,5.660892982603596,6.075861221202065
12,5.5777379765123305,5.999235081840465
13,5.956972801072308,5.940666749077419
14,5.966014453878138,5.963512142491708
15,5.972952811434609,5.910850307619926
16,5.768670592030551,5.887764933429515
17,5.980210865697407,5.934024073803191
18,5.97198307253151,6.011883621748981
19,6.082552299107358,5.9984734940493025
20,6.242858566362501,6.061563160898026
21,6.098147157065265,6.0102314541191575
22,6.169882387092319,6.038944013384596
23,6.177789186618846,6.000480185945827
24,6.080391293075077,5.92525732648596
25,6.075581406906211,5.919927276580723
26,6.099257133675139,5.992831520120446
27,6.2604292235729275,5.9215112981320805
28,6.251521140128388,5.907984762102577
29,6.284402495559847,5.955982246065133
30,6.362199526295839,6.0191694960574775
31,6.328189702174075,5.936512306067896
32,6.2929823631602435,5.8864359900717345
33,6.247408348826111,6.051346186521179
34,6.040981947770994,6.002371348759317
