,Machakos,Mombasa
0,6.6438798453483585,6.867023396662568
1,6.645974964454524,6.639041435259668
2,6.653087024125803,6.653087024125803
3,6.639896049740655,6.649315271657147
4,6.631078370601248,6.72483087276059
5,6.562791194386278,6.691192740043291
6,6.558673564716479,6.5965392641123
7,6.642141817272417,6.603517199710777
8,6.644353091804366,6.6059231660199265
9,6.636621028557028,6.59809400287582
10,6.628910312900068,6.577943869308041
11,6.6244969367003845,6.492385998860153
12,6.623821061543903,6.489935121849543
13,6.61970505201614,6.485283742095189
14,6.618032368987572,6.485608908005724
15,6.616356883402047,6.476033686296057
16,6.617135250433609,6.483603857809086
17,6.614036043663568,6.481205495691599
18,6.6109272019424825,6.729262876463442
19,6.606127899326081,6.7246025457714955
20,6.600716001527368,6.717736287086098
21,6.595038221153797,6.713376658101881
22,6.588744974595147,6.551727346650982
23,6.582190495280729,6.546415361104011
24,6.57314099196354,6.634839946593034
25,6.620523118161618,6.658901150497279
26,6.665761376585466,6.650398343271557
27,6.656900779427753,6.7722955291145315
28,6.656551736270831,6.864786495515487
29,6.645415885178283,6.890342916202633
30,6.634071769966371,6.876239074259295
31,6.91999799368795,6.8291466611312694
32,6.91290825359272,6.790673700251545
33,6.918917142641159,6.876136802032304
34,6.9164661289917495,6.874203250480176
35,6.921298880389344,6.7449322539958025
36,6.840693871323289,6.548042844548321
37,6.637693422977616,6.626277773893939
38,6.632377649562559,6.739613538713513
39,6.642341637789341,6.744534192433729
40,6.632941201237457,6.637289944255953
41,6.544106889292635,6.482636796460079
42,6.633950856878744,6.5174922785628135
43,6.623656490330998,6.558296429881377
44,6.642193578858994,6.610022196494444
45,6.672984121029003,6.603315040793193
46,6.695339231698333,6.48084053462889
47,6.7157319947758065,6.4810681557712675
48,6.6354442258711,6.477527063248365
49,6.566953392770506,6.490754626020756
50,6.426866061584948,6.428200284598085
51,6.556072424785176,6.289574703000578
52,6.475108766062382,6.212359318307083
53,6.498915566713621,6.214149555482554
54,6.357925744754901,6.229110858361705
55,6.352847807536467,6.222394919139031
56,6.488495407646785,6.200813335195003
57,6.490604189903722,6.20312242554521
58,6.492708534554357,6.207115453879592
59,6.494862660343422,6.206344816844244
60,6.489478302761023,6.198849480123901
61,6.4760695667111605,6.187112796827379
62,6.534558994643471,6.13506405352181
63,6.570425394098724,6.187202434724281
64,6.582929713837039,6.343234545762916
65,6.595279604605138,6.342045789938428
66,6.6012381584511175,6.350872496844796
67,6.5957691844564295,6.538350743312149
68,6.589250736391131,6.5318975236804
69,6.616283758327989,6.460883859100299
70,6.679103068370451,6.456334821995906
71,6.670370760201973,6.5564785358549775
72,6.682706090693324,6.569547085641163
73,6.694891113024504,6.566436402953887
74,6.669688502111016,6.564438980404133
75,6.7561260042163465,6.554031096916307
76,6.74937695063103,6.650210667962618
77,6.742582037638564,6.737945960721086
