,Kabale,Kasese
0,6.072279499314158,6.538369229238757
1,6.067697260503449,6.3094171973905935
2,6.052711818346197,6.343958585768376
3,6.006359077614527,6.368854314887885
4,6.024352513018453,6.364867492656624
5,6.064285957152308,6.302427584043952
6,6.066660349312275,6.308085776465766
7,6.069029117085975,6.304022708317681
8,6.054682991384673,6.294245815492255
9,6.057291672110086,6.267673380011114
10,6.177661241496442,6.290076460134158
11,6.177163334119791,6.286970364640864
12,5.9015906574466666,6.28124928085889
13,5.897671645539842,6.275131015811402
14,6.023680066591198,6.269905425364633
15,6.075009143130266,6.2491060871399045
16,6.174484605077709,6.227078885024721
17,6.243649029728372,6.294226504471901
18,6.286515678381184,6.288217806451714
19,6.340593980701529,6.288004757684856
20,6.337553263857171,6.287791754298108
21,6.46359099156879,6.285826489962831
22,6.4534669048607585,6.279907416560918
23,6.485442095386898,6.276007303184382
24,6.481520610117915,6.218606555244162
25,6.496402150654273,6.262058753777611
26,6.507661339637742,6.257534701020181
27,6.439371961912164,6.310628435613145
28,6.446388484045408,6.347297581401177
29,6.452357644645433,6.3668608091521115
30,6.450869264021452,6.369282154496541
31,6.367671386946217,6.369988885086579
32,6.270711842117877,6.407006548223583
33,6.221904564035328,6.403286631758883
34,6.262485880339603,6.395805026332744
35,6.422139918961293,6.432204705577433
36,6.418592104610791,6.418592104610791
37,6.201764187855715,6.362657981567863
38,6.249502828118477,6.252072422680107
39,6.247535397418392,6.247963754674888
40,6.249862128999495,6.15000395148156
41,6.085991273891787,6.310346212392294
42,6.094010137273113,6.336602604861716
43,6.094982170677143,6.147625904162566
44,6.116338155702188,6.090058919852007
45,6.161546162984192,5.6507205392182005
46,5.980069829740408,6.328376524008624
47,5.884794948673032,6.299968870908157
48,5.774541030599691,6.3294875493514295
49,5.649097005083259,6.3329991274991535
50,5.647919383584474,6.263107440216855
51,5.628345580121404,6.187961368056826
52,5.435020376845396,6.22296592281651
53,5.521269940409946,6.301859439573603
54,5.529888746837217,6.369328020611899
55,5.530633836766078,6.228904854325893
56,5.665766672976337,6.057161197187559
57,5.754070716556787,6.405194907341884
58,5.7913576902266115,6.371176185479554
59,5.8667251963633555,6.294808393059292
60,5.859574432826674,6.328344255623482
61,5.864459412216863,6.287738756600155
62,5.870525719778315,6.204561901601647
63,5.934202644317961,6.205810891938681
64,5.921674860519634,6.143667001228802
65,5.8524256050581895,6.235529533008196
66,5.841175693608735,6.357432088559859
67,5.933806194194336,6.308781135544713
68,6.012072877856533,6.341989667879001
69,6.014656836058145,6.382780515227405
70,6.017236747212243,6.344497805944682
71,6.027516276777158,6.368670991956794
