,Kampala,Owino
0,6.549089386259068,6.549089386259068
1,6.577317384946351,6.577317384946351
2,6.508516266089075,6.518566601942577
3,6.5350117303239434,6.535536160018683
4,6.671906240070198,6.677355844837763
5,6.609243981810443,6.605846195190644
6,6.518885743973179,6.540388189406946
7,6.551381020928636,6.552406136343881
8,6.590888743798449,6.591873480460989
9,6.615933575438553,6.615933575438553
10,6.429005350510378,6.449038453929686
11,6.477066337580395,6.477066337580395
12,6.415933580826795,6.437522699974859
13,6.41956825017436,6.44215294216079
14,6.413894752112181,6.436160547191164
15,6.5409626921290025,6.5423232365565624
16,6.556107830249778,6.556107830249778
17,6.608326833396764,6.589533478879123
18,6.577396609166684,6.5743119407576085
19,6.398114045424532,6.398114045424532
20,6.381882860752917,6.381882860752917
21,6.434986174328528,6.43848880487973
22,6.500073397992073,6.500073397992073
23,6.509105407369265,6.509105407369265
24,6.612564378292032,6.6114883655834955
25,6.61245173027075,6.61245173027075
26,6.607299149439882,6.607299149439882
27,6.745817624305464,6.749134376931457
28,6.774305041813348,6.788620214694112
29,6.8258503343514345,6.867545437902375
30,6.821446658547321,6.861353697393771
31,6.829929019268972,6.856648166002482
32,6.822144105081133,6.848876293235224
33,6.487855737885357,6.515723917055652
34,6.424615244241879,6.443179353104459
35,6.357738960360644,6.369176518407709
36,6.432177131009299,6.451225325979993
37,6.471522643595779,6.491195409194483
38,6.467893350509074,6.4869349505875125
39,6.474676016540806,6.484474118132993
40,6.498616292278132,6.516910499473327
41,6.618651356660965,6.618651356660965
42,6.606987185198222,6.615360439861219
43,6.390068687798257,6.39917401875369
44,6.372593103411213,6.382430488835728
45,6.297843655052759,6.299680577704196
46,6.337612621164375,6.35930208488863
47,6.404257397307855,6.424592157534765
48,6.393921507173515,6.413767803545446
49,6.420267192626407,6.459265399242641
50,6.440989810081778,6.460625784598636
51,6.563914749160479,6.566099178177021
52,6.597736688584924,6.602245940175688
53,6.604789438391978,6.620500447784904
54,6.719797648914258,6.734581445098495
55,6.724293251975721,6.745720776779637
56,6.70807347665705,6.722959450631854
57,6.376134705826333,6.386170099468836
58,6.141810678834342,6.1455842682179815
59,6.154170225733569,6.172172096591272
60,6.134606957780981,6.157100877128949
61,6.128450955290582,6.153768763274872
62,6.131779170741259,6.156908459543163
63,6.115762704359025,6.140722794578813
64,6.22424496797063,6.223818801333028
65,6.2386891236697295,6.216999989388145
66,6.288082666972602,6.309119362566396
67,6.223781017326023,6.223781017326023
68,6.138293314353324,6.137826569887441
69,6.146186949806263,6.1471133046663935
70,6.148032634165344,6.148032634165344
71,6.154407268815136,6.154407268815136
72,6.309652122611329,6.2906039276406345
73,6.373813365371398,6.373813365371398
74,6.418604935085321,6.418604935085321
75,6.446507810833791,6.455001152190991
76,6.445987944428703,6.445987944428703
77,6.546800532856458,6.546800532856458
78,6.596983860325174,6.602490322579463
79,6.611633926220768,6.626953374754281
80,6.664647080013184,6.680488463777335
81,6.64740628814655,6.671897308154846
82,6.466583346997119,6.492660443927318
83,6.547946551878453,6.558265308079828
