,Arusha,Machakos
0,5.3161332504449055,5.663050592336632
1,5.313708138404248,5.665145711442798
2,5.30891085511358,5.672257771114077
3,5.731657082610951,5.658435682791919
4,5.7245594047698205,5.651305418522216
5,5.721962954176504,5.644468629777895
6,5.617142605034944,5.2372561914830325
7,5.400440642658901,5.2546044479129295
8,5.399964071637734,5.2568218721470785
9,5.39768511652383,5.251565057688284
10,5.296231023149782,5.467497122992928
11,5.291335463523213,5.537016488401119
12,5.395121450512922,5.537539385333272
13,5.3918837370684916,5.533469158949079
14,5.357856917668446,5.532418680015416
15,5.39836341672408,5.5313670964152335
16,5.403761418458451,5.529654802134344
17,5.43679595632625,5.562680974575331
18,5.44444472114339,5.594651199935008
19,5.534579538846854,5.624883450128195
20,5.649944168589701,5.619678783453023
21,5.75282669928617,5.614208968142071
22,5.794338779709701,5.607079950536025
23,5.827777437084094,5.601256645229004
24,5.869704669993074,5.592101676982761
25,5.930973454855508,5.571691493926981
26,5.986426665467563,5.71808494893371
27,6.031250271040776,5.84575867635821
28,6.11528598802862,5.834345209659806
29,6.111559480006191,5.823634251278926
30,6.268523178429757,6.04216558817297
31,6.261541545051247,6.038454229669367
32,6.1877713548258875,6.139219946114761
33,6.183889545754441,6.135997253363657
34,6.006220888349961,6.145474694950575
35,5.7846371836482176,6.054093521706231
36,5.497595701740491,5.827897636831899
37,5.514044262101511,5.821020721157123
38,5.499299789558962,5.830917088735715
39,5.4992076023025565,5.8043098052638795
40,5.380760254795821,5.526340729972224
41,5.54110921613512,5.556322220511225
42,5.53579587677543,5.522802048257198
43,5.4499121698897035,5.488603902297297
44,5.259386746576515,5.519252533139814
45,5.257175820927511,5.478688512148342
46,5.25021947087972,5.511094959273008
47,5.3430828702914175,5.365619232099011
48,5.34498329758997,5.329098957286026
49,5.391339105961063,5.246206386990925
50,5.253218435175246,5.272187854255054
51,5.031718853651894,5.164205250909102
52,4.900092483650358,5.162662151664815
53,4.902001142312378,5.15634815115492
54,4.901519197262282,5.102240786696167
55,4.739282205158855,5.284522603320849
56,4.9023315780284715,5.201488373782122
57,4.969585316326035,5.245575859318381
58,5.029941707869589,5.289217614825124
59,5.028424999593834,5.362731166021395
60,5.025798518342362,5.427156946595323
61,5.136507602734529,5.354255934403439
62,5.188366307921746,5.3505638617977445
63,5.218885617578165,5.351549122967573
64,5.184950383554069,5.352533414353242
65,5.114944618859133,5.360036012356825
66,5.1628664932766215,5.3523546480791975
67,5.1313885312131235,5.348555934109249
68,5.128853674501414,5.340792538755065
69,5.141140312830274,5.0706656562699335
70,5.2216896097719925,5.469077126936084
71,5.240051789536639,5.329452972901233
72,5.213997725698514,5.620864299829009
73,5.3096563986669185,5.618866877279254
74,5.685438107137704,5.663247795754952
75,5.746956373572211,5.72055307994949
76,5.686171358715641,5.717611532290115
77,5.807795590512352,5.716568792487795
78,5.688434236107429,5.71552496424412
79,5.8231600757326785,5.723996956778254
