,Owino,Mbale
0,6.549089386259068,6.345177196872746
1,6.577317384946351,6.368214610247294
2,6.518566601942577,6.3907332304326925
3,6.535536160018683,6.408623847474042
4,6.677355844837763,6.523607660487864
5,6.605846195190644,6.517100976959076
6,6.615933575438553,6.490642424291848
7,6.449038453929686,6.454689250657641
8,6.477066337580395,6.4774332427395285
9,6.437522699974859,6.482272895773473
10,6.44215294216079,6.39527238426644
11,6.436160547191164,6.388736192476026
12,6.5423232365565624,6.474834526055797
13,6.556107830249778,6.512793301594033
14,6.589533478879123,6.509919403873958
15,6.5743119407576085,6.541251078496721
16,6.398114045424532,6.441994004612874
17,6.381882860752917,6.327946247462975
18,6.43848880487973,6.306900945368628
19,6.500073397992073,6.419141635669155
20,6.509105407369265,6.468766141124965
21,6.6114883655834955,6.503766816133705
22,6.61245173027075,6.503275976301969
23,6.607299149439882,6.541146258015762
24,6.749134376931457,6.76255386524853
25,6.788620214694112,6.816896839030441
26,6.867545437902375,6.867779438137442
27,6.861353697393771,6.861353697393771
28,6.856648166002482,6.856648166002482
29,6.848876293235224,6.845083920830362
30,6.515723917055652,6.745994329735111
31,6.443179353104459,6.627582076102239
32,6.369176518407709,6.529804686986427
33,6.451225325979993,6.527619245638013
34,6.491195409194483,6.528099966129934
35,6.4869349505875125,6.523633227923906
36,6.484474118132993,6.55863096255904
37,6.516910499473327,6.620159360657688
38,6.618651356660965,6.437993100713827
39,6.615360439861219,6.259280911242251
40,6.39917401875369,6.199612585745824
41,6.382430488835728,6.42589957911418
42,6.299680577704196,6.425946653131482
43,6.35930208488863,6.4220430143143945
44,6.424592157534765,6.424951546577268
45,6.413767803545446,6.413767803545446
46,6.459265399242641,6.420989997139264
47,6.460625784598636,6.420960528206205
48,6.566099178177021,6.416406543159853
49,6.602245940175688,6.411853508998498
50,6.620500447784904,6.406870323508568
51,6.734581445098495,6.397480079799721
52,6.745720776779637,6.395084587475855
53,6.722959450631854,6.3868037865875475
54,6.386170099468836,6.386170099468836
55,6.1455842682179815,6.363062081996514
56,6.172172096591272,6.122466600550152
57,6.157100877128949,6.126039556495682
58,6.153768763274872,6.151915194625549
59,6.156908459543163,6.156908459543163
60,6.140722794578813,6.13979212908586
61,6.223818801333028,6.124408154481436
62,6.216999989388145,6.123322182470887
63,6.309119362566396,6.020651435457276
64,6.223781017326023,6.129583232279798
65,6.137826569887441,6.135021518959832
66,6.1471133046663935,6.145259736017071
67,6.148032634165344,6.148032634165344
68,6.154407268815136,6.154407268815136
69,6.2906039276406345,6.148796625712253
70,6.373813365371398,6.152141484668644
71,6.418604935085321,6.158207792230096
72,6.455001152190991,6.155978518190804
73,6.445987944428703,6.144588235748122
74,6.546800532856458,6.14072173954953
75,6.602490322579463,6.135026817087231
76,6.626953374754281,6.529444834379141
77,6.680488463777335,6.676752137039459
78,6.671897308154846,6.527554999426108
