,Kamembe,Ngozi
0,6.253961657448276,6.5124627296421265
1,6.256260569164049,6.445954217953043
2,6.028757744299471,6.516549320956398
3,6.035900224312573,6.506867652509703
4,6.042149124237378,6.591508875447241
5,5.912548332844893,6.446628082758299
6,5.910030184163604,6.5192746885441135
7,5.8567096340591664,6.447677623603061
8,5.8265208821570385,6.363567750828419
9,5.850416372191885,6.433842118035297
10,6.213751966719874,6.4275111757103085
11,6.343557628562012,6.4123364946585975
12,6.421793008564208,6.475870163674145
13,6.332892258504377,6.538860792629208
14,6.342027918242158,6.538421125648342
15,6.02894453188407,6.5368254892133475
16,6.036645123684083,6.4744889398395555
17,6.157803968623679,6.324049000489821
18,6.101489798198932,6.243342928811339
19,6.040736731833174,6.24830284061415
20,6.15669204232568,6.254981189231674
21,6.15137491065437,6.341947216020505
22,6.07547460999588,6.2575397613385135
23,6.0187983293283125,6.209293439928298
24,6.030237548928692,6.256656369479209
25,5.958000440859244,6.2519820663493
26,5.9913282258916665,6.248467125921177
27,5.8557816710677155,6.328791157959663
28,5.991665752061717,6.336530152203006
29,5.985784853385141,6.257008302039652
30,5.8673270045932275,6.166247054816765
31,5.80584398493009,6.171137041944937
32,5.741656787688915,6.1250332800597125
33,5.6895133643591445,6.123522895804605
34,6.040922264041188,6.1882842611437505
35,6.01458158982066,6.2924006772408445
36,5.994320906492115,6.295316360728404
37,5.715462431994093,6.387876194715173
38,5.818640016130446,6.378183745218629
39,6.316533601860256,6.287855932293237
40,6.31920672423058,6.376599142127626
41,6.32505006800594,6.376599142127626
42,6.3234764769334815,6.325567986637661
43,6.331334430262817,6.273903548211585
44,6.167258379912178,6.2773116492901835
45,6.071033814026753,6.2855694964183035
46,5.98847421475149,6.277072728548387
47,5.9215112981320805,6.347985114597247
48,5.827942054429041,6.296328635334328
49,5.955982246065133,6.367343755987394
50,6.209730028395985,6.363649852873486
51,6.158312673835638,6.3643035657296
52,5.983882922825795,6.247958681786288
53,5.98320838135396,6.304647976523542
54,5.853894515423259,6.159546039756805
