,Busia,Kasese
0,5.36207779532648,5.348347602514579
1,5.28363414666162,5.266285508327007
2,5.405565575822368,5.195917505983043
3,5.385648973011552,5.185958910135953
4,5.463674226384866,5.221032879357389
5,5.477292535162619,5.223111132440883
6,5.460621755745066,5.136295417425962
7,5.532574725528885,5.567012749439217
8,5.50402977358301,5.567228546636379
9,5.534768200374164,5.527192406565706
10,5.637730380161156,5.497373022466234
11,5.616097471738887,5.490471258621478
12,5.6194157628448895,5.485513885498625
13,5.634434821290053,5.429794741540402
14,5.469654946532747,5.3589575269467336
15,5.456208999440352,5.397093811872772
16,5.4980504777480865,5.4159222635835285
17,5.6144753223593185,5.409913386757244
18,5.574993019280119,5.408099538487851
19,5.571987744855858,5.500594215194037
20,5.665746161968274,5.526585482262797
21,5.61794312996396,5.500995865354972
22,5.6592902186260625,5.546280461722336
23,5.657481000326382,5.546067412955479
24,5.732630316712065,5.54585440956873
25,5.756137415357606,5.556347597857354
26,5.869151850657754,5.587182265971364
27,5.998561595793225,5.628726455502891
28,5.959988615736292,5.476937271098081
29,6.002421144032829,5.615586711787795
30,6.0187784503382575,5.785360236914406
31,6.03479995022846,5.93045064721963
32,6.074183924777686,5.869718158346983
33,5.659705617436055,5.797147848052577
34,5.528147641817006,5.798202139185474
35,5.460618596056998,5.487085169245161
36,5.439461623410591,5.4286507073063754
37,5.525192317310887,5.423792202869158
38,5.5759271550088,5.523922370018485
39,5.540051507507869,5.61415947966159
40,5.377670905866268,5.699665123306827
41,5.3681477670877875,5.504657086429095
42,5.2868257212315735,5.509969272545783
43,5.198209393888956,5.509835631923639
44,5.28116832756406,5.399951863554027
45,5.241253311880692,4.997954958588023
46,5.240375499687569,5.364153600868913
47,5.223738293486406,5.398856937986302
48,5.209250741378117,5.340960086732695
49,5.3214082808323,5.2955299611516224
50,5.136990672738601,5.031057255317754
51,5.163281848150364,4.957573358658255
52,5.123095675022673,4.92706805232435
53,5.136495948038006,4.736172239430261
54,5.123953464458541,4.733992542886342
55,4.710315988315033,4.666220668449808
56,4.709989476606838,4.4730797295284805
57,4.674075600182032,4.502981105981861
58,4.677959870541799,4.522474967701403
59,4.630512510540956,4.523722180934396
60,4.981561429792054,4.527454514461543
61,5.031693897681903,4.651334710704814
62,5.035434103522495,4.652254040203766
63,5.042843827799949,4.683771759261495
64,5.111948931298989,4.942049894503591
65,5.131306897043219,5.057198924889497
66,5.145237330006572,5.033716055574165
67,5.326166783174299,5.031486781534874
68,5.281200919368427,4.774732600971392
69,5.315883093287069,4.711146870071177
70,5.49049406921397,4.660042381252621
71,5.6431166006786,5.081759205498516
72,5.591947821337684,5.377469152909199
73,5.533806208512949,5.427699702518401
74,5.562437848935936,5.52419544989949
75,5.638344808155095,5.549679171069438
