,Ruhengeri,Mulindi
0,6.813521055164761,6.813521055164761
1,6.810748082922316,6.807770681886676
2,6.790431092119046,6.7760978809169945
3,6.765571627177055,6.75549879438876
4,6.779237455066693,6.752097401946285
5,6.792719043066423,6.736256897887701
6,6.798544539692396,6.754797815745553
7,6.821736316210255,6.767494833372926
8,6.7911934211890586,6.750147987945943
9,6.805207369387469,6.7611142054171625
10,6.792370396876302,6.745774752578109
11,6.861092994156332,6.7484220841200795
12,6.813201935145533,6.702427529643627
13,6.802872318444153,6.688547499490726
14,6.78904322653777,6.676085989263267
15,6.768226647180095,6.656985645303576
16,6.762050781454818,6.710253252164891
17,6.736856110620549,6.698471867612233
18,6.792533393429326,6.684263425495448
19,6.8110443112941885,6.665469807143367
20,6.810413684426482,6.659403230216061
21,6.809377056711561,6.673209519653741
22,6.810479038787743,6.681718944500208
23,6.811583308225625,6.68441167711708
24,6.805929147388593,6.67550015231221
25,6.800242835141403,6.661708758240538
26,6.848428079655556,6.652412085236046
27,6.847954797375551,6.652013908456621
28,6.845384689993779,6.649542006323898
29,6.841007786991967,6.645975163348919
30,6.843339265348304,6.6477178106060135
31,6.846374027923991,6.651141358838321
32,6.852737401657419,6.658581387216461
33,6.853417162565521,6.665767649019375
34,6.854164942208932,6.655323236739954
35,6.858107532387714,6.6607232367284945
36,6.8576869493303585,6.662003795379246
37,6.853863218306122,6.657755920277485
38,6.848732973604506,6.673914955157913
39,6.836158484034943,6.670388654990838
40,6.828856108109329,6.647264212055518
41,6.820229900963154,6.630568861681154
42,6.8233815623447205,6.637074274733229
43,6.833153202340072,6.6510176747532395
44,6.847343831622957,6.664975966741286
45,6.852580761929317,6.669561124827782
46,6.851658411926584,6.668684569781263
47,6.805668132517342,6.6689260161183475
48,6.805091157745374,6.667517666091672
49,6.8045167566006155,6.6649977390414215
50,6.8359432593471405,6.665818678860372
51,6.829728545544641,6.661096265241573
52,6.817473276852352,6.674697865768655
53,6.807652905583659,6.664262563497018
54,6.710613852196878,6.659809276561418
55,6.703079531454919,6.653201819598087
56,6.730464012647935,6.65900504866579
57,6.773753335714742,6.647588603737463
58,6.809158933198022,6.600573046815747
59,6.806864602037824,6.617306296845496
60,6.796921553933091,6.61440822419771
61,6.827230029427219,6.623072924813738
62,6.813598416771321,6.628318701419614
63,6.810071778101436,6.627558448366056
64,6.807959666693399,6.629100317627914
65,6.812208833519188,6.636799746645856
66,6.817439060212475,6.638192654794407
67,6.8355631349145005,6.663210625225972
68,6.830828488019258,6.655321267645033
69,6.809306459696213,6.630667434440515
70,6.7872859902530065,6.6404734313287825
71,6.776335923355868,6.6191186462889
72,6.763516390622766,6.608868074557321
73,6.8760581790826185,6.595873385409056
74,6.870501498290906,6.583410267806092
75,6.862767211617764,6.576270675760085
76,6.852355510523528,6.570920669456183
77,6.851404835019904,6.573683448504491
78,6.851349769330533,6.588178004034093
79,6.849216775737552,6.565125371416499
80,6.782376834188294,6.555929656478118
81,6.593910587099939,6.527823990363879
82,6.579529471221743,6.523308578377271
83,6.5716571634839,6.511744944632696
84,6.563257642718898,6.49898560044542
85,6.544967024644683,6.48619570722927
