,Busia,Tororo
0,6.128824478289879,6.185519821966424
1,6.145411064028589,6.073898430220707
2,6.16172701769957,6.068477088366464
3,6.029193081171234,6.060260250682779
4,6.038767426445918,5.990600297611413
5,6.047635426324382,5.984066945929966
6,6.064265506029456,6.003388257527522
7,6.1277195972409695,6.077143615658899
8,6.072012873325774,6.019229611621754
9,6.053064447655013,5.957754267850688
10,6.040541068613632,5.992409450916572
11,6.170337898271727,6.310628435613145
12,6.01459182757544,6.316157340665454
13,5.852293004104387,6.125979730139825
14,5.850179194283425,5.761986482247964
15,5.909813344777106,5.798048228634538
16,5.9126371474713375,5.866523058369317
17,5.93184719355464,5.865483781999095
18,5.877032247792721,5.858104237907202
19,5.797562702326286,5.829480305294592
20,5.822725216064055,5.779707830980365
21,5.758281564449163,5.767369358556267
22,5.730587114417018,5.690036036952649
23,5.67509115495089,5.692456634744684
24,5.719617573288181,5.689631938668482
25,5.842409381144868,5.76750807297175
26,5.844953916206982,5.805630370003067
27,5.891374481824263,5.834827939775338
28,5.935735433566636,5.832449607449671
29,5.9540524735802,5.8717161869195635
30,6.074426947692899,5.9515600169992435
31,6.072031455369033,6.0114068335525985
32,6.065576641469793,6.030339835370349
33,6.110252868596641,6.102425039976394
34,6.04469993356747,6.038338737864384
35,5.97454647047353,5.798226932364573
36,5.925581288012556,5.769091425832126
37,5.922490361754386,5.722985847182417
38,5.914221256944892,5.724427269620517
39,5.9058832035014115,5.71029759625086
40,5.969943552190448,5.823455745108759
41,6.0168068716608465,5.896394331465438
42,6.020651435457276,5.9646022840716135
43,6.084361482076278,5.995917440085153
44,6.094901525170407,6.028411783901574
45,6.113211752990712,6.039693056045557
46,6.102570260088587,6.042672118507518
47,6.118856284550818,6.0478205114340655
48,6.17522185352179,6.125441991129507
49,6.250121893028848,6.150301557746637
50,6.289684155018482,6.208040165977971
51,6.309607685620324,6.251620427969974
52,6.3144009428503685,6.241069669764819
53,6.289332239001173,6.25870937878719
54,6.450456860365343,6.350019156170734
55,6.446663549166113,6.407463052176407
56,6.442855793948987,6.523314215617287
