,Kabale,Kasese
0,6.245093738315764,6.465979102746381
1,6.244611863435965,6.3640641162465394
2,6.244129756240817,6.455550730509163
3,6.290840811817658,6.491592672816966
4,6.335510487932264,6.512276094478314
5,6.458665762001333,6.630871307801319
6,6.4598407767644135,6.664316212353267
7,6.492454347237289,6.494985536439013
8,6.425919167733366,6.4973427750168735
9,6.354639508664222,6.4774332427395285
10,6.3423650638364535,6.483002024496989
11,6.34441741631386,6.505223694752854
12,6.291832386836424,6.5629303312726694
13,6.339535338035108,6.561512514144189
14,6.382294700216961,6.555773996162218
15,6.467965152994443,6.549849635989781
16,6.414181357272133,6.542930340016441
17,6.302417093230934,6.5236865490992715
18,6.251481361137323,6.533567448084982
19,6.207215127482271,6.507800604769959
20,6.238087458923326,6.462571193596491
21,6.300679198581584,6.462358144829634
22,6.336743874901613,6.462145141442885
23,6.381474639167245,6.470067619684719
24,6.455947855982674,6.493465281379583
25,6.5211481450910345,6.517169360001271
26,6.519273661151749,6.441928821597718
27,6.533179527179248,6.43695806696297
28,6.561115359539761,6.431272514122744
29,6.439371961912164,6.515723917055652
30,6.316562773470521,6.52673237592274
31,6.228681848131042,6.48892797440099
32,6.2275476341741385,6.491349319745419
33,6.2522058494301955,6.493243890620956
34,6.296348883943665,6.488305752721292
35,6.316891171599328,6.483447248284074
36,6.333665642475285,6.478612234827176
37,6.353310013483789,6.475733428696675
38,6.472511545969356,6.510595339523157
39,6.336188120751575,6.458426674196753
40,6.198601772751202,6.404032818634217
41,6.038294627353539,6.343174366847618
42,6.035469931277337,6.337221001813375
43,6.151894311212729,6.249862128999495
44,6.191351789549613,6.373673346343568
45,6.246154798373506,6.3796861909980285
46,5.97381503703652,6.199441379378957
47,6.060041885203856,6.201716136854186
48,5.939870241677762,6.213012947801603
49,5.938402611669982,6.2602176904912215
50,5.776184095030613,6.244142036553056
51,5.764174699686736,6.216026998630689
52,5.727256125820995,5.933305243775905
53,5.71029759625086,5.78338317796689
54,5.841110680347479,5.963328313071728
55,5.834065058504329,5.986953908511165
56,5.839586949853373,5.965710317425975
57,5.84284145138766,6.023490766989252
58,5.846090227107619,5.7762040996434525
59,5.63319648833073,5.980227556002278
60,5.454885453605399,5.98551370466757
61,5.928502556059598,5.8667251963633555
62,5.791989764353634,5.858340626377746
63,5.8993816846099305,5.988757128894441
64,5.870525719778315,5.934151415658526
65,6.050212405285479,5.934202644317961
66,6.091645816477923,5.713946972747484
67,6.1388784210552405,5.8524256050581895
68,6.181882234368736,5.846113975249317
69,6.345259344147123,6.020066538478743
70,6.346463948273922,5.956503026701722
71,6.261581745912932,5.898169640935562
72,6.262089117465058,6.220726728443676
73,6.276203483260201,6.241169350421754
