,Tororo,Masindi
0,5.709080380694847,5.749321675046353
1,5.549749753989781,5.7556450336796825
2,5.558112752196465,5.76003831041583
3,5.558939057898939,5.75827196051943
4,5.831958815207664,5.745138005155248
5,5.832478206686689,5.746732172140972
6,5.423705056340891,5.742253776773199
7,5.422411619857062,5.742379355806811
8,5.4159222635835285,6.0443917344748135
9,5.494131465841262,6.0388009473109765
10,5.519599830964739,6.03042545473073
11,5.552361780399109,6.012178564337852
12,5.580410132276577,5.9908120879316105
13,5.5540732815360245,5.957754267850688
14,5.544493151148241,5.9505543844603475
15,5.554071012816001,5.959831323878339
16,5.72891973731553,5.953697640081862
17,5.726895565763109,6.048198643118658
18,5.72931576756422,6.134535205606046
19,5.722318971851242,6.127784079959406
20,5.719024469005042,6.124489577113207
21,5.790922231014981,6.121292687066978
22,5.863462419105324,6.1151308672858455
23,5.910368925640306,6.354883688438217
24,5.952030943892073,6.3454359953062385
25,5.9926827055215375,6.354372984576003
26,5.939471197107332,6.226266351540886
27,5.801237833304102,6.124503715111705
28,5.251160858481973,6.122483898456167
29,5.429487677461824,6.322586646191995
30,5.425681877812573,6.3185081821123745
31,5.423792202869158,6.317699905974179
32,5.414996788196163,6.310436724590128
33,5.442816399293959,6.3089287205934035
34,5.411983050855047,6.159197452685268
35,5.398793679133816,6.09294639019578
36,5.283441623247333,6.096754435110813
37,5.286242743374279,6.096423615231827
38,5.28116832756406,6.0930990441139725
39,5.287132917631387,5.694091677996334
40,5.277331206209998,5.680526165783623
41,5.378572266814796,5.842409381144868
42,5.402835490450782,5.839799265618317
43,5.396443466775215,5.839995909933781
44,5.390040984149822,5.900059830945873
45,5.2688916446529035,5.896287447650069
46,5.050067506224038,5.57770024830641
47,5.123795709372973,5.575304755982544
48,5.116156585835759,5.566226000180676
49,5.114366047948352,5.563709162228571
50,5.093877129023532,5.5458622527665895
51,4.736172239430261,5.524629599794531
52,4.726270496792432,5.6625158431961315
53,4.767474402154981,5.5559317625192515
54,4.770614098423273,5.558402786077907
55,4.751633834527906,5.5407693909168145
56,4.743747611079802,5.533225900578179
57,4.514828111541494,5.832803228683907
58,4.530625792136653,5.839586949853373
59,4.74422916271955,5.84284145138766
60,4.8450582667783735,5.848587107306206
61,4.943140500340458,5.8569590430692235
62,4.944059829839408,5.349524937947573
63,4.7681129076952455,5.356716232503921
64,5.019239533194721,5.347515002611756
65,5.131306897043219,5.3544504483574284
66,5.145237330006572,5.361320841910057
67,5.300741684808489,5.560130248617659
68,5.289896626335981,5.547922489204874
69,5.223509773156054,5.544055993006281
70,5.273482819201824,5.533492954450284
71,5.271703635316351,5.528341086086172
72,5.760461405165304,5.519785375089453
73,5.691784644209972,5.688915201782019
74,5.866702707855173,5.6922920157620975
75,5.45602325136114,5.705720210627866
