,Masindi,Soroti
0,6.372391869941915,6.372391869941915
1,6.393507427294286,6.370640577278522
2,6.449836239932684,6.5257701407738695
3,6.442286155887745,6.55629087456297
4,6.438389706434408,6.620651652486489
5,6.612455971419808,6.612455971419808
6,6.62002426828871,6.62002426828871
7,6.365989714413329,6.561597107918934
8,6.4527123174634795,6.006536024298302
9,6.6327158742379675,6.227102299052104
10,6.6342506833302615,6.066754399627313
11,6.62896068518407,6.062777709467196
12,6.627369672143493,6.116445190189492
13,6.620159360657688,6.083029640271961
14,6.618651356660965,6.02178675077425
15,6.58143835029827,5.971031784621603
16,6.570147672170397,6.033953602043412
17,6.574369305791731,6.070356963259788
18,6.574019539333248,6.040939431857416
19,6.569954148308811,5.976565227858021
20,6.202077452308745,6.039056534663201
21,6.193168320476011,6.027762768991995
22,6.293222309231491,6.036262135538013
23,6.293192840298432,6.03517053161397
24,6.290808838020404,6.056934684361107
25,6.327872237746034,6.026148339663316
26,6.323362040091088,6.02159335596944
27,6.357025125107407,5.9515600169992435
28,6.354629632783541,5.882789455730505
29,6.500475312463859,5.875485673277005
30,6.49934027686332,5.871391901387022
31,6.36684280483642,5.864783674282612
32,6.347147431183248,5.650923325118823
33,6.340348788783034,5.51894727269941
34,5.866086690823091,5.407377068196114
35,6.050321702162092,5.463761278983219
36,6.0338106882295675,5.444781015087852
37,6.264743092411093,5.433142442021197
38,6.259917808488924,5.427338120575742
39,6.266593901736292,5.529888746837217
40,6.2689769936693915,5.554323607888483
41,6.27462060814678,5.5847254629732115
42,6.1471133046663935,5.63319648833073
43,6.096739339777794,5.6372070103993535
44,6.049863413063866,5.639283204288931
45,6.094729404441977,5.6565719346482695
46,6.099299003294265,5.6821378554229085
47,6.107682547035447,5.68966295244802
48,6.105453272996156,5.645760982008161
49,6.285230565550589,5.634376297180895
50,6.280563749181227,5.630509800982303
51,6.292598102802026,5.617413138870241
52,6.308006842048808,5.694485193435976
53,6.339744998025177,5.691277529953199
54,6.345481858979227,5.766301865397439
55,6.344497805944682,5.833672182178691
