,Meru,Eldoret
0,6.618749096401022,7.058458358826259
1,6.616766744535951,7.018964189957595
2,6.253426844787594,7.039271507476763
3,6.2183965729975075,7.010389588194085
4,6.286355275080574,6.993516699015331
5,6.332102394085951,6.976459410476465
6,6.344155565281938,6.9963301184651465
7,6.347042671594628,6.995046000138161
8,6.348678368793648,7.004158506677808
9,6.353370535522481,7.0053468530027905
10,6.39990337707474,7.0057085474795375
11,6.398875541394341,6.955571619226429
12,6.397660730246647,6.850505613971238
13,6.348822869095615,6.968037953216787
14,6.385507092158509,6.974104458361617
15,6.333428946101424,7.011954858107188
16,6.269249420091233,6.982421298598462
17,6.303709170008167,7.0730694700285515
18,6.333358082991144,6.895963409774932
19,6.397253054784485,6.853034690300984
20,6.38003055508371,6.789481133242815
21,6.38666894688887,6.828998297479748
22,6.388776086909848,6.899877915621663
23,6.411225983427125,6.91882058661167
24,6.20224095268945,6.948053198475381
25,6.0247331791525935,6.86516405976562
26,6.0489719303145995,6.919208477838197
27,6.031705818613825,6.8971242201142235
28,6.079904811264352,6.904797775974861
29,6.125748708343024,6.838662929643745
30,6.171964065512139,6.887277541529345
31,6.084279518939052,6.876305580516228
32,6.160490223749327,6.853637404309272
33,6.02445995151566,6.853702869226978
34,6.080902928243835,6.86633979008729
35,6.13262319487261,6.817174982092692
36,6.188812032580339,6.794639098883614
37,6.296332201117933,6.792769087431823
38,6.342078014909487,6.834473981467844
39,6.268066001924324,6.841554553592427
40,6.188135234977254,6.870297936691901
41,6.377540743926958,6.848669086705626
42,6.344612596914546,6.840555289988827
43,6.366383085202827,6.89335353905524
44,6.354133489153418,6.901152889403155
45,6.37629211432237,6.92618209130074
46,6.386036531519875,6.949464752589954
47,6.512519092407855,6.974642576299176
48,6.5081674948299115,6.991319596919153
49,6.566656276212781,6.994389141417234
50,6.661181722696382,7.036000918758519
51,6.575586864175662,6.974667010432691
52,6.481973862166198,6.906071818556762
53,6.56667362328174,6.9755659902614235
54,6.644756165940486,6.974806897716756
55,6.71564269559263,6.971849772522331
56,6.781835231128974,6.971657374598371
57,6.779293171834601,6.967801226486054
58,6.734763699625318,6.938396168542174
59,6.6392747647320345,6.978269070785958
60,6.632204273852051,6.976537789283746
