,Kisumu,Tororo
0,5.663050592336632,5.366612950491872
1,5.658422997047921,5.340941584956898
2,5.603264899627125,5.3145937976166415
3,5.658435682791919,5.295622821353832
4,5.649614801044308,5.291061483717872
5,5.6453157285155475,5.348429982859414
6,5.656204742720281,5.549749753989781
7,5.802409186260294,5.610142423642327
8,5.798528843119516,5.602991124233586
9,5.795368494635372,5.576141902958443
10,5.792136561535243,5.4923782278421704
11,5.791749730263689,5.423705056340891
12,5.790034499001399,5.360092855457803
13,5.79116715685274,5.454821743197266
14,5.788058315131654,5.5281612144275725
15,5.784959108361613,5.5139818386605155
16,5.779982896630039,5.555958906579959
17,5.77430474846033,5.635625854879024
18,5.768359647969329,5.656488286964094
19,5.763139938819203,5.725621390378153
20,5.756721464185711,5.695102992115967
21,5.747452117001923,5.643596694341668
22,5.852975591899102,5.687556151203077
23,5.852145456585041,5.72931576756422
24,5.964318411082766,5.722318971851242
25,6.070165435692222,5.7813879192895
26,6.057741573514864,5.969114394466924
27,6.045890772185865,5.9628779560878975
28,6.1341510512095425,5.964084995289282
29,6.2214516905106825,5.983435180334269
30,6.219830190693429,6.007103365847976
31,6.230121695754557,6.029826072147289
32,6.234106630229812,5.797147848052577
33,6.236415078500186,5.1801395887336295
34,6.0489982865163086,5.372561740665815
35,5.938092164952554,5.366130350325041
36,5.832822456095262,5.423792202869158
37,5.838244418011139,5.527474771622853
38,5.838868489147492,5.471308355088266
39,5.789942314452403,5.342139477487782
40,5.838103387324477,5.342936347741292
41,5.7086395710418545,5.154580502417795
42,5.705968095397696,5.154315200331731
43,5.700392527317466,5.075605806730655
44,5.690898990958889,5.1529607047350146
45,5.68728780791741,5.275061057675458
46,5.595333601459176,5.133677469568224
47,5.691082366106241,5.117816535418485
48,5.6812723892289725,5.211709363575876
49,5.7570714098044515,5.204488406774421
50,5.67054198068604,5.054234707216013
51,5.748978841888254,5.094273598728534
52,5.670452751457429,5.123795709372973
53,5.741984323720734,5.039616508713424
54,5.575087141284258,5.073983710502667
55,5.54308517019238,5.044143123349394
56,5.516384814767096,5.072644476051474
57,5.51754129358232,5.064955123696586
58,5.521002374922609,4.53969047128427
59,5.339466838321893,4.526104197836701
60,5.330396879833921,4.526622869038901
61,5.507666154635059,4.507543104770602
62,5.512297429154828,4.468255461410195
63,5.513197636284299,4.641371777279842
64,5.5107485676315795,4.8450582667783735
65,5.527413550334973,4.943140500340458
66,5.4941026261324355,4.944059829839408
67,5.5611286309050945,4.8042179123373625
68,5.65008736520297,5.019239533194721
69,5.493305968234323,5.100216309973188
70,5.437422675972245,5.033716055574165
71,5.427966688336249,5.300741684808489
72,5.422118501286266,5.227376269354647
73,5.476715704823058,5.223509773156054
74,5.476130764378098,5.367203805187378
75,5.620836033319873,5.550062909233008
76,5.878614745410771,5.563053355337969
77,5.874398484848228,5.520292489346226
78,5.872401062298474,5.500180573695616
79,5.743380796726998,5.579045065873803
