,Soroti,Lira
0,5.635845373847415,5.635845373847415
1,5.632550871001215,5.6341624748955565
2,5.791608808453554,5.751701517861699
3,5.862824867282645,5.788716895128923
4,5.927802490107859,5.894476170595299
5,5.919009075587126,6.043431360169944
6,5.822576736495707,5.783409002071478
7,5.7967794350841455,5.797460866115625
8,5.630280035160463,5.71903860700354
9,5.430325348723161,5.631893952120291
10,5.407508770743049,5.720622281086634
11,5.30802271951776,5.623736305825427
12,5.366866266073148,5.423792202869158
13,5.383759991607632,5.41895718941226
14,5.41348878419944,5.417449185415537
15,5.324971673865417,5.411983050855047
16,5.342936347741292,5.342936347741292
17,5.289075440965589,5.283441623247333
18,5.154315200331731,5.283993023640264
19,5.076987976957607,5.28116832756406
20,5.1529607047350146,5.2848882477775625
21,5.214152304588466,5.068819317163852
22,5.149262200584922,4.993391829878138
23,4.993362360945079,5.074331423478746
24,5.187258267711711,5.146848729373835
25,5.179917146043915,5.209331031250209
26,5.178569006359618,5.132759470328324
27,5.126191201696839,5.021412250463662
28,5.047672013900172,5.123795709372973
29,5.039616508713424,5.116156585835759
30,5.111724038485514,5.084912781034857
31,5.029877546190572,4.939726449196274
32,4.831482419234586,4.5130286881160515
33,4.829302722690667,4.510848991572132
34,4.767474402154981,4.544330850840772
35,4.770614098423273,4.661980257420478
36,4.649584580173736,4.751633834527906
37,4.637137876021543,4.522474967701403
38,4.630512510540956,4.514828111541494
39,4.6322584376804645,4.516574038681002
40,4.8908326369114254,4.526708868959703
41,4.898050796918883,4.642117422781683
42,4.89896928202732,4.852756438872189
43,4.853675768371139,4.853675768371139
44,4.862754414789935,4.730655345160345
45,4.901099290890496,4.942049894503591
46,5.029341970386531,5.100216309973188
47,5.109427877309861,5.109427877309861
48,5.1775794000323705,5.241055463758015
49,5.165598909658404,5.227376269354647
50,5.193098072738031,5.161732413459811
51,5.210398843775247,5.212721725191387
52,5.269517842096371,5.271703635316351
53,5.265551236705213,5.696991831216638
54,5.523688078347364,5.691784644209972
55,5.322017027050325,5.764146119530081
56,5.532984292497268,5.54303462835077
