,Arusha,Bujumbura
0,5.313708138404248,6.408324341733965
1,5.30891085511358,6.353128378275389
2,5.731657082610951,6.336082441729019
3,5.7245594047698205,6.0243224761995995
4,5.721962954176504,6.081754265055646
5,5.617142605034944,6.079421874236625
6,5.400440642658901,6.012658472146446
7,5.399964071637734,6.0122833577436054
8,5.39768511652383,6.044289204334289
9,5.296231023149782,6.030347088356919
10,5.291335463523213,5.970643660133654
11,5.395121450512922,5.9878582125535535
12,5.3918837370684916,5.992230878135337
13,5.357856917668446,6.116105350570477
14,5.39836341672408,6.170486997256343
15,5.403761418458451,6.172502792744242
16,5.43679595632625,6.176662946397443
17,5.44444472114339,6.182281440645778
18,5.534579538846854,6.171191488735813
19,5.649944168589701,6.413760208119562
20,5.75282669928617,6.400722503014258
21,5.794338779709701,6.473325892802677
22,5.827777437084094,6.462027826738963
23,5.869704669993074,6.528886297135772
24,5.930973454855508,6.567095540628625
25,5.986426665467563,6.565791312261545
26,6.031250271040776,6.626893541057757
27,6.11528598802862,6.37104727317358
28,6.111559480006191,6.365750932198069
29,6.268523178429757,6.368858932941139
30,6.261541545051247,6.431644231272116
31,6.1877713548258875,6.411198717252972
32,6.183889545754441,6.4420558997442585
33,6.006220888349961,6.445190089887184
34,5.7846371836482176,6.388341042609541
35,5.497595701740491,6.363567750828419
36,5.514044262101511,6.358082072153762
37,5.499299789558962,6.3465897333580825
38,5.4992076023025565,6.3330119198705015
39,5.412854321800954,6.325420906950073
40,5.408898442850501,6.314275279998097
41,5.380760254795821,5.869877003772425
42,5.54110921613512,5.93648210791234
43,5.53579587677543,5.93868912606712
44,5.4499121698897035,5.940901025927034
45,5.259386746576515,5.9378057342078145
46,5.257175820927511,5.994059433549353
47,5.25021947087972,5.865792788148753
48,5.3430828702914175,5.5518173164776075
49,5.34498329758997,5.991861148377614
50,5.391339105961063,5.871952065562694
51,5.253218435175246,5.734255192375172
52,5.031718853651894,5.739145179503344
53,4.900092483650358,5.746743757330513
54,4.902001142312378,5.746305679565559
55,4.901519197262282,5.7580391240371
56,4.739282205158855,5.767163274813551
57,4.9023315780284715,5.765964230432808
58,4.969585316326035,5.883137017005585
59,5.029941707869589,5.910530293317847
60,5.028424999593834,5.899837737788793
61,5.025798518342362,6.265201241728431
62,5.136507602734529,6.240344949622186
63,5.188366307921746,6.010941278942428
64,5.218885617578165,6.018907569523006
65,5.184950383554069,6.021847837462467
66,5.114944618859133,6.0268902477366115
67,5.1628664932766215,6.019053847920166
68,5.1313885312131235,5.809843680184293
69,5.128853674501414,5.687188845961639
70,5.141140312830274,5.449604797936875
71,5.2216896097719925,5.447359120999331
72,5.240051789536639,5.502527869073664
73,5.213997725698514,5.554811501226343
74,5.3096563986669185,5.681526905035536
75,5.685438107137704,6.005691526508355
76,5.746956373572211,6.079310870571581
77,5.686171358715641,6.076621493277819
78,5.807795590512352,6.17640548697065
79,5.688434236107429,6.213731975652058
80,5.8231600757326785,6.252669623213981
81,5.766461912362339,6.283723763877686
82,5.777758201997086,6.357064639876909
83,5.792303295626933,6.3513939580807905
84,5.871977938997037,6.319087004597455
85,5.808464115211822,6.314079924416923
86,6.042551197210232,6.2023750675322935
87,5.823283862802259,6.010636633237032
