,Nairobi,Kampala
0,6.453865457880394,5.969865126935269
1,6.453298472352992,5.8855170059367845
2,6.460715131478347,5.958950814007155
3,6.447810895446418,5.955617794596877
4,6.429808608959609,5.9640798968472035
5,6.432925990142166,5.916258313000828
6,6.21768879223459,5.984397783085841
7,6.1302804606328944,6.0087147913069865
8,6.068851593696824,5.992603814703873
9,6.061394558328427,5.928847986257203
10,6.053960160964539,6.000340059619703
11,6.049685430661399,5.998142305638953
12,6.047629444520308,5.986408941062014
13,6.045032517901609,6.059513895246804
14,6.042985016444914,6.206733056318419
15,6.040715615038211,6.178142286718774
16,6.041218161086874,5.931330274039128
17,6.038109319365788,5.971917235529052
18,6.035010112595748,6.038237994467524
19,6.03145536521155,6.135130873309249
20,6.025698368980438,6.18503626172917
21,6.019674076250235,6.245436340302469
22,6.013659264887592,6.303407971945689
23,6.006442774398269,6.426360802458954
24,6.019180261511463,6.424294917311788
25,5.992904959003284,6.46784330130732
26,6.013006962359227,6.438182518753147
27,6.284362171515853,6.456406483124705
28,6.286332567224342,6.433756537325549
29,6.241073741814742,6.444134157483775
30,6.2926874606843874,6.411815898740327
31,6.347440474258508,6.6167693122360465
32,6.3482033961498265,6.609154152421307
33,6.512817315374903,6.651157472929973
34,6.607512774506386,6.598349920832463
35,6.570821173612569,6.528490626350559
36,6.583520571422768,6.122483898456167
37,6.521044817391844,6.177429919199405
38,6.490850783161839,6.219172051891497
39,6.526603953200421,6.221904564035328
40,6.591569359577223,6.21706955057843
41,6.397758850863217,6.260786644586643
42,6.342658879927553,6.25757878317172
43,6.369631593449638,6.0959569293486515
44,6.398875541394341,6.490122621510149
45,6.368116483939922,6.202083936018567
46,6.495651511948429,6.199259239942363
47,6.357377924436673,6.20072944042185
48,6.317256086855823,6.085991273891787
49,6.332725483816878,6.093007630923488
50,6.358103242073966,6.091974649613189
51,6.47934895804192,6.110455785799122
52,6.429551372752986,6.083188164709767
53,6.201102145321219,6.085738614760137
54,6.279078734858332,6.056185647326365
55,6.2835597947718185,5.909885772883303
56,6.15823870093949,5.899323049235942
57,6.499832687846701,5.840267704300021
58,6.366634955990751,5.649097005083259
59,6.474909100240721,5.467431007872181
60,6.49853523115064,5.628345580121404
61,6.488495407646785,5.526399935507779
62,6.489969424879569,5.689119464595366
63,6.493962453213951,5.69957371962666
64,6.425466915017677,5.700318809555521
65,6.480611873555382,5.778881477414169
66,6.477342641357958,5.824251725093439
67,6.408357388521492,5.860350561713563
68,6.475518823721275,5.798257397085895
69,6.414344634863005,5.789347754890795
70,6.535353843673951,5.865071969663276
71,6.452242129212523,5.870525719778315
72,6.41322660876446,5.948900478153654
73,6.47229517285478,5.856292101256782
74,6.459633077198647,5.783783672336026
75,6.480432373574967,5.841175693608735
76,6.446346539522169,5.9040897218658595
77,6.37428180874592,6.012072877856533
78,6.4462920911118236,6.016729375660117
79,6.427890515225002,6.017236747212243
80,6.436527977286944,6.031614643169441
81,6.414684047901625,6.138397671441232
82,6.691824166369745,6.033906762562189
83,6.619727341583642,5.917209673028302
84,6.607407426637899,5.706072661330043
85,6.6045325069712995,5.706978502181697
86,6.604461555077824,5.780334941770064
87,6.601217905922097,5.706477203017882
88,6.599281922458123,5.699239051090859
89,6.607869104928533,6.04807999073588
90,6.610584272269105,5.905718291584433
91,6.609132242999927,5.9037179594778175
92,6.606325381795201,5.842217143333874
93,6.587843881012934,5.9312467090679695
94,6.566662998538702,5.840858504086831
95,6.5858497995202985,5.614840536866957
96,6.582344297294791,5.617571013347163
