,Meru,Makueni
0,6.2500935083678355,6.742384481917004
1,6.236415078500186,6.7472407022661764
2,6.369865907953743,6.7431674395719465
3,6.332102394085951,6.7370553382904745
4,6.256728992106149,6.745553560513844
5,6.261275849837203,6.677380799888984
6,6.245179263268,6.604218274501613
7,6.400927788051529,6.65915264961788
8,6.399175839756364,6.626096818197707
9,6.355681932153066,6.520860943021803
10,6.3545313693496155,6.529735458374706
11,6.348822869095615,6.461852075765458
12,6.23959488878029,6.454597282510799
13,6.2228771503284825,6.4480663893659855
14,6.22457698003964,6.448058883581744
15,6.24946940107117,6.455416761446466
16,6.2716100759226965,6.504262415205933
17,6.264717380653063,6.501148061962706
18,6.320506455025611,6.617864821807924
19,6.358458331401633,6.597779332159993
20,6.360052571078575,6.608599214586755
21,6.38397634097975,6.425240226801937
22,6.387055240313006,6.389127779914979
23,6.137847983590425,6.169429555640725
24,6.132470949190579,6.2880350568149845
25,6.143247193346733,6.21402737540778
26,6.144383863459561,6.34934345888069
27,6.032614018881839,6.212608833725317
28,6.171964065512139,6.207530896506882
29,6.131820463708053,6.280856042868541
30,6.13401030058486,6.282531112115966
31,6.1688617235895045,6.285872856467305
32,6.181842267476668,6.353241036743845
33,6.187962775629083,6.3811788911074805
34,6.2352325424772115,6.408357388521492
35,6.342078014909487,6.410684338266384
36,6.275793882091732,6.380426543535858
37,6.204802287462465,6.3492245716654345
38,6.227651515984897,6.343018118729653
39,6.1897514374836895,6.344612596914546
40,6.183785628282967,6.406929179597177
41,6.194637067368583,6.397677783196507
42,6.218068109107476,6.391087273239116
43,6.3416151525419036,6.384698738678216
44,6.413917115603316,6.4394939573929655
45,6.409321660193279,6.56421417981717
46,6.411212771383217,6.564438980404133
47,6.399320349866344,6.554031096916307
48,6.390862541509705,6.575448427740122
49,6.382332588007311,6.596416658228198
50,6.398976955485573,6.621920866600269
51,6.447309725500407,6.634672185926927
52,6.407818263954988,6.633117094690096
53,6.409951735509691,6.631559581377472
