,Ruhengeri,Rubavu
0,6.226291958943903,6.34489770135175
1,6.215248861663603,6.3421679313198736
2,6.27304775892336,6.395630933104224
3,6.38749933791425,6.584792336454371
4,6.37628657758218,6.547854591864949
5,6.364946664171547,6.5318861881747186
6,6.355993085751263,6.518960010477914
7,6.355643362824861,6.519349852768001
8,6.353732811193225,6.51727125048782
9,6.348489997501445,6.515200872002222
10,6.257646079570573,6.5183723420338255
11,6.2586330136575645,6.522197493044409
12,6.264677101509373,6.5992709623728505
13,6.265813714959627,6.615622602227117
14,6.263995578232334,6.624132729899538
15,6.164504459410481,6.6035974839484
16,6.164539768770413,6.6039670327783915
17,6.160488584088879,6.597598123626217
18,6.256489932812973,6.4491489048398485
19,6.248098183886897,6.430693375926778
20,6.2412519083112645,6.5508593413920115
21,6.23363083040881,6.580728422408959
22,6.2355023862255505,6.508189158560936
23,6.244994375170911,6.554423188437402
24,6.259788674998292,6.5968559726308165
25,6.360040835118575,6.526889926736144
26,6.359139583551838,6.572479134769426
27,6.3578554765800845,6.529946765123225
28,6.358377966301426,6.5229116076737395
29,6.3550967145094175,5.9840661462496
30,6.342913076171015,5.768230362298932
31,6.337635569559889,5.795127212715662
32,6.328197204138714,5.814299381335753
33,6.315005363352365,5.835254615860732
34,6.311321603195794,5.857796833267144
35,6.303806393594676,5.850939046591927
36,6.3091539525461995,5.857831007394825
37,6.312222270177028,5.775992635245796
38,6.1185064163344025,5.847694472186107
39,6.008281777512261,5.80584398493009
40,5.996031662122927,5.86722552789042
41,5.994437243245431,5.9485275419413535
42,6.107053903247108,5.887961352349519
43,6.104732686814956,5.910850307619926
44,6.117584713642469,5.8781494747300735
45,6.222280034362545,5.866342462953229
46,6.221517800673659,5.866568482702396
47,6.220750869475664,5.907913917003576
48,6.226731638465731,6.0016398237362605
49,6.268354724329394,6.093008781271864
50,6.266689120611705,5.870364084442938
51,6.281604857851449,5.916435289921294
52,6.31453254494073,5.870928940419215
53,6.228662758230336,6.115750652808549
54,6.210744022017104,6.1494635907990896
55,6.229199753781177,6.096880335611153
56,6.224954026826148,6.0897233984486645
57,6.237561664348352,6.0488759929578295
58,6.211437970741141,6.171397809303818
59,6.196981814994793,6.064435159032809
60,6.224587488212667,6.033841281759462
61,6.197768188976779,6.055330255536053
62,6.156069595177607,6.116633031392125
