,Masindi,Owino
0,6.695282992076009,6.798784380987672
1,6.720822459543145,6.780863139737147
2,6.730876771790358,6.785863734730093
3,6.750687117923312,6.812433444848947
4,6.752140206445604,6.81666122532976
5,6.746014980333689,6.781698478553577
6,6.770894058271242,6.804630896958932
7,6.771018518893061,6.865181079880216
8,6.759652894450565,6.854761481672814
9,6.762637890145943,6.731512427871016
10,6.761624268926409,6.693065159941576
11,6.747550490779322,6.711959545676619
12,6.681068506484302,6.681962294716007
13,6.676617289707049,6.676617289707049
14,6.675174588352429,6.676958710145931
15,6.668386947214642,6.669579553199765
16,6.663273905315209,6.73250569688453
17,6.65517982382773,6.72413270251338
18,6.636454757742766,6.767621992926765
19,6.615628319914756,6.747918247451214
20,6.581908576923682,6.616691967556228
21,6.57462355454389,6.643105439816351
22,6.5836271608819565,6.71367257311054
23,6.576430002121544,6.709005219374411
24,6.576469175913188,6.675305847059376
25,6.576508348170308,6.677944559785632
26,6.57193873301775,6.688526311269359
27,6.7597819649749775,6.789634928124658
28,6.780810600762836,6.836408044213878
29,6.794305764650775,6.820345673666395
30,6.882671939423787,6.830895669900067
31,6.875027678466785,6.848876293235224
32,6.882480322191302,6.854794478039374
33,6.892433478336285,6.798353170916925
34,6.895987797507099,6.7891845540846925
35,6.869776385633712,6.816866714907912
36,6.843314536597355,6.844035257349273
37,6.813956437599327,6.841756325876922
38,6.809592370749438,6.836897821439705
39,6.80253046041779,6.829654908914267
40,6.7968025171811925,6.853850366589606
41,6.74085635860623,6.849756700969181
42,6.7292307088611825,6.757807827177755
43,6.733214621992752,6.76015492002685
44,6.734878691666695,6.791068923412794
45,6.729146632633346,6.786246224673918
46,6.539895886126755,6.79121031440766
47,6.532359181336218,6.779138454451733
48,6.6040338363770426,6.7576686534123604
49,6.603402501641885,6.757639184479301
50,6.60222186894349,6.754222657587084
51,6.688957332162318,6.747703532595385
52,6.743758663329377,6.743758663329377
53,6.816074479349679,6.86693289658317
54,6.838489419940326,6.864996435711017
55,6.83232249954551,6.8575456956748635
56,6.830324752527179,6.880288890733101
57,6.811044716095681,6.836374624684397
58,6.765332120597391,6.749535613786933
59,6.7059345306596025,6.7365115042288854
60,6.490240999896084,6.713384551210295
61,6.492592570548907,6.716524247478587
62,6.476530358526835,6.703920200722496
63,6.498630683264274,6.716058448687252
64,6.525950409243852,6.709428704165631
65,6.532734130413318,6.768858393200249
66,6.534734713288011,6.797002457317225
67,6.695172209288324,6.800158323315804
68,6.705670331253574,6.787015970707526
69,6.485166027835435,6.789886520337739
70,6.49140457764584,6.795680491078833
71,6.650159334444721,6.788850769199765
72,6.57160134506392,6.790506319036384
73,6.658761865674257,6.56367290033826
74,6.716115546690544,6.594939580727151
75,6.7055186025503914,6.6302377046216385
76,6.728099071658377,6.641552832590525
77,6.770255581599211,6.692003384699462
78,6.766519449926777,6.765539538040429
79,6.776911986872595,6.762291843417632
80,6.784649790622513,6.76328975523027
81,6.789948738184538,6.763797126782395
82,6.782374576513997,6.7349348514424365
