,Tororo,Kasese
0,6.191026517045488,6.465979102746381
1,6.270550272921105,6.3640641162465394
2,6.344213214797799,6.455550730509163
3,6.33963097598709,6.491592672816966
4,6.3912827831916825,6.512276094478314
5,6.3362568312128476,6.562793188691354
6,6.079721765282146,6.494985536439013
7,6.134167266475048,6.4973427750168735
8,6.290847287159116,6.4774332427395285
9,6.290276681284751,6.483002024496989
10,6.294792179027007,6.505223694752854
11,6.436160547191164,6.5629303312726694
12,6.518242265563295,6.561512514144189
13,6.514882438844119,6.555773996162218
14,6.547504969030527,6.549849635989781
15,6.541587156469973,6.542930340016441
16,6.441994004612874,6.5236865490992715
17,6.374409866289913,6.533567448084982
18,6.245436340302469,6.507800604769959
19,6.238087458923326,6.462571193596491
20,6.297315023835952,6.462358144829634
21,6.380702644998204,6.462145141442885
22,6.423005711453711,6.470067619684719
23,6.455593811015265,6.493465281379583
24,6.558496210449027,6.517169360001271
25,6.555653119439313,6.441928821597718
26,6.586390305376328,6.43695806696297
27,6.645468105605275,6.431272514122744
28,6.477932645340147,6.515723917055652
29,6.223600867954746,6.52673237592274
30,6.124503715111705,6.48892797440099
31,6.126432570911583,6.491349319745419
32,6.22804477957373,6.493243890620956
33,6.270286038406951,6.488305752721292
34,6.316891171599328,6.483447248284074
35,6.356367204467341,6.478612234827176
36,6.396547692538435,6.475733428696675
37,6.392812303866773,6.510595339523157
38,6.294347746024714,6.458426674196753
39,5.978282284313611,6.404032818634217
40,5.9514758358243025,6.343174366847618
41,6.036528692625579,6.337221001813375
42,6.097564753573258,6.249862128999495
43,6.139101099205735,6.373673346343568
44,6.199470848312016,6.3796861909980285
45,5.9749443426336715,6.199441379378957
46,5.970300452388205,6.201716136854186
47,5.939870241677762,6.213012947801603
48,5.938402611669982,6.2602176904912215
49,5.636013349760887,6.244142036553056
50,5.696111735973429,6.216026998630689
51,5.683569252393964,5.909090926113141
52,5.601992535895786,5.866086690823091
53,5.800758587813922,5.933305243775905
54,5.788688230196583,5.78338317796689
55,5.9064301464681215,5.963328313071728
56,5.896394331465438,5.986953908511165
57,5.902868399800893,5.965710317425975
58,5.701762853127754,6.023490766989252
59,5.6229466757934095,5.7762040996434525
60,5.634743279049029,5.980227556002278
61,5.6372070103993535,5.98551370466757
62,5.642355403325902,5.8667251963633555
63,5.863266744713802,5.858340626377746
64,5.871785452308936,5.988757128894441
65,5.870525719778315,5.934151415658526
66,6.050212405285479,5.934202644317961
67,6.039841405289059,5.713946972747484
68,6.1388784210552405,5.8524256050581895
69,6.133180094494065,5.846113975249317
70,6.266086904446707,6.020066538478743
71,6.378677568257577,5.956503026701722
72,6.261581745912932,5.898169640935562
73,6.262089117465058,6.220726728443676
74,6.242826351629383,6.241169350421754
