,Busia,Mbale
0,6.128824478289879,6.125694585280951
1,6.145411064028589,6.097763169405871
2,6.16172701769957,6.069029117085975
3,6.029193081171234,6.149586336358325
4,6.038767426445918,5.990600297611413
5,6.047635426324382,6.052661965810316
6,6.064265506029456,6.090790989056548
7,6.202546118531996,6.1629465457416766
8,6.180486149306463,6.1590428325528235
9,6.1277195972409695,6.076076948891097
10,6.072012873325774,6.075212876056446
11,6.053064447655013,6.151910282291645
12,6.040541068613632,6.183377283779265
13,6.100676423779259,6.327378349052819
14,6.1362544186927925,6.325294744437323
15,6.164756795236539,6.321873636062836
16,6.2114316365718665,6.313997973116691
17,6.197920491212758,6.313607988105986
18,6.170337898271727,6.436508681502148
19,6.01459182757544,6.2258225973734085
20,5.852293004104387,6.22956876614927
21,5.850179194283425,6.2275476341741385
22,5.909813344777106,5.941103502770316
23,5.9126371474713375,5.936110990867579
24,5.93184719355464,5.933629195808209
25,5.877032247792721,5.928200534367122
26,5.797562702326286,5.989968378186867
27,5.822725216064055,5.985112557957192
28,5.758281564449163,5.974660715674831
29,5.730587114417018,5.914833599620557
30,5.67509115495089,5.915600186058894
31,5.719617573288181,6.198809498536087
32,5.842409381144868,5.912089301782857
33,5.844953916206982,5.909653092819234
34,5.891374481824263,5.906063544885857
35,5.935735433566636,5.900059830945873
36,5.9540524735802,5.896287447650069
37,6.074426947692899,5.8876329296930106
38,6.072031455369033,5.882789455730505
39,6.065576641469793,5.875485673277005
40,6.110252868596641,6.155975117934736
41,6.04469993356747,6.139918530682304
42,5.97454647047353,6.347915185539579
43,5.925581288012556,6.340348788783034
44,5.922490361754386,5.9568974254661855
45,5.914221256944892,5.869226387091382
46,5.9058832035014115,5.852730596523678
47,5.969943552190448,5.838607550129361
48,6.0168068716608465,6.015755899414871
49,6.020651435457276,6.020651435457276
50,6.084361482076278,6.023490766989252
51,6.094901525170407,6.029452908409985
52,6.113211752990712,6.145259736017071
53,6.102570260088587,6.148032634165344
54,6.118856284550818,6.154407268815136
55,6.17522185352179,6.147872838117689
56,6.250121893028848,6.152141484668644
57,6.289684155018482,6.158207792230096
58,6.309607685620324,6.155978518190804
59,6.3144009428503685,6.144588235748122
60,6.289332239001173,6.14072173954953
61,6.450456860365343,6.133180094494065
62,6.446663549166113,6.346750768733793
63,6.442855793948987,6.34869360360119
