,Mbale,Kisumu
0,5.380096300829159,5.663050592336632
1,5.315108037028888,5.658422997047921
2,5.24560092612969,5.603264899627125
3,5.28347200357132,5.658435682791919
4,5.291061483717872,5.649614801044308
5,5.334696527843346,5.6453157285155475
6,5.492372641406479,5.656204742720281
7,5.5871529054176285,5.802409186260294
8,5.55801951760426,5.798528843119516
9,5.518558680276081,5.795368494635372
10,5.458544154826388,5.792136561535243
11,5.426834949349819,5.791749730263689
12,5.404544618028637,5.790034499001399
13,5.454821743197266,5.79116715685274
14,5.529090150862232,5.788058315131654
15,5.532587026491551,5.784959108361613
16,5.554161960903257,5.779982896630039
17,5.6617284787816615,5.77430474846033
18,5.73312151298501,5.768359647969329
19,5.757206829097955,5.763139938819203
20,5.732843320098814,5.756721464185711
21,5.704078414783624,5.747452117001923
22,5.685238653062714,5.852975591899102
23,5.687940930497865,5.852145456585041
24,5.722318971851242,5.964318411082766
25,5.874231226657774,6.070165435692222
26,5.999119475863482,6.057741573514864
27,5.996356259907167,6.045890772185865
28,5.991297558814167,6.1341510512095425
29,5.983435180334269,6.2214516905106825
30,6.022404210803276,6.219830190693429
31,5.938288464858283,6.230121695754557
32,5.629472606775861,6.234106630229812
33,5.373399411927151,6.236415078500186
34,5.372561740665815,6.0489982865163086
35,5.368581761113166,5.938092164952554
36,5.526976439104388,5.832822456095262
37,5.567445339952891,5.838244418011139
38,5.467556005469715,5.838868489147492
39,5.294200015198664,5.789942314452403
40,5.399799209635835,5.838103387324477
41,5.221686419060612,5.7086395710418545
42,5.151747804826485,5.705968095397696
43,5.147636934939538,5.700392527317466
44,5.1529607047350146,5.690898990958889
45,5.138928883350879,5.68728780791741
46,5.149262200584922,5.595333601459176
47,5.149232731651864,5.691082366106241
48,5.144268082780344,5.6812723892289725
49,5.139302426889725,5.7570714098044515
50,5.132759470328324,5.67054198068604
51,5.126191201696839,5.748978841888254
52,5.123795709372973,5.670452751457429
53,5.039616508713424,5.741984323720734
54,5.106418986255821,5.575087141284258
55,5.088471710456624,5.54308517019238
56,5.072644476051474,5.516384814767096
57,5.067713746135665,5.51754129358232
58,4.852632210495289,5.521002374922609
59,4.576458083982315,5.339466838321893
60,4.603064564538843,5.330396879833921
61,4.637137876021543,5.507666154635059
62,4.630512510540956,5.44265043059901
63,4.562665145881269,5.512297429154828
64,4.74422916271955,5.513197636284299
65,4.752465479950549,5.5107485676315795
66,4.943140500340458,5.527413550334973
67,4.944059829839408,5.4941026261324355
68,4.949208222765956,5.5611286309050945
69,5.127453117834954,5.65008736520297
70,5.131306897043219,5.493305968234323
71,5.135136234020068,5.437422675972245
72,5.279048860197229,5.427966688336249
73,5.289896626335981,5.422118501286266
74,5.286030130137388,5.476715704823058
75,5.27784012457078,5.476130764378098
76,5.61253317730652,5.620836033319873
77,5.609203151428446,5.878614745410771
78,5.6081538451375605,5.874398484848228
