,Nairobi,Machakos
0,6.512857864329261,6.867023396662568
1,6.545626990620242,6.869118515768734
2,6.547726508467977,6.876230575440013
3,6.417540831143662,6.862913410127825
4,6.411021363623388,6.8054951672765
5,6.40400642884305,6.744210224043156
6,6.357212667711827,6.624818783590919
7,6.418221566890035,6.642141817272417
8,6.420900469246774,6.644353091804366
9,6.413322570573776,6.3485258183179205
10,6.406542857860747,6.494846391639547
11,6.402596393625772,6.49167602367946
12,6.335311516972089,6.489935121849543
13,6.395938641759339,6.486707229880043
14,6.3939929637184925,6.48494600840802
15,6.295718723266971,6.483181679561344
16,6.2784216979693825,6.482892873065308
17,6.275312856248297,6.5489577381011435
18,6.323245129490702,6.6109272019424825
19,6.266912176759117,6.606127899326081
20,6.26162023913377,6.600716001527368
21,6.256062854314465,6.595038221153797
22,6.250516811271669,6.588744974595147
23,6.243770960704435,6.5818766713333865
24,6.235281530200259,6.57314099196354
25,6.214261199743398,6.619488712682139
26,6.254633739190674,6.66378313657336
27,6.331217588797358,6.656900779427753
28,6.333885107473424,6.656551736270831
29,6.303083816598955,6.645696744609984
30,6.352286106567893,6.634353341135345
31,6.5331196167473085,6.738350745752991
32,6.534979303293161,6.731601410229312
33,6.626146000681906,6.736595585847204
34,6.621934714694394,6.734485810897574
35,6.637590699059838,6.744168603710505
36,6.642446919409011,6.7472407022661764
37,6.637693422977616,6.7431674395719465
38,6.572605906262642,6.740634989261978
39,6.598762386051933,6.747843346528941
40,6.646639778624279,6.721702696322021
41,6.534844705140171,6.449411148831758
42,6.492736968082205,6.469657770461288
43,6.509297038804601,6.518358185006328
44,6.480579128042395,6.50303189297508
45,6.356673279932768,6.4887842177729995
46,6.348995678488661,6.421717222013925
47,6.357777820301539,6.205056733283875
48,6.363682675154299,6.362253082344705
49,6.365316822954006,6.368178055235038
50,6.365920415052882,6.291757457058001
51,6.125748708343024,6.204254566255459
52,6.205865617187821,6.264134525311796
53,6.200813335195003,6.280856042868541
54,6.20312242554521,6.307777643798006
55,6.199633382256258,6.359539473654137
56,6.12448203728891,6.351071053975522
57,6.08326285547492,6.342720141151101
58,6.187249806692381,6.408357388521492
59,6.267635538654971,6.342078014909487
60,6.2697933143828655,6.376755098149193
61,6.141695248152775,6.4102698741493835
62,6.146401321748871,6.348736504576648
63,6.112193203137815,6.372625633142221
64,6.097376117095436,6.406929179597177
65,6.084370572941903,6.401664499440328
66,6.135376393262362,6.391087273239116
67,6.12474121424129,6.445717014792534
68,6.163527500113747,6.654523873933005
69,6.21891556334301,6.56421417981717
70,6.257708712981658,6.564438980404133
71,6.148005921585438,6.560727550511428
72,6.1393837253273755,6.573267574406247
73,6.130686539759845,6.58565229164104
