,Kampala,Nakuru
0,5.969865126935269,6.269643121194631
1,5.8855170059367845,6.271738240300797
2,5.958950814007155,6.1775682141919575
3,5.955617794596877,6.065022496009283
4,5.9640798968472035,6.163987426248881
5,5.916258313000828,6.2555229799993395
6,5.984397783085841,6.164652539769697
7,6.0087147913069865,6.266657541376189
8,5.992603814703873,6.269322468996456
9,5.928847986257203,6.260913208783499
10,6.000340059619703,6.255232722228788
11,5.998142305638953,6.338471865456233
12,5.986408941062014,6.33448335957486
13,6.059513895246804,6.408322700959061
14,6.206733056318419,6.411774645994671
15,6.178142286718774,6.346797217954415
16,5.931330274039128,6.409113110531074
17,5.971917235529052,6.406004268809988
18,6.038237994467524,6.402905062039947
19,6.135130873309249,6.39935031465575
20,6.18503626172917,6.225965838630675
21,6.245436340302469,6.220344771712386
22,6.303407971945689,6.45054822271013
23,6.426360802458954,6.4495104143997155
24,6.424294917311788,6.439159412503881
25,6.46784330130732,6.491377814802274
26,6.438182518753147,6.48015945940407
27,6.456406483124705,6.475256959020295
28,6.433756537325549,6.492448857128271
29,6.444134157483775,6.527492390219751
30,6.411815898740327,6.513609846560578
31,6.6167693122360465,6.733790312209459
32,6.609154152421307,6.827280321601237
33,6.651157472929973,6.832367126674707
34,6.598349920832463,6.51886252955458
35,6.528490626350559,6.523060158669789
36,6.122483898456167,6.523459192397635
37,6.177429919199405,6.51976849303224
38,6.219172051891497,6.449373265838694
39,6.221904564035328,6.588682253264534
40,6.21706955057843,6.647203635419596
41,6.260786644586643,6.649234530454639
42,6.25757878317172,6.530095537388278
43,6.0959569293486515,6.533480223211691
44,6.490122621510149,6.651323114272416
45,6.202083936018567,6.6509140830322275
46,6.199259239942363,6.616683259191621
47,6.20072944042185,6.636010161368536
48,6.085991273891787,6.5428810290214185
49,6.093007630923488,6.6260861632375025
50,6.091974649613189,6.571196457534675
51,6.110455785799122,6.5048931310893465
52,6.083188164709767,6.47051388598808
53,6.079821860869233,6.49820502613868
54,6.123893015909692,6.427546572685042
55,6.119565155834772,6.430702443773156
56,6.085738614760137,6.457837637091864
57,6.056185647326365,6.493245287333208
58,5.909885772883303,6.491488023834004
59,5.899323049235942,6.465465369464242
60,5.840267704300021,6.43717092672199
61,5.649097005083259,6.436294272020863
62,5.467431007872181,6.432990418353861
63,5.628345580121404,6.429675613045191
64,5.526399935507779,6.417267898358417
65,5.689119464595366,6.41855687214752
66,5.69957371962666,6.4225499004819016
67,5.700318809555521,6.42881924802643
68,5.778881477414169,6.424351125843935
69,5.824251725093439,6.411615967657628
70,5.860350561713563,6.4090365056953
71,5.798257397085895,6.431649536576872
72,5.865071969663276,6.475397051066472
73,5.870525719778315,6.418251928983971
74,5.948900478153654,6.41322660876446
75,5.856292101256782,6.407591212060947
76,5.783783672336026,6.395011114949591
77,5.841175693608735,6.3234286247653015
78,5.9040897218658595,6.313983213879818
79,6.012072877856533,6.387003774771569
80,6.016729375660117,6.383004351875905
81,6.017236747212243,6.381673373869312
82,6.031614643169441,6.366455302461724
83,6.138397671441232,6.351002057865671
84,6.033906762562189,6.252205775936364
85,5.917209673028302,6.282418809701479
86,5.706072661330043,6.319020384118148
87,5.706978502181697,6.2794359986692605
88,5.780334941770064,6.296659512544104
89,5.706477203017882,6.274654045926108
90,5.699239051090859,6.273126652807842
91,6.04807999073588,6.12692720928323
92,5.905718291584433,6.130131227149029
93,5.9037179594778175,6.128281615454731
94,5.842217143333874,6.1304956853001045
95,5.9312467090679695,6.126025836353637
96,5.840858504086831,6.127925118388319
97,5.614840536866957,6.1264923411749175
98,5.617571013347163,6.121759889965547
