,Kamembe,Ruhengeri
0,5.98790204900966,5.745864548335489
1,5.8942718992540755,5.742168303048542
2,5.745182453800344,5.896988466668348
3,5.900901049243412,5.902075447499353
4,6.041636172187146,5.90847120073121
5,5.910786217851494,5.909609747127564
6,5.908853020990589,5.907674470471146
7,5.911038020125913,5.352890014635128
8,5.907886438557325,5.576571269155546
9,5.860907057727357,5.572610923236017
10,6.039276262897065,5.657981515716713
11,6.02454403925959,5.8024266553006925
12,6.327715790077802,5.79558037972506
13,6.327670314523226,5.8770732642505985
14,6.334514734891375,5.8797785777764275
15,5.73779143893941,5.888558694303065
16,5.748963051232302,5.902518315739796
17,6.039205129647183,5.571507339385583
18,5.90606501640655,5.570072281113153
19,5.906306462743634,5.5703137274502375
20,5.56778743432222,5.446643050963132
21,5.344637572698077,5.39362695989835
22,5.330928655379493,5.226505346913041
23,5.325651148768367,5.218883173342661
24,5.316212783347193,5.209444807921487
25,5.352231273406693,5.169102939642798
26,5.302409381441242,5.302409381441242
27,5.293747502268011,5.386743758941939
28,5.346195994673276,5.393635719744837
29,5.296929524906737,5.5153510240897505
30,5.256929398529727,5.404346046175641
31,5.224263701470508,5.2125949576361315
32,5.144446549724103,5.141937138118677
33,5.299151024436736,5.139273772052277
34,5.188851124901327,5.347775083481243
35,5.135332129626853,5.293802470598628
36,5.194617752869569,5.299020872571068
37,5.14579630820517,5.083275951223835
38,5.306952694766974,5.0859619968138645
39,5.52586908310351,5.251980332784065
40,5.305237078716549,5.281033476975662
41,5.313842779635041,5.313842779635041
42,5.3095068314194505,5.322465976061956
43,5.179697673286487,5.255925038674372
44,5.305714382026771,5.202292790873619
45,5.306277101088684,5.261626827350946
46,5.014896625135084,5.295327034191545
47,4.99243712663225,5.422927602307356
48,4.9823262802248225,5.359956589339543
49,5.099795438260684,5.444418887112604
50,5.254218583368549,5.478250628743873
51,5.2411254829144465,5.465165493275693
52,5.243758235200941,5.465558602968683
53,5.143007782837518,5.504621008416834
54,5.108300859490772,5.548958411605434
