,Ruhengeri,Kamembe
0,6.845384689993779,6.668131934783771
1,6.841007786991967,6.659685276645941
2,6.843339265348304,6.661473185674499
3,6.846374027923991,6.664371981824951
4,6.852737401657419,6.609791223047029
5,6.853417162565521,6.636040277721459
6,6.854164942208932,6.6686345813781935
7,6.858107532387714,6.638263000048744
8,6.8576869493303585,6.613296546511881
9,6.853863218306122,6.635936872882846
10,6.848732973604506,6.6019454883193776
11,6.836158484034943,6.617904918014925
12,6.828856108109329,6.579364834389938
13,6.820229900963154,6.571979460215723
14,6.8233815623447205,6.698403416153799
15,6.833153202340072,6.588560319819493
16,6.847343831622957,6.5968559726308165
17,6.852580761929317,6.66844318172644
18,6.851658411926584,6.667565375484248
19,6.805668132517342,6.634503616026713
20,6.805091157745374,6.667517666091672
21,6.804516756600616,6.6649977390414215
22,6.8359432593471405,6.654089976970547
23,6.829728545544641,6.64768824314714
24,6.817473276852353,6.637124385204231
25,6.807652905583659,6.625519477846792
26,6.710613852196878,6.619936885314041
27,6.703079531454919,6.613240897846361
28,6.730464012647935,6.620132858649259
29,6.7737533357147415,6.621963355424937
30,6.815897885274675,6.6291429863140285
31,6.820153170268654,6.6329277937646305
32,6.814656500500298,6.624569017755475
33,6.809158933198022,6.552219850099193
34,6.806864602037824,6.615010084585146
35,6.796921553933091,6.61440822419771
36,6.827230029427219,6.623072924813738
37,6.813598416771321,6.6271712543631365
38,6.810071778101436,6.627558448366056
39,6.807959666693398,6.625638109899444
40,6.812208833519188,6.628151667380087
41,6.817439060212475,6.635309977675683
42,6.8355631349145005,6.6318422135796835
43,6.830828488019258,6.630685246548976
44,6.809306459696213,6.627761300456787
45,6.787285990253007,6.627159197022407
46,6.776335923355868,6.6167917109748355
47,6.763516390622766,6.603043946271333
48,6.8760581790826185,6.590587029485908
49,6.870501498290906,6.5828194258391255
50,6.862767211617765,6.577454808521302
51,6.852355510523528,6.563777781943802
52,6.851404835019904,6.565364921629401
53,6.851349769330533,6.563368698521016
54,6.849216775737552,6.560334943093867
