,Kampala,Kisumu
0,6.549089386259069,6.57967627648322
1,6.57731738494635,6.581771395589386
2,6.508516266089075,6.51955563150128
3,6.5350117303239434,6.506454783744106
4,6.671906240070198,6.49763756178946
5,6.609243981810443,6.56211437540951
6,6.518885743973179,6.559350383693245
7,6.551381020928636,6.57669190786181
8,6.590888743798449,6.579237560388245
9,6.615933575438553,6.572330308188907
10,6.429005350510378,6.49662038536361
11,6.477066337580395,6.49167602367946
12,6.415933580826795,6.487805195591718
13,6.41956825017436,6.484214794906284
14,6.413894752112181,6.411774645994671
15,6.5409626921290025,6.483181679561344
16,6.556107830249778,6.482892873065308
17,6.608326833396764,6.480495016088001
18,6.577396609166684,6.478106288921558
19,6.398114045424532,6.4731300771899845
20,6.381882860752918,6.46673891651235
21,6.434986174328529,6.462577683530768
22,6.500073397992073,6.456287119379148
23,6.509105407369265,6.4491520556788045
24,6.612564378292032,6.570617331318143
25,6.61245173027075,6.670303782595091
26,6.607299149439882,6.661800975369369
27,6.745817624305464,6.657465591642711
28,6.774305041813348,6.945634173046122
29,6.8258503343514345,6.932957498327916
30,6.821446658547321,6.92013326781652
31,6.829929019268972,6.91407831466765
32,6.822144105081133,6.912485152253639
33,6.487855737885357,6.918917142641159
34,6.424615244241879,6.518227407272195
35,6.357738960360644,6.521788702681593
36,6.4321771310093,6.584721772768402
37,6.471522643595779,6.51976849303224
38,6.467893350509074,6.448006211627161
39,6.474676016540806,6.643188497402409
40,6.498616292278132,6.6500181602159065
41,6.618651356660965,6.653739042575744
42,6.606987185198222,6.53518460689575
43,6.390068687798257,6.650732839293765
44,6.372593103411213,6.650189969675248
45,6.297843655052759,6.400567709037956
46,6.337612621164375,6.39645091808487
47,6.404257397307855,6.5179429944415945
48,6.393921507173515,6.478920614188919
49,6.420267192626407,6.508444680415951
50,6.440989810081778,6.518119041353622
51,6.563914749160479,6.509924588244713
52,6.597736688584924,6.50303189297508
53,6.604789438391978,6.498831004249888
54,6.719797648914258,6.492168534934097
55,6.724293251975721,6.493583963703098
56,6.70807347665705,6.490027226012597
57,6.376134705826333,6.490754626020756
58,6.141810678834342,6.358492872173264
59,6.154170225733569,6.36296813421643
60,6.134606957780981,6.365316822954006
61,6.128450955290582,6.329526296595157
62,6.131779170741259,6.21427134449893
63,6.115762704359025,6.205865617187821
64,6.22424496797063,6.353534422212668
65,6.2386891236697295,6.204790482645907
66,6.288082666972602,6.207115453879592
67,6.223781017326023,6.208015661009062
68,6.138293314353324,6.346716910666902
69,6.146186949806263,6.341263476654637
70,6.148032634165344,6.339461562014965
71,6.154407268815136,6.407295653220867
72,6.309652122611329,6.343956828206739
73,6.373813365371398,6.342045789938428
74,6.418604935085321,6.485114874213098
75,6.446507810833791,6.344612596914546
76,6.445987944428703,6.469188615525719
77,6.546800532856457,6.45838072888218
78,6.596983860325174,6.456960017389824
79,6.611633926220768,6.449801859435565
80,6.664647080013183,6.571208675610823
81,6.64740628814655,6.5680998355525855
82,6.466583346997119,6.564438980404133
83,6.547946551878453,6.555150291213322
