,Mulindi,Kigali
0,6.569617819009791,6.60766588664732
1,6.50562523792878,6.610654572924529
2,6.4648259307598455,6.527022138629751
3,6.366738470251616,6.442398033096756
4,6.357318672267458,6.452704987440505
5,6.300594244635564,6.4211218419049745
6,6.278478913332269,6.3818572677861045
7,6.453798468733787,6.41215791168947
8,6.524424474867103,6.417968668847862
9,6.5129395071643295,6.395864436139286
10,6.4077323489769,6.4089058284778835
11,6.31503449951175,6.4016191643122715
12,6.3491209569008795,6.378190424051511
13,6.300669826323784,6.356308915970608
14,6.3525354561588125,6.342013303231424
15,6.345718707386183,6.3408838873316
16,6.417653366639447,6.330911713184831
17,6.4276473327449715,6.3556792310702805
18,6.43371343506239,6.439363167604508
19,6.440849847951568,6.480043589115258
20,6.4506712277613385,6.474282247601098
21,6.327422859653935,6.47109870135023
22,6.318002160215768,6.524600555311195
23,6.3223598590589045,6.5255426678105755
24,6.282798018061442,6.475499345730819
25,6.323144869517995,6.4639965817871365
26,6.2995639049086956,6.451213162169567
27,6.292002087088234,6.443533324611391
28,6.304604106173052,6.442376201211883
29,6.3105279105676155,6.436966041172141
30,6.314460248915133,6.440075778214787
31,6.305578577319647,6.463288771472494
32,6.289778099267678,6.442049560979761
33,6.270815856207698,6.462544947443345
34,6.274841269087849,6.403458646909942
35,6.084477684526653,6.41471937139723
36,6.070379167864003,6.475176050086961
37,6.003089786461543,6.446638099291727
38,5.982706299728344,6.459817760557138
39,5.996583678595751,6.438948204351826
40,6.003796407065341,6.430693375926778
41,6.033991403170058,6.422478174743804
42,6.047192347256588,6.414993285944068
43,6.055343352107502,6.445740370001599
44,6.066684859866918,6.451586290392824
45,6.07396097887505,6.469509205980361
46,6.081830324287008,6.474646642455611
47,6.065341284082621,6.478276715555951
48,5.854634452199313,6.478518161893035
49,5.906175380341573,6.478694573112903
50,5.862135448073135,6.457100498300085
51,5.863045001954365,6.395930343785088
52,5.894267897562766,6.335332305585795
53,5.932652055287233,6.306490925556851
54,5.9480501100060765,6.18968824395645
55,6.107226246852279,6.2245899073714615
56,6.106559186584045,6.211731714648499
57,5.965857868105844,6.241209328100147
58,6.003899360423918,6.117567405851823
59,6.095560858984532,6.188758733831661
60,5.86745995162506,6.066910390681981
61,5.8249832226921185,6.053190075962875
62,5.859684103370586,5.988006352915141
63,5.8392306394449305,5.990702507062162
64,5.828479310186799,6.048587957805855
65,5.865998656947561,6.111864964969682
66,6.022947131742054,6.117110741575557
67,6.117882910983303,6.117882910983303
68,6.104158632336177,6.114812486133453
69,6.075747795889982,6.117133012052837
70,6.078000995838175,6.10092178002919
71,6.098951846184994,6.153694269392262
72,6.094006243956651,6.190398089631717
73,6.069454318059752,6.058201002373025
74,6.0951313656058135,6.124458980700333
75,6.137308228419308,6.17333983979022
76,6.085184295847962,6.17692304328469
77,6.0809385688929325,6.1851219213777435
78,6.0951668767721845,6.272019544272039
79,6.107214464870389,6.1696200310578195
80,6.119951805963192,6.196981814994793
81,6.197374924687783,6.199957793106037
82,6.199490842288225,6.157305325363597
83,6.2137274845786115,6.156069595177607
84,6.205382227431731,6.198301556359853
85,6.179920278168415,6.24697062490582
86,6.202140322895448,6.205457075521442
87,6.172727097812049,6.233701501018683
88,6.193690949023833,6.214141559495124
89,6.159841600773642,6.2057513020777195
