,Mombasa,Arusha
0,5.663050592336632,5.3161332504449055
1,5.665145711442798,5.313708138404248
2,5.672257771114077,5.30891085511358
3,5.651678900329039,5.731657082610951
4,5.616937775018008,5.7245594047698205
5,5.559612094317776,5.721962954176504
6,5.508948156693528,5.617142605034944
7,5.6263395456444005,5.400440642658901
8,5.628726783762941,5.399964071637734
9,5.623469969304146,5.39768511652383
10,5.648495052856374,5.296231023149782
11,5.645324684896288,5.291335463523213
12,5.642164336412144,5.395121450512922
13,5.701232614430102,5.3918837370684916
14,5.7330818821748855,5.357856917668446
15,5.75819389314574,5.39836341672408
16,5.732670950171132,5.403761418458451
17,5.6348541569084265,5.43679595632625
18,5.726462901680004,5.44444472114339
19,5.720646562679751,5.534579538846854
20,5.715593832472825,5.649944168589701
21,5.709519147946396,5.75282669928617
22,5.7042127310879,5.794338779709701
23,5.698466882606674,5.827777437084094
24,5.828932639445087,5.869704669993074
25,5.8083487644079135,5.930973454855508
26,5.798502773635724,5.986426665467563
27,5.894760727380856,6.031250271040776
28,5.931263106852228,6.11528598802862
29,6.044876058755317,6.111559480006191
30,6.040135130622588,6.268523178429757
31,6.08743755590237,6.261541545051247
32,6.156595783368672,6.1877713548258875
33,6.106228931967803,6.183889545754441
34,6.10914137552613,6.006220888349961
35,6.0124208253056635,5.7846371836482176
36,6.0093684917455406,5.497595701740491
37,5.798358695976124,5.514044262101511
38,5.8025463916065,5.499299789558962
39,5.731476442585433,5.4992076023025565
40,5.615090218675191,5.412854321800954
41,5.585998293645282,5.408898442850501
42,5.625046498777687,5.380760254795821
43,5.6259706148010675,5.54110921613512
44,5.562411186352244,5.53579587677543
45,5.488603902297297,5.4499121698897035
46,5.481896746596045,5.259386746576515
47,5.478688512148342,5.257175820927511
48,5.442339363857878,5.25021947087972
49,5.404987014890031,5.3430828702914175
50,5.476969285325734,5.34498329758997
51,5.51190955272393,5.391339105961063
52,5.516384814767096,5.253218435175246
53,5.451887323360883,5.031718853651894
54,5.452128345910097,4.900092483650358
55,5.298810832680764,4.902001142312378
56,5.247015270894869,4.901519197262282
57,5.197511226331219,4.739282205158855
58,5.288499750771752,4.9023315780284715
59,5.110171222312179,4.969585316326035
60,5.106058887618105,5.029941707869589
61,5.198150143915265,5.028424999593834
62,5.274217653954362,5.025798518342362
63,5.348390814951041,5.136507602734529
64,5.3505638617977445,5.188366307921746
65,5.352724675040466,5.218885617578165
66,5.352533414353242,5.184950383554069
67,5.360036012356825,5.114944618859133
68,5.313287179888288,5.1628664932766215
69,5.344731837670846,5.1313885312131235
70,5.336953762447899,5.128853674501414
71,5.476130764378098,5.141140312830274
72,5.755085558829836,5.2216896097719925
73,5.807565399260921,5.240051789536639
74,5.729077884469241,5.213997725698514
75,5.7270804619194875,5.3096563986669185
76,5.746629404694002,5.685438107137704
77,5.743367757715662,5.746956373572211
78,5.743795460590952,5.686171358715641
79,5.74005315666646,5.807795590512352
80,5.7270849619597355,5.688434236107429
81,5.645532246460546,5.808464115211822
82,5.592702952799393,6.042551197210232
83,5.6137081930822825,5.823283862802259
