,Nakuru,Eldoret
0,6.398194774497013,7.268272663216036
1,6.384698472136362,7.234668422408563
2,6.438302868526916,7.190784742349406
3,6.432925990142166,7.3201385438559
4,6.3716014051639265,7.316380423942373
5,6.386648304973945,7.34732803813147
6,6.451718963030507,7.308340030983496
7,6.4487076584972955,7.266137990754371
8,6.436726620121427,7.190476283175049
9,6.4436668044931,7.220061456829194
10,6.446450009909804,7.236925534430312
11,6.485283742095189,7.178430922655134
12,6.554696674159666,7.1787560885656685
13,6.547987259052753,7.17061455885785
14,6.483603857809086,7.176751038369032
15,6.536468174366648,7.174175103668285
16,6.533368967596608,7.142981126328327
17,6.528469230097079,7.092497495215696
18,6.509328249937939,7.123941040198397
19,6.517076679684085,7.167429200577943
20,6.506506876358174,7.149434299939093
21,6.506947462931485,7.188697054769562
22,6.494855823139383,7.226764956153801
23,6.475317329493039,7.194643125527804
24,6.412670748903304,7.133786765819096
25,6.422393469463228,7.119817206790433
26,6.433268040607714,7.135657592303315
27,6.422974334594903,7.122766057873517
28,6.450679519091376,7.129516404338379
29,6.432644039765539,7.107086137384232
30,6.8491590429770435,7.10337477888063
31,6.482521733841636,7.142399046183262
32,6.414559655454889,7.133447387611423
33,6.4437583877859055,7.143588825164313
34,6.444824767251019,7.166051730228647
35,6.441427189427153,7.122415109531602
36,6.43631017186397,7.073966588601332
37,6.450885006547106,7.127827729788931
38,6.453087884300771,7.128627152671136
39,6.454191311858216,7.133004424352959
40,6.451858171892545,7.134606645231592
41,6.453013202388689,7.104619739457457
42,6.416217016430829,7.127817524031642
43,6.532283230453505,7.1366826210159005
44,6.520031071425579,7.164484422289458
45,6.503776627459613,7.163625857851087
46,6.434348753137186,7.125421961298002
47,6.380900786401212,7.097292353375164
48,6.536741553451624,7.134793783196345
49,6.529801019002309,7.098686659062667
50,6.5278163090448675,7.083402306156786
51,6.521109153343616,7.037305883772062
52,7.183436604386768,7.052320563833304
53,7.1907652847224615,7.070113474080583
54,7.183174406572542,7.049110485312021
55,7.187014165146625,7.046443940947998
56,7.120013242144894,7.039414082395344
57,7.123612710625074,7.076632483010425
58,7.130773010700321,6.987595394574869
59,7.126805802875904,6.887283616649819
60,7.1228227936051365,6.939034472097251
61,7.116770678167922,6.9347825102752045
62,7.161237632979397,6.954239228574494
63,7.244645979701413,7.018760365676765
64,7.243769219687977,7.0449420854537905
65,7.035867321711047,7.069501977025853
66,7.072326129377245,7.09537167081274
67,7.206165137455979,7.213096007448676
68,7.171202387748887,7.189065505169518
69,7.166682279178047,7.185099005964277
70,7.153405844266326,7.190242421622816
71,7.148856416048117,7.175409380811988
72,7.141065800267546,7.166807646515863
73,7.144564718188092,7.17829990127378
74,7.1406900535734215,7.190075278754165
75,7.13931743579251,7.20284045084742
76,7.131948006281767,7.212426845505268
