,Ruhengeri,Kasese
0,6.8135210551647605,6.846294610070295
1,6.810748082922316,6.8749915146261005
2,6.790431092119046,6.843288110274468
3,6.765571627177055,6.747877338047209
4,6.779237455066693,6.711271538568826
5,6.792719043066423,6.712511488848022
6,6.798544539692396,6.8227773515096315
7,6.821736316210255,6.8345108264562
8,6.7911934211890586,6.8240528250536485
9,6.805207369387469,6.800296410172921
10,6.792370396876302,6.7963537494475075
11,6.861092994156332,6.843750293823358
12,6.813201935145533,6.847365684337016
13,6.802872318444153,6.8998802368783645
14,6.78904322653777,6.898080016079373
15,6.768226647180095,6.892007711613546
16,6.762050781454818,6.886417456629419
17,6.736856110620549,6.880360890079465
18,6.792533393429326,6.859476424725056
19,6.8110443112941885,6.838523701479584
20,6.810413684426482,6.805052128237891
21,6.809377056711561,6.799043430217704
22,6.810479038787743,6.798830381450847
23,6.811583308225624,6.798617378064098
24,6.805929147388593,6.78243099362471
25,6.847954797375551,6.73223785079909
26,6.845384689993779,6.757571754831194
27,6.841007786991967,6.7791155991568
28,6.843339265348304,6.758792375998723
29,6.846374027923991,6.739221946974403
30,6.852737401657419,6.775537810337138
31,6.853417162565521,6.788287660671727
32,6.854164942208932,6.7871561558233
33,6.858107532387714,6.788561757047894
34,6.8576869493303585,6.78975454333694
35,6.853863218306122,6.784852526933321
36,6.848732973604506,6.779994022496103
37,6.836158484034943,6.775159009039205
38,6.828856108109329,6.771612268352634
39,6.820229900963154,6.79678820842347
40,6.8233815623447205,6.7860935707557255
41,6.833153202340072,6.775265977188408
42,6.847343831622957,6.761185717260585
43,6.852580761929317,6.697961309806346
44,6.851658411926584,6.671182608897453
45,6.805668132517342,6.806045907371657
46,6.805091157745374,6.811898807473221
47,6.804516756600616,6.786626721352554
48,6.8359432593471405,6.78962837432224
49,6.703079531454919,6.8045029596903825
50,6.730464012647935,6.80437423335443
51,6.7737533357147415,6.788032684728935
52,6.815897885274675,6.713453268182942
53,6.820153170268654,6.701104899592258
54,6.814656500500298,6.750262269352953
55,6.809158933198022,6.7716965633469055
56,6.806864602037824,6.7413466062416125
57,6.796921553933091,6.743302487842133
58,6.827230029427219,6.7750176455678535
59,6.813598416771321,6.794324999637309
60,6.810071778101436,6.720813318959678
61,6.807959666693398,6.680628457109515
62,6.812208833519188,6.812089608259642
63,6.817439060212475,6.789399072119459
64,6.8355631349145005,6.795680491078833
65,6.830828488019258,6.790310268364219
66,6.809306459696213,6.81638222368294
67,6.787285990253007,6.797946496381307
68,6.776335923355868,6.7986004535561015
69,6.763516390622766,6.7055186025503914
70,6.8760581790826185,6.755359719867269
71,6.870501498290906,6.75051160360952
72,6.862767211617765,6.793574240158408
73,6.852355510523528,6.7870203761933565
74,6.851404835019904,6.814926464638243
75,6.851349769330533,6.8873426138287295
76,6.849216775737552,6.894996310390155
