,Soroti,Mbale
0,6.04131048195558,6.327378349052819
1,6.067679170932938,6.325294744437323
2,6.221705147107435,6.321873636062836
3,6.218606555244162,6.313997973116691
4,6.438389706434408,6.313607988105986
5,6.4301943469023986,6.4301943469023986
6,6.216049695558607,6.436508681502148
7,6.119623341749793,6.2258225973734085
8,5.71903860700354,6.22956876614927
9,5.719241836835949,6.2275476341741385
10,5.800096710061011,5.941103502770316
11,5.933728619282173,5.936110990867579
12,5.90105695564276,5.933629195808209
13,5.823103905767166,5.928200534367122
14,5.617400973585761,5.989968378186867
15,5.656328809819859,5.985112557957192
16,5.766673222085411,5.974660715674831
17,5.607733441311675,5.914833599620557
18,5.604900743720365,5.915600186058894
19,5.602076047644162,6.198809498536087
20,5.603546248123648,6.201628316886867
21,5.680526165783623,6.191351789549613
22,5.686539010438083,5.912089301782857
23,5.767478604038691,5.909653092819234
24,5.904856544135821,5.906063544885857
25,5.758540898024515,5.900059830945873
26,5.752999880080181,5.896287447650069
27,5.7432146867839835,5.8876329296930106
28,5.7408191944601175,5.882789455730505
29,5.732763689273369,5.875485673277005
30,5.732186734676591,6.155975117934736
31,5.720147026922902,6.139918530682304
32,5.775922780561859,6.347915185539579
33,5.828751262238462,6.340348788783034
34,5.931781950088486,5.9568974254661855
35,5.869226387091382,5.869226387091382
36,5.852730596523678,5.852730596523678
37,5.841110680347479,5.838607550129361
38,5.896394331465438,6.015755899414871
39,6.126011951115102,6.020651435457276
40,6.0276661383997325,6.023490766989252
41,6.028411783901574,6.029452908409985
42,6.037629071824705,6.145259736017071
43,6.042672118507518,6.148032634165344
44,6.0478205114340655,6.154407268815136
45,6.069061657693399,6.147872838117689
46,6.099299003294265,6.152141484668644
47,6.2063025460794305,6.158207792230096
48,6.205810891938681,6.155978518190804
49,6.244408571030333,6.144588235748122
50,6.301166696648176,6.14072173954953
51,6.310560319430186,6.133180094494065
52,6.425531646586908,6.346750768733793
53,6.420997000136489,6.34869360360119
54,6.5275549994261075,6.343990434392556
