,Gulu,Masindi
0,5.720502665874353,5.675177687462979
1,5.868849431235698,5.868849431235698
2,6.055929909477627,5.897916187093915
3,6.056255455088939,5.893859837756065
4,6.100530952210517,5.886718728325191
5,6.108601807739858,5.959743895809117
6,6.116657447336414,6.00134660082542
7,6.036551920238567,6.005981854153889
8,5.796833213578132,5.535290529329386
9,5.1793019174722925,5.312198590938724
10,5.247119352054922,5.368581761113166
11,5.242260847617704,5.368956130992608
12,5.414996788196163,5.41895718941226
13,5.41348878419944,5.3563303703594904
14,5.294200015198664,5.294200015198664
15,5.148628346066969,5.280381673081202
16,5.002142151776049,5.1520064984226215
17,4.999309454184739,5.074272492658195
18,4.9964847581085365,5.074221723464717
19,4.997954958588023,5.078458177437094
20,5.138928883350879,5.068819317163852
21,5.149262200584922,5.074360892411804
22,5.149232731651864,5.149232731651864
23,5.146848729373835,5.146848729373835
24,5.2702397843372015,5.139302426889725
25,5.2688916446529035,5.132759470328324
26,5.258412836439298,5.126191201696839
27,5.256017344115432,5.123795709372973
28,5.249029867215732,5.116156585835759
29,5.245255431110037,5.111724038485514
30,4.9365768402933785,5.093877129023532
31,4.918493796224216,5.072644476051474
32,4.922703897779067,5.067713746135665
33,4.949795958948936,4.544330850840772
34,4.951709413493983,4.492688200916857
35,4.935198399561458,4.478766847861266
36,4.517791118388978,4.464766650080757
37,4.571351620401395,4.491005807556552
38,4.760818943546503,4.760818943546503
39,4.761738273045454,4.853675768371139
40,4.7681129076952455,4.86609331605545
41,4.907233372636462,4.942049894503591
42,5.029341970386531,4.946942438619464
43,5.109427877309861,5.033716055574165
44,5.23877496105929,5.23877496105929
45,5.227376269354647,5.227376269354647
46,5.223509773156054,5.223509773156054
47,5.212721725191387,5.303592620673194
48,5.428968612272969,5.5467516479293515
49,5.430916987352611,5.564680694997345
50,5.611264267551952,5.520292489346226
51,5.608661216689686,5.4791271644977835
52,5.5476585467638975,5.539695727085255
53,5.280692243520937,5.086228299901257
54,5.108758921557864,5.075033286849828
55,5.339080725810314,5.223319935534699
56,5.414115664844142,5.393261828560937
57,5.4654759309491885,5.387802892630971
58,5.509083490003193,5.481495533484364
59,5.530609645956863,5.527281855864189
60,5.574071687927004,5.531926066476241
61,5.48762048209678,5.534926599493717
62,5.531315649394447,5.613902240403721
63,5.2247622563436,5.133041133779092
64,5.269821239667285,5.207854515918085
65,5.299117282228629,5.269516812452338
