,Owino,Kisumu
0,6.798784380987672,6.962333576466893
1,6.780863139737147,6.9644286955730585
2,6.785863734730093,6.925020739609445
3,6.782920392762594,6.916714914225894
4,6.812433444848947,6.903102669897625
5,6.81666122532976,6.944983520439066
6,6.781698478553577,6.944078734159975
7,6.804630896958932,6.959804721936134
8,6.865181079880216,6.962469649556401
9,6.854761481672814,6.955863003621561
10,6.731512427871016,6.802132625838909
11,6.693065159941576,6.797132431201746
12,6.711959545676619,6.792663010662613
13,6.681962294716007,6.738179698461554
14,6.676617289707049,6.790578410452025
15,6.676958710145931,6.734416965742569
16,6.669579553199765,6.78819965270293
17,6.73250569688453,6.732362083233483
18,6.72413270251338,6.6109272019424825
19,6.767621992926765,6.606750370556886
20,6.747918247451214,6.661817556307076
21,6.616691967556228,6.713376658101881
22,6.643105439816351,6.707919411616959
23,6.71367257311054,6.700426658395675
24,6.709005219374411,6.690153584577086
25,6.675305847059376,6.7756642982529165
26,6.677944559785632,6.768181378927941
27,6.688526311269359,6.8574173798129365
28,6.789634928124658,6.945844058659234
29,6.836408044213878,6.846520602884505
30,6.820345673666395,6.833333419119588
31,6.830895669900067,6.827298231769488
32,6.848876293235224,6.828201556120558
33,6.854794478039374,6.831905765651529
34,6.798353170916925,6.833093794382744
35,6.7891845540846925,6.840011086199327
36,6.816866714907912,6.842086952579462
37,6.844035257349273,6.743678034426032
38,6.841756325876922,6.737567502194116
39,6.836897821439705,6.749620673390103
40,6.829654908914267,6.8468489001110076
41,6.853850366589606,6.848159397488766
42,6.849756700969181,6.853176764038861
43,6.757807827177755,6.849704299002957
44,6.76015492002685,6.851787878926591
45,6.791068923412794,6.938172336872028
46,6.786246224673918,6.933386187411803
47,6.79121031440766,6.9242602542843255
48,6.779138454451733,6.830563101473199
49,6.7576686534123604,6.826550927891677
50,6.757639184479301,6.839075902690276
51,6.754222657587084,6.909096409377089
52,6.747703532595385,6.907241508137412
53,6.743758663329377,6.903043764041587
54,6.86693289658317,6.8972163678432175
55,6.864996435711017,6.8990490718112625
56,6.8575456956748635,6.895078169691565
57,6.880288890733101,6.809435037407744
58,6.836374624684397,6.81028303247135
59,6.749535613786933,6.7213571194261155
60,6.7365115042288854,6.724852999173771
61,6.713384551210295,6.818620079733808
62,6.716524247478587,6.819802918443612
63,6.703920200722496,6.812001420758136
64,6.716058448687252,6.806494489973673
65,6.709428704165631,6.662215329684782
66,6.768858393200249,6.717607132075606
67,6.797002457317225,6.718006211657631
68,6.800158323315804,6.800221540532602
69,6.787015970707526,6.793248600397694
70,6.789886520337739,6.792769087431823
71,6.795680491078833,6.792414877194827
72,6.788850769199765,6.794825477266455
73,6.790506319036384,6.794423815264695
74,6.56367290033826,6.709252955693816
75,6.594939580727151,6.7010744499692105
76,6.6302377046216385,6.787359453208324
77,6.641552832590525,6.687521299668765
78,6.692003384699462,6.775413748508359
79,6.765539538040429,6.768512121403341
80,6.762291843417632,6.7725331795303925
81,6.76328975523027,6.767813135058409
82,6.763797126782395,6.764907859518475
83,6.7349348514424365,6.755210672344658
