,Ruhengeri,Rubavu
0,6.3505274176451865,6.3505274176451865
1,6.356295554316818,6.338831556071906
2,6.331652474601729,6.200247670724247
3,6.3194663693278175,6.197517900692371
4,6.435318518671753,6.2428073674973135
5,6.187817273279038,6.405875452209969
6,6.208711954105321,6.183324147985908
7,6.2291789679687435,6.16444142205193
8,6.260458833047617,6.091685186075201
9,6.259850333455934,6.152535404976829
10,6.258051642699801,6.151329656443653
11,6.253402841152678,6.151035932302546
12,6.384660785459621,6.151557894242654
13,6.390108061736788,6.25945436893988
14,6.395330794306281,6.317447137489437
15,6.3969721376803355,6.319186461615421
16,6.395356988088534,6.266469806298685
17,6.047576051615705,6.248852313650454
18,6.164539768770413,6.266439758253793
19,6.160488584088879,6.341444331428538
20,6.256489932812973,6.2895708032772255
21,6.248098183886897,6.343557628562012
22,6.2412519083112645,6.353729891737955
23,6.23363083040881,6.320916067457662
24,6.2355023862255505,6.288605033587297
25,6.244994375170911,6.2310789071089365
26,6.259788674998292,6.261869841202117
27,6.158269843311817,6.445019949246934
28,6.158045356678502,6.395071592777901
29,6.040736731833174,6.44550278363884
30,6.040304680308272,6.339168770196058
31,6.011286117483688,6.398322519768936
32,5.891147034475059,6.095316530794884
33,5.8858695278639335,6.1583768022964795
34,5.829566853466542,6.188511945939813
35,5.997897915733644,6.155967213988995
36,6.040925167031038,6.193923108978489
37,6.034473459811091,6.2692660683425
38,6.039343175233221,6.3091539525461995
39,6.103328911862708,6.0091653020292055
40,5.8673270045932275,5.942215786225738
41,5.753936125328072,6.075861221202065
42,5.7065654678776445,5.999235081840465
43,5.916706675330274,5.940666749077419
44,5.992846130605414,5.963512142491708
45,6.035329222014908,5.910850307619926
46,6.021894233396215,5.887764933429515
47,5.99956668309799,5.934024073803191
48,6.000099875326919,6.011883621748981
49,5.997390656910471,5.9984734940493025
50,6.050275201124174,6.061563160898026
51,6.123328952279136,6.0102314541191575
52,6.123331405662144,6.038944013384596
53,6.000480185945827,6.000480185945827
54,5.868444467091552,5.92525732648596
55,5.952488292630035,5.919927276580723
56,5.98628842153151,5.992831520120446
57,5.975456961023795,5.9215112981320805
58,5.962419968657595,5.907984762102577
59,6.015043960556395,5.955982246065133
60,6.064654850451594,6.0191694960574775
61,6.0535493513875585,5.936512306067896
62,6.053942461080548,5.8864359900717345
63,6.0750159306070834,6.051346186521179
64,5.933375583093265,6.0509088996823
65,6.043318161974349,6.056175482193793
66,6.142361748868113,6.06141447306415
67,6.005459359447893,6.002371348759317
