,Eldoret,Owino
0,7.2857998494089715,6.798784380987672
1,7.283754175849106,6.780863139737147
2,7.268272663216036,6.785863734730093
3,7.234668422408563,6.782920392762594
4,7.190784742349406,6.812433444848947
5,7.3201385438559,6.81666122532976
6,7.316380423942373,6.781698478553577
7,7.34732803813147,6.804630896958932
8,7.308340030983496,6.865181079880216
9,7.266137990754371,6.854761481672814
10,7.190476283175049,6.731512427871016
11,7.220061456829194,6.693065159941576
12,7.236925534430312,6.711959545676619
13,7.178430922655134,6.681962294716007
14,7.1787560885656685,6.676617289707049
15,7.17061455885785,6.676958710145931
16,7.176751038369032,6.669579553199765
17,7.174175103668285,6.73250569688453
18,7.142981126328327,6.72413270251338
19,7.092497495215696,6.767621992926765
20,7.123941040198397,6.747918247451214
21,7.167429200577943,6.616691967556228
22,7.149434299939093,6.643105439816351
23,7.188697054769562,6.71367257311054
24,7.226764956153801,6.709005219374411
25,7.194643125527804,6.675305847059376
26,7.133786765819096,6.677944559785632
27,7.119817206790433,6.688526311269359
28,7.135657592303314,6.789634928124658
29,7.122766057873517,6.836408044213878
30,7.129516404338379,6.820345673666395
31,7.107086137384232,6.830895669900067
32,7.10337477888063,6.848876293235224
33,7.142399046183263,6.854794478039374
34,7.133447387611423,6.798353170916925
35,7.143588825164313,6.7891845540846925
36,7.166051730228648,6.816866714907912
37,7.122415109531602,6.844035257349273
38,7.073966588601332,6.841756325876922
39,7.1278277297889305,6.836897821439705
40,7.128627152671136,6.829654908914267
41,7.133004424352959,6.853850366589606
42,7.134606645231592,6.849756700969181
43,7.104619739457457,6.757807827177755
44,7.127817524031642,6.76015492002685
45,7.1366826210159005,6.791068923412794
46,7.164484422289458,6.786246224673918
47,7.163625857851087,6.79121031440766
48,7.125421961298002,6.779138454451733
49,7.097292353375164,6.7576686534123604
50,7.134793783196345,6.757639184479301
51,7.098686659062667,6.754222657587084
52,7.083402306156786,6.747703532595385
53,7.037305883772062,6.743758663329377
54,7.052320563833304,6.86693289658317
55,7.070113474080583,6.864996435711017
56,7.049110485312021,6.8575456956748635
57,7.046443940947998,6.880288890733101
58,7.039414082395344,6.836374624684397
59,7.076632483010425,6.749535613786933
60,7.080427337668469,6.7365115042288854
61,6.987595394574869,6.713384551210295
62,6.887283616649819,6.716524247478587
63,6.939034472097251,6.703920200722496
64,6.9347825102752045,6.716058448687252
65,6.954239228574494,6.709428704165631
66,6.9570499907613135,6.768858393200249
67,7.018760365676765,6.797002457317225
68,7.0449420854537905,6.800158323315804
69,7.069501977025853,6.787015970707526
70,7.09537167081274,6.789886520337739
71,7.196801651993541,6.795680491078833
72,7.194447111880922,6.788850769199765
73,7.219553753093459,6.790506319036384
74,7.213096007448676,6.56367290033826
75,7.189065505169519,6.594939580727151
76,7.185099005964277,6.6302377046216385
77,7.190242421622816,6.641552832590525
78,7.175409380811987,6.692003384699462
79,7.166807646515863,6.765539538040429
80,7.17829990127378,6.762291843417632
81,7.190075278754165,6.76328975523027
82,7.20284045084742,6.763797126782395
83,7.212426845505268,6.7349348514424365
