,Ngozi,Gitega
0,6.796363623530281,6.865100051882092
1,6.642580013187319,6.796639172399495
2,6.676314652460078,6.795266595321443
3,6.705876855733924,6.778783626542012
4,6.684344074574107,6.7660341127686685
5,6.698696094415852,6.774901445615591
6,6.686463338246203,6.826199041133555
7,6.780250694046756,6.8490244834866045
8,6.775560018507979,6.845448202454812
9,6.527621687520081,6.747834118025431
10,6.423233414258223,6.522128887772034
11,6.449844647367992,6.40337779635737
12,6.526658500198199,6.439896842275917
13,6.610008256721139,6.529176096097467
14,6.6040351960843635,6.6040351960843635
15,6.521088849750354,6.604195317677902
16,6.519407263256823,6.6738524505225225
17,6.642409956263854,6.6789081743070815
18,6.646642364630414,6.682205652188828
19,6.670113371590146,6.670113371590146
20,6.655729954181555,6.656913386272335
21,6.710702043271596,6.710702043271596
22,6.820013022379691,6.819769861284269
23,6.890383452714823,6.86289733852379
24,6.856779490539636,6.855862479929755
25,6.87464120456885,6.7625571178219355
26,6.838285416478271,6.836534868985286
27,6.829713619400052,6.880655512571653
28,6.743905447107665,6.773022319706008
29,6.595159213579168,6.71097374466288
30,6.682495098839073,6.825832500893881
31,6.650454559336517,6.818856204014143
32,6.574571448729524,6.714431531347168
33,6.522935379097491,6.717461284424855
34,6.3630764563920525,6.275775210324592
35,6.445844326089781,6.501184359241759
36,6.369406395577907,6.587083706752373
37,6.442079567005593,6.517312504122805
38,6.436808990163779,6.513148083852709
39,6.501454443918998,6.501454443918998
40,6.486444466812319,6.520346018488
41,6.479571586777331,6.549713223468156
42,6.538860792629208,6.603039018320619
43,6.538709517863751,6.662752554799725
44,6.60172521678432,6.662668441846831
45,6.60778781938417,6.668827279658887
46,6.5467567269987015,6.611731072941602
47,6.409421284649685,6.618234456890616
48,6.33491731345092,6.559515410476124
49,6.251811614470395,6.559529713682596
50,6.253744180498596,6.3368395799621595
51,6.4231887078531456,6.4238609767860275
52,6.42607287664594,6.42607287664594
53,6.422977584926722,6.422977584926722
54,6.419891844481952,6.471621871444935
55,6.416376904053828,6.416376904053828
56,6.4866941874054715,6.616473230411444
57,6.49151347154548,6.624576589752642
58,6.341372774360563,6.5674275358822305
59,6.463049711665355,6.569965437589987
60,6.47053037381762,6.507359933096713
61,6.474797346458598,6.511026284755057
62,6.528371671073536,6.440799661675883
63,6.52375699743188,6.449841314481712
64,6.5328811482083315,6.5328811482083315
65,6.6027541132215966,6.533509701046613
66,6.611459209890555,6.541084515433901
67,6.601327296532839,6.600150133359824
68,6.597690809386151,6.597690809386151
69,6.599449824791331,6.662999280515012
70,6.600620785112481,6.69385423156306
71,6.640669759310491,6.718687258923526
72,6.647792815864582,6.7120547500829515
73,6.365127855297101,6.656123017471842
74,6.489590766797371,6.595082163942198
75,6.481986608370936,6.5181195713551245
76,6.535780683567229,6.428488333446317
77,6.527266458375356,6.4184493198496195
78,6.582058249983899,6.479482980807147
79,6.641501152542139,6.609150311288972
80,6.6727228846882936,6.6114345607170115
81,6.622240862457765,6.4893556734098485
82,6.384811815564194,6.3432628126513215
83,6.338534765106397,6.254691216673205
84,6.362476731353213,6.336248967105975
85,6.611258986784031,6.547288808941099
86,6.66151572621953,6.634236347797868
87,6.659902196259232,6.688521001564885
88,6.656144184987139,6.5974015371096915
89,6.652579116350448,6.593265529262515
90,6.725170132658303,6.643630045119263
91,6.743661493188706,6.689702350816131
92,6.762529747985074,6.68209183025225
93,6.876904962960908,6.730434276198684
94,6.514230800690161,6.770474300430715
95,6.476015167921182,6.6044934926943135
96,6.677733056188251,6.594241924221874
97,6.702802940741385,6.531994829502916
