,Eldoret,Mbale
0,5.40235996842717,5.380096300829159
1,5.485834693801714,5.315108037028888
2,5.562256875899748,5.24560092612969
3,5.563125502987594,5.28347200357132
4,5.5472578543800175,5.291061483717872
5,5.540989582219774,5.334696527843346
6,5.5852044312251925,5.492372641406479
7,5.614821837749787,5.5871529054176285
8,5.6116514697897,5.55801951760426
9,5.736872287953763,5.518558680276081
10,5.702791461199394,5.458544154826388
11,5.669684032815304,5.426834949349819
12,5.5313670964152335,5.404544618028637
13,5.565890650588389,5.454821743197266
14,5.562781808867302,5.529090150862232
15,5.559682602097261,5.532587026491551
16,5.556127854713065,5.554161960903257
17,5.618013504133962,5.6617284787816615
18,5.58030741646639,5.73312151298501
19,5.573927743219124,5.757206829097955
20,5.570668024203145,5.732843320098814
21,5.641291921173533,5.704078414783624
22,5.635911086661275,5.685238653062714
23,5.827643908543224,5.687940930497865
24,5.819348123600469,5.722318971851242
25,5.769808922343714,5.874231226657774
26,5.807437756739882,5.999119475863482
27,5.983108652229409,5.996356259907167
28,5.959753612171627,5.991297558814167
29,5.998624812023313,5.983435180334269
30,5.959846070158149,6.022404210803276
31,5.9888055438607015,5.938288464858283
32,5.996869315839742,5.629472606775861
33,5.85614021922058,5.373399411927151
34,5.8020564056480115,5.372561740665815
35,5.772486606150529,5.368581761113166
36,5.783397572767739,5.526976439104388
37,5.718719359584662,5.567445339952891
38,5.763783859039392,5.467556005469715
39,5.649511699367608,5.294200015198664
40,5.553816903873834,5.399799209635835
41,5.554973270008276,5.221686419060612
42,5.521318248844151,5.151747804826485
43,5.459230470500578,5.147636934939538
44,5.469216360284354,5.1529607047350146
45,5.46268546713954,5.138928883350879
46,5.481115631967288,5.149262200584922
47,5.49897092403976,5.149232731651864
48,5.49549659756693,5.144268082780344
49,5.52262078757555,5.139302426889725
50,5.481896746596045,5.132759470328324
51,5.478688512148342,5.126191201696839
52,5.482449361196043,5.123795709372973
53,5.475938750862315,5.039616508713424
54,5.473526941134762,5.106418986255821
55,5.246206386990925,5.088471710456624
56,5.206229886463256,5.072644476051474
57,5.206169450008134,5.067713746135665
58,5.162662151664815,4.852632210495289
59,4.949812336240371,4.576458083982315
60,4.822899046160605,4.603064564538843
61,4.879057495212685,4.637137876021543
62,4.8184961215260165,4.630512510540956
63,4.883897777989041,4.562665145881269
64,4.820050455724354,4.74422916271955
65,4.8108673548902905,4.752465479950549
66,4.86663165427706,4.943140500340458
67,4.983277002366445,4.944059829839408
68,5.088590146056171,4.949208222765956
69,5.040090552975195,5.127453117834954
70,5.184068892220713,5.131306897043219
71,5.191413299921033,5.135136234020068
72,4.98633127202233,5.279048860197229
73,5.037706802375934,5.289896626335981
74,5.077086378178995,5.286030130137388
75,5.210427598645093,5.27784012457078
76,5.431594033681344,5.61253317730652
77,5.438255832750031,5.609203151428446
78,5.649035176795705,5.6081538451375605
