,Rubavu,Kamembe
0,5.68332221695433,6.002764318330901
1,5.745570824194382,5.950063258882491
2,5.744499160299211,5.913286848401468
3,5.748902380419817,6.008843422925059
4,5.901412347891585,6.083340281377958
5,5.909609747127564,6.110012869741412
6,5.88138860820022,6.043120302970567
7,5.885449001183037,5.915727360489298
8,5.91023385747563,5.980944674098517
9,5.877949466551875,5.934649562188009
10,5.807430327510093,5.953098566656013
11,5.83024134348357,5.920779329252172
12,5.8552996144266825,5.938681223365733
13,5.8103414162114975,6.051144921572411
14,5.739689784605746,5.990472439409617
15,5.735005921817984,6.048502540783727
16,5.813501572369873,6.060320959369367
17,6.041301566473711,6.082332963151574
18,6.04049528549609,6.087586893029941
19,6.040736731833174,6.087828339367025
20,6.036111802048236,5.966518510249041
21,5.816209009947213,5.961743790811702
22,5.740604296024,5.947367927319533
23,5.795127212715662,5.884663982208585
24,5.814299381335753,5.928085837307651
25,5.943595759656696,5.918735722337301
26,5.857796833267144,5.9655757297892515
27,5.879649152474358,5.945807822725435
28,5.825769074935162,5.987410426491579
29,5.754544091838312,5.791782436978431
30,5.808523324099377,5.643575735241475
31,5.783547979374717,5.66841395188991
32,5.809637653017458,5.667230462478968
33,5.994437243245431,5.669014842810803
34,5.884387792858654,5.599089511762149
35,5.850952166038857,5.630890281262055
36,5.861096686347354,5.637645962553383
37,5.910794225524063,5.6382727933029635
38,5.8441516037878545,5.776417385708099
39,5.967701835382549,5.743441589368264
40,5.8648528666519715,5.773881088446245
41,5.875312136219787,5.720749849060107
42,5.869122619354873,5.7491633042758945
43,5.793008395529098,5.697430083265733
44,5.8659538057791005,5.683133371449232
45,5.710285544700385,5.677690066450933
46,5.70659767384503,5.636156576181714
47,5.750670923712082,5.651380229421331
48,5.770783640589093,5.639541451558705
49,5.851113251675497,5.665345961715921
50,5.971516224160776,5.721440569652407
51,5.788494904457711,5.697584887052424
52,5.803054381132683,5.616632357291462
53,5.882112264482592,5.678284502467673
54,5.802729270206766,5.616044816719354
