,Ngozi,Bujumbura
0,6.642580013187319,6.724345967883887
1,6.676314652460078,6.72111633361112
2,6.705876855733924,6.713649690084677
3,6.684344074574107,6.778373024222383
4,6.698696094415852,6.8223937510694235
5,6.686463338246203,6.840010335592104
6,6.780250694046756,6.8505570508363824
7,6.775560018507979,6.84800182999163
8,6.527621687520081,6.827597222733355
9,6.423233414258223,6.726614396253107
10,6.449844647367992,6.629557669051358
11,6.526658500198199,6.681005393113499
12,6.610008256721139,6.717638920913505
13,6.6040351960843635,6.677712509890824
14,6.521088849750354,6.675043008008737
15,6.519407263256823,6.675617676047092
16,6.642409956263854,6.71241795320596
17,6.646642364630414,6.714559716263698
18,6.670113371590146,6.739498784789694
19,6.655729954181555,6.7443435598438075
20,6.710702043271596,6.776824205047225
21,6.820013022379691,6.822683899286118
22,6.890383452714823,6.947218165402806
23,6.856779490539636,6.960718281084678
24,6.87464120456885,6.971474282524568
25,6.838285416478271,6.937483564363597
26,6.829713619400052,6.976496739689599
27,6.743905447107665,6.874603427454372
28,6.595159213579168,6.87339414713954
29,6.682495098839073,6.714180423789458
30,6.650454559336517,6.875166738423355
31,6.574571448729524,6.868722394815225
32,6.522935379097491,6.718693266840134
33,6.3630764563920525,6.58685742406695
34,6.445844326089781,6.55420882754998
35,6.369406395577907,6.521785595756783
36,6.442079567005593,6.488271229329376
37,6.436808990163779,6.440095223814597
38,6.501454443918998,6.4275111757103085
39,6.486444466812319,6.448159276512173
40,6.479571586777331,6.441925987160964
41,6.538860792629208,6.471513334923606
42,6.538709517863751,6.468851220100371
43,6.60172521678432,6.468658040802564
44,6.60778781938417,6.460127156928624
45,6.5467567269987015,6.476642290187626
46,6.409421284649685,6.4825220383197335
47,6.33491731345092,6.472715427631664
48,6.251811614470395,6.4563708436722385
49,6.253744180498596,6.341947216020505
50,6.4231887078531456,6.344154234175285
51,6.42607287664594,6.346366134035198
52,6.422977584926722,6.342542775301656
53,6.419891844481952,6.380133352342867
54,6.416376904053828,6.336670161443085
55,6.4866941874054715,6.331710868062998
56,6.49151347154548,6.626759996733585
57,6.341372774360563,6.278193872739031
58,6.463049711665355,6.257901504570224
59,6.47053037381762,6.219677860644931
60,6.474797346458598,6.176051054401437
61,6.528371671073536,6.434047441558596
62,6.52375699743188,6.370751494971978
63,6.5328811482083315,6.378417919542773
64,6.6027541132215966,6.379463837528869
65,6.611459209890555,6.504600469023315
66,6.601327296532839,6.530652338862903
67,6.597690809386151,6.564274812466308
68,6.599449824791331,6.633429483160795
69,6.600620785112481,6.631161908493015
70,6.640669759310491,6.623170018346125
71,6.647792815864582,6.7685213617507225
72,6.365127855297101,6.743180332399326
73,6.489590766797371,6.685131716444689
74,6.481986608370936,6.604285639756804
75,6.535780683567229,6.5699303434193475
76,6.527266458375356,6.561457823123636
77,6.582058249983899,6.582641850817505
78,6.641501152542139,6.609717044089632
79,6.6727228846882936,6.568203858743479
80,6.622240862457765,6.524892407686636
81,6.384811815564194,6.5304575421327336
82,6.408706727896312,6.552413448562486
83,6.611258986784031,6.611258986784031
84,6.66151572621953,6.634236347797868
85,6.659902196259232,6.630440163528916
86,6.656144184987139,6.657757522255605
87,6.652579116350448,6.70653302317301
88,6.725170132658303,6.801022218870693
89,6.743661493188706,6.794857506580023
90,6.762529747985074,6.927393011309704
91,6.876904962960908,6.921320157780837
92,6.514230800690161,6.665630447145529
93,6.476015167921182,6.659163512691131
94,6.677733056188251,6.704573633641416
95,6.702802940741385,6.703783813796977
