,Mulindi,Kabale
0,6.81738641762939,6.701852140811479
1,6.813521055164761,6.701370265931681
2,6.807770681886676,6.700888158736531
3,6.7760978809169945,6.696305919925822
4,6.75549879438876,6.747314433444672
5,6.752097401946285,6.743174060860236
6,6.754797815745553,6.734841530009721
7,6.767494833372926,6.769371524285239
8,6.750147987945943,6.822492356596554
9,6.7611142054171625,6.792521356799219
10,6.745774752578109,6.761624268926409
11,6.7484220841200795,6.747550490779322
12,6.702427529643627,6.747654111243598
13,6.688547499490726,6.676617289707049
14,6.676085989263267,6.67576964936374
15,6.656985645303576,6.669877482592703
16,6.710253252164891,6.698488811606276
17,6.698471867612233,6.722171093365387
18,6.684263425495448,6.736131877407526
19,6.665469807143367,6.747918247451214
20,6.659403230216061,6.650603785065676
21,6.673209519653741,6.645487811401757
22,6.681718944500208,6.71367257311054
23,6.68441167711708,6.709005219374411
24,6.67550015231221,6.646740803749382
25,6.661708758240538,6.677944559785632
26,6.652412085236046,6.673782636202998
27,6.652013908456621,6.635611015110019
28,6.649542006323898,6.7219391630175345
29,6.645975163348919,6.721086458204746
30,6.6477178106060135,6.788462071485471
31,6.651141358838321,6.794677633103546
32,6.658581387216461,6.802743518466312
33,6.665767649019375,6.81029955490473
34,6.655323236739954,6.81765089567165
35,6.6607232367284945,6.818594044146769
36,6.662003795379246,6.816275987714999
37,6.657755920277485,6.841756325876922
38,6.673914955157913,6.837859359975327
39,6.670388654990838,6.856297778828265
40,6.647264212055518,6.828146904917544
41,6.630568861681154,6.824710669043093
42,6.637074274733229,6.78559093189116
43,6.6510176747532395,6.671429464873556
44,6.664975966741286,6.700512893768329
45,6.669561124827782,6.72941128792138
46,6.668684569781263,6.791459411432239
47,6.6689260161183475,6.759759979614422
48,6.667517666091672,6.7566361287981715
49,6.6649977390414215,6.756606659865112
50,6.665818678860372,6.754222657587084
51,6.661096265241573,6.720362186991064
52,6.674697865768655,6.743758663329377
53,6.664262563497018,6.789641222281523
54,6.659809276561418,6.788237301679952
55,6.653201819598087,6.805475249509322
56,6.65900504866579,6.80437423335443
57,6.647588603737463,6.7850564920558885
58,6.600573046815747,6.716524247478587
59,6.617306296845496,6.7007371741623745
60,6.61440822419771,6.71657941770138
61,6.623072924813738,6.681182754941851
62,6.628318701419614,6.714846285049665
63,6.627558448366056,6.71768342595075
64,6.629100317627914,6.722600088969929
65,6.636799746645856,6.676651637364539
66,6.638192654794407,6.678660885227515
67,6.663210625225972,6.685251759471619
68,6.655321267645033,6.707752652457285
69,6.630667434440515,6.736654824225794
70,6.6404734313287825,6.627869209643369
71,6.6191186462889,6.657638174942715
72,6.608868074557321,6.644861137314954
73,6.595873385409056,6.641552832590525
74,6.583410267806092,6.687766090223947
75,6.576270675760085,6.71114546597463
76,6.570920669456183,6.710404103204066
77,6.573683448504491,6.761325118056105
78,6.588178004034093,6.709348194898657
79,6.565125371416499,6.710343448305115
80,6.555929656478118,6.706572548026639
81,6.527823990363879,6.696712784906028
82,6.523308578377271,6.698618671297639
83,6.511744944632696,6.697666798152629
84,6.49898560044542,6.6941109837239425
85,6.48619570722927,6.6888326020961735
