,Kampala,Soroti
0,5.682328731918932,5.722318971851242
1,5.8162156113416374,5.779300962010302
2,5.970263159670798,5.934618135666965
3,5.950101940264485,6.056455533668441
4,5.959476692203088,6.052053768235239
5,5.967570824954286,6.044489561326891
6,6.011498977321014,5.993799400221612
7,6.04907800364661,6.00134660082542
8,6.40700251050163,5.716820491491519
9,5.343673231661951,5.53261792194791
10,5.372561740665815,5.372561740665815
11,5.366831366827636,5.422704208118649
12,5.423792202869158,5.418839245740309
13,5.621333221193991,5.520357303853989
14,5.489861762984013,5.417449185415537
15,5.340009551229958,5.354824637015098
16,5.281513535114885,5.342936347741292
17,5.20226833320351,5.157147897923041
18,5.218853721469302,5.149173800831313
19,5.1489231087502825,5.146349104755109
20,5.222295398136079,5.222295398136079
21,5.209309680112678,5.144123700227983
22,5.112512658376181,5.149262200584922
23,5.117816535418485,5.149232731651864
24,5.272618116662868,5.1722953950349995
25,5.15217261741026,5.179917146043915
26,5.059852699520237,5.178569006359618
27,5.1672225983747015,5.126191201696839
28,5.123795709372973,5.047672013900172
29,5.039616508713424,5.039616508713424
30,5.111724038485514,5.111724038485514
31,5.112569262035685,5.029877546190572
32,5.115661861135165,4.998536503897752
33,5.108205107490402,4.913103824050048
34,4.615789814822916,4.666220668449808
35,4.549307094916364,4.549307094916364
36,4.653708297357598,4.649584580173736
37,4.594578261602748,4.637137876021543
38,4.56091921874176,4.514828111541494
39,4.615308879366691,4.562665145881269
40,4.802639924875964,4.705910298417414
41,4.9483758808064,4.706655943919254
42,5.037327715400159,4.723078615563656
43,5.05496052587285,4.944059829839408
44,5.014513321173723,4.949208222765956
45,5.096200574330849,5.019239533194721
46,5.15898161919944,5.029341970386531
47,5.10420593332871,5.109427877309861
48,5.326166783174299,5.270238230515075
49,5.311310720839797,5.400438500735804
50,5.1011077916433765,5.223509773156054
51,5.369189903159008,5.210398843775247
52,5.615633954984768,5.528341086086172
53,5.607646730880788,5.523180964090592
54,5.523688078347364,6.016729375660117
55,5.54764711093454,5.803827158986369
56,5.629212324591822,5.532984292497268
