,Soroti,Kasese
0,5.632550871001215,6.2314759892196685
1,5.791608808453554,6.200955643093525
2,5.862824867282645,6.09914651097741
3,5.927802490107859,6.13484572968216
4,5.919009075587126,6.103526461190315
5,5.822576736495707,6.215155640961727
6,5.7967794350841455,6.225378646200745
7,5.630280035160463,6.226016364544902
8,5.430325348723161,6.228437709889332
9,5.407508770743049,6.229377816873995
10,5.30802271951776,6.22409046109107
11,5.366866266073148,6.22066563825476
12,5.41348878419944,6.213780602210712
13,5.324971673865417,6.280316604863661
14,5.342936347741292,6.246378937137598
15,5.289075440965589,6.199506340881629
16,5.154315200331731,6.151358447078277
17,5.076987976957607,6.0930990441139725
18,5.1529607047350146,6.039056534663201
19,5.214152304588466,5.763362171362772
20,5.149262200584922,5.842409381144868
21,4.993362360945079,5.8423799122118085
22,5.187258267711711,5.807282233814959
23,5.039616508713424,5.61053185190278
24,5.111724038485514,5.563709162228571
25,5.029877546190572,5.636013349760887
26,4.831482419234586,5.524629599794531
27,4.829302722690667,5.383910988895467
28,4.767474402154981,5.453186604227408
29,4.770614098423273,5.176079206531437
30,4.649584580173736,5.628345580121404
31,4.637137876021543,5.693190550270857
32,4.630512510540956,5.7981176706960165
33,4.6322584376804645,5.902868399800893
34,4.8908326369114254,5.77411707231741
35,4.898050796918883,5.491199404962388
36,4.89896928202732,5.8569590430692235
37,4.853675768371139,5.860350561713563
38,4.862754414789935,5.724754935092968
39,4.901099290890496,5.858340626377746
40,5.029341970386531,5.957985470227687
41,5.109427877309861,5.978801689396265
42,5.1775794000323705,5.96338541107502
43,5.165598909658404,5.920523449914592
44,5.193098072738031,6.033927825468742
45,5.210398843775247,6.028024938730174
46,5.269517842096371,6.074351221965816
47,5.265551236705213,6.014149721801372
48,5.523688078347364,6.071123447725916
49,5.322017027050325,6.215646277211257
50,5.532984292497268,6.096919741577207
