,Mbale,Busia
0,5.380096300829159,5.36207779532648
1,5.315108037028888,5.28363414666162
2,5.24560092612969,5.405565575822368
3,5.28347200357132,5.385648973011552
4,5.291061483717872,5.463674226384866
5,5.334696527843346,5.477292535162619
6,5.492372641406479,5.534768200374164
7,5.5871529054176285,5.637730380161156
8,5.55801951760426,5.616097471738887
9,5.518558680276081,5.6194157628448895
10,5.458544154826388,5.634434821290053
11,5.426834949349819,5.469654946532747
12,5.404544618028637,5.456208999440352
13,5.454821743197266,5.4980504777480865
14,5.529090150862232,5.6144753223593185
15,5.532587026491551,5.574993019280119
16,5.554161960903257,5.571987744855858
17,5.6617284787816615,5.665746161968274
18,5.73312151298501,5.61794312996396
19,5.757206829097955,5.6592902186260625
20,5.732843320098814,5.657481000326382
21,5.704078414783624,5.732630316712065
22,5.685238653062714,5.756137415357606
23,5.687940930497865,5.714467684831294
24,5.722318971851242,5.727483129399476
25,5.874231226657774,5.869151850657754
26,5.999119475863482,5.998561595793225
27,5.996356259907167,5.959988615736292
28,5.991297558814167,6.002421144032829
29,5.983435180334269,6.0187784503382575
30,6.022404210803276,6.03479995022846
31,5.938288464858283,6.074183924777686
32,5.629472606775861,5.659705617436055
33,5.373399411927151,5.528147641817006
34,5.372561740665815,5.460618596056998
35,5.368581761113166,5.439461623410591
36,5.526976439104388,5.525192317310887
37,5.567445339952891,5.5759271550088
38,5.467556005469715,5.540051507507869
39,5.294200015198664,5.377670905866268
40,5.399799209635835,5.3681477670877875
41,5.221686419060612,5.2868257212315735
42,5.151747804826485,5.198209393888956
43,5.147636934939538,5.28116832756406
44,5.1529607047350146,5.241253311880692
45,5.138928883350879,5.240375499687569
46,5.149262200584922,5.223738293486406
47,5.149232731651864,5.209250741378117
48,5.144268082780344,5.3214082808323
49,5.139302426889725,5.237904403694265
50,5.132759470328324,5.161002682641719
51,5.126191201696839,5.157121502388198
52,5.123795709372973,5.17731166271308
53,5.039616508713424,5.136990672738601
54,5.106418986255821,5.163281848150364
55,5.088471710456624,5.123095675022673
56,5.072644476051474,5.136495948038006
57,5.067713746135665,5.123953464458541
58,4.852632210495289,4.710315988315033
59,4.576458083982315,4.709989476606838
60,4.603064564538843,4.674075600182032
61,4.637137876021543,4.677959870541799
62,4.630512510540956,4.630512510540956
63,4.562665145881269,4.653049207349539
64,4.74422916271955,4.897305151417043
65,4.752465479950549,4.981561429792054
66,4.943140500340458,5.031693897681903
67,4.944059829839408,5.035434103522495
68,4.949208222765956,5.042843827799949
69,5.127453117834954,5.111948931298989
70,5.131306897043219,5.131306897043219
71,5.135136234020068,5.145237330006572
72,5.279048860197229,5.326166783174299
73,5.289896626335981,5.281200919368427
74,5.286030130137388,5.315883093287069
75,5.27784012457078,5.49049406921397
76,5.61253317730652,5.6431166006786
77,5.609203151428446,5.591947821337684
78,5.6081538451375605,5.533806208512949
