,Kamembe,Kigali
0,6.002764318330901,5.927277427193226
1,5.950063258882491,5.90822561402794
2,5.913286848401468,5.9270485334741485
3,6.008843422925059,5.9172184276019175
4,6.083340281377958,5.9154805752237865
5,6.110012869741412,5.897768282533173
6,6.043120302970567,5.89938549465219
7,5.915727360489298,5.915727360489298
8,5.980944674098517,5.884104104839399
9,5.934649562188009,5.900033324337312
10,5.953098566656013,6.108676798474456
11,5.920779329252172,6.1067956465374875
12,5.938681223365733,6.083262452176841
13,6.051144921572411,6.0973959392231665
14,5.990472439409617,6.098276775016104
15,6.048502540783727,6.121226127128531
16,6.060320959369367,6.131955303488407
17,6.082332963151574,6.137087596869932
18,6.087586893029941,6.135424222444101
19,6.087828339367025,6.147040198998871
20,5.966518510249041,6.1678032677507515
21,5.961743790811702,6.1353745693079285
22,5.947367927319533,6.120536102127001
23,5.884663982208585,6.070197103384754
24,5.928085837307651,6.188511945939813
25,5.918735722337301,6.220618544647809
26,5.9655757297892515,6.121278000307929
27,5.945807822725435,6.194666454094312
28,5.987410426491579,6.114390555628879
29,5.791782436978431,6.107145710389409
30,5.643575735241475,6.096527509615628
31,5.66841395188991,5.95832567966896
32,5.667230462478968,5.948951265414249
33,5.669014842810803,5.859684103370586
34,5.599089511762149,5.704450027419975
35,5.630890281262055,5.699985711592233
36,5.637645962553383,5.7073554231071855
37,5.6382727933029635,5.7126011997130615
38,5.776417385708099,5.712417802875138
39,5.743441589368264,5.709347378025289
40,5.773881088446245,5.712150413001078
41,5.720749849060107,5.7685789367499885
42,5.7491633042758945,5.806321718115843
43,5.697430083265733,5.714974392916642
44,5.683133371449232,5.778715697125422
45,5.677690066450933,5.919927276580723
46,5.636156576181714,5.70804380569503
47,5.651380229421331,5.68850401729553
48,5.639541451558705,5.827942054429041
49,5.665345961715921,5.95376740573558
50,5.721440569652407,5.997213569656061
51,5.697584887052424,5.936512306067896
52,5.616632357291462,6.052946940839047
53,5.678284502467673,6.0493481838585055
54,5.616044816719354,6.049909399349216
