,Kamembe,Ngozi
0,6.002764318330901,6.083595854626639
1,5.950063258882491,6.278549747862325
2,5.913286848401468,6.277044715576592
3,6.008843422925059,6.265595796077003
4,6.083340281377958,6.281201403477482
5,6.110012869741412,6.075748554299915
6,6.043120302970567,6.077610732578964
7,5.915727360489298,5.89961513316127
8,5.980944674098517,6.018392984072269
9,5.934649562188009,5.95475143657423
10,5.953098566656013,6.059859588631684
11,5.920779329252172,6.149972230191106
12,5.938681223365733,6.143099350156119
13,6.051144921572411,6.229229698805654
14,5.990472439409617,6.228869104423331
15,6.048502540783727,6.229294545621591
16,6.060320959369367,6.319924866041962
17,6.082332963151574,6.237235662910681
18,6.087586893029941,6.243342928811339
19,6.087828339367025,6.24830284061415
20,5.966518510249041,6.254981189231674
21,5.961743790811702,5.93648210791234
22,5.947367927319533,5.93868912606712
23,5.884663982208585,5.871986130189663
24,5.928085837307651,5.872393469021647
25,5.918735722337301,5.801812236955429
26,5.9655757297892515,5.865792788148753
27,5.945807822725435,5.719727094610259
28,5.987410426491579,5.643382971643061
29,5.791782436978431,5.5646538286159455
30,5.643575735241475,5.567933976927659
31,5.66841395188991,5.739145179503344
32,5.667230462478968,5.883119626063513
33,5.669014842810803,5.8892268125399205
34,5.599089511762149,5.676875716929893
35,5.630890281262055,5.767163274813551
36,5.637645962553383,5.768670592030551
37,5.6382727933029635,5.917726034587793
38,5.776417385708099,5.908180115972894
39,5.743441589368264,5.968201480598184
40,5.773881088446245,5.9068882957854605
41,5.720749849060107,5.9068882957854605
42,5.7491633042758945,6.024504345490049
43,5.697430083265733,6.018907569523006
44,5.683133371449232,5.898069736281122
45,5.677690066450933,5.901934983382253
46,5.636156576181714,5.894725429555528
47,5.651380229421331,6.111845806410822
48,5.639541451558705,6.105520464663054
49,5.665345961715921,6.092602194811349
50,5.721440569652407,6.090356517873804
51,5.697584887052424,6.090018822849641
52,5.616632357291462,6.15223723321203
53,5.678284502467673,6.081504425209332
54,5.616044816719354,5.994140488272787
