,Tororo,Kampala
0,6.296387032703314,6.549089386259069
1,6.320586014466734,6.57731738494635
2,6.344213214797799,6.508516266089075
3,6.363161473397284,6.5350117303239434
4,6.481904996602015,6.671906240070198
5,6.429551051454128,6.609243981810443
6,6.1874863909384645,6.615933575438553
7,6.2517202319590135,6.429005350510378
8,6.357125011186533,6.477066337580395
9,6.342784438973655,6.415933580826795
10,6.3932870748988515,6.41956825017436
11,6.388736192476026,6.413894752112181
12,6.47410698873742,6.5409626921290025
13,6.512793301594033,6.556107830249778
14,6.547504969030527,6.608326833396764
15,6.541587156469973,6.577396609166684
16,6.441994004612874,6.398114045424532
17,6.374409866289913,6.381882860752918
18,6.294226504471901,6.434986174328529
19,6.289492503883714,6.500073397992073
20,6.394385161243428,6.509105407369265
21,6.540097754301309,6.612564378292032
22,6.577578956256621,6.61245173027075
23,6.6115778845739985,6.607299149439882
24,6.638905517956219,6.745817624305464
25,6.641214923006386,6.774305041813348
26,6.825240168977693,6.8258503343514345
27,6.834685450311611,6.821446658547321
28,6.843377829081585,6.829929019268972
29,6.848876293235224,6.822144105081133
30,6.55213886379743,6.487855737885357
31,6.319800331943955,6.424615244241879
32,6.32383068556651,6.357738960360644
33,6.367735363778243,6.4321771310093
34,6.368444483235205,6.471522643595779
35,6.363348068111329,6.467893350509074
36,6.402890709992056,6.474676016540806
37,6.39953937633255,6.498616292278132
38,6.51408323407154,6.618651356660965
39,6.510595339523157,6.606987185198222
40,6.421128797400659,6.390068687798257
41,6.29596660706919,6.372593103411213
42,6.203880881695268,6.297843655052759
43,6.222371379818112,6.337612621164375
44,6.296693428683594,6.404257397307855
45,6.286661969353938,6.393921507173515
46,6.293222309231491,6.420267192626407
47,6.338144228160699,6.440989810081778
48,6.493716170514268,6.563914749160479
49,6.524300611548169,6.597736688584924
50,6.520355067806187,6.604789438391978
51,6.644707197559189,6.719797648914258
52,6.542805529109412,6.724293251975721
53,6.30130810535935,6.376134705826333
54,6.00530430091895,6.141810678834342
55,6.022433748000113,6.154170225733569
56,6.06290222022528,6.134606957780981
57,5.986883014610757,6.128450955290582
58,6.050321702162092,6.131779170741259
59,6.0338106882295675,6.115762704359025
60,6.0801275808179795,6.22424496797063
61,6.1204853011356875,6.2386891236697295
62,6.126011951115102,6.288082666972602
63,6.024536245390805,6.223781017326023
64,5.911409693228261,6.138293314353324
65,5.921652255211821,6.146186949806263
66,5.924889082851135,6.148032634165344
67,6.0478205114340655,6.154407268815136
68,6.146022698829527,6.309652122611329
69,6.246782991763333,6.373813365371398
70,6.253849702009266,6.418604935085321
71,6.359961571765939,6.446507810833791
72,6.372508573657649,6.445987944428703
73,6.364233547174291,6.546800532856457
74,6.530603093066148,6.596983860325174
75,6.496239502871641,6.611633926220768
76,6.385439196322043,6.466583346997119
77,6.468615407132018,6.547946551878453
