,Soroti,Kampala
0,6.372391869941915,6.456406483124705
1,6.370640577278522,6.433756537325549
2,6.5257701407738695,6.444134157483775
3,6.55629087456297,6.411815898740327
4,6.620651652486489,6.6167693122360465
5,6.612455971419808,6.609154152421307
6,6.62002426828871,6.651157472929973
7,6.561597107918934,6.598349920832463
8,6.006536024298302,6.528490626350559
9,6.227102299052104,6.122483898456167
10,6.066754399627313,6.177429919199405
11,6.062777709467196,6.219172051891497
12,6.116445190189492,6.221904564035328
13,6.083029640271961,6.21706955057843
14,6.02178675077425,6.260786644586643
15,5.971031784621603,6.25757878317172
16,6.033953602043412,6.0959569293486515
17,6.070356963259788,6.490122621510149
18,6.040939431857416,6.202083936018567
19,5.976565227858021,6.199259239942363
20,6.039056534663201,6.20072944042185
21,6.027762768991995,6.085991273891787
22,6.036262135538013,6.093007630923488
23,6.03517053161397,6.091974649613189
24,6.056934684361107,6.110455785799122
25,6.026148339663316,6.083188164709767
26,6.02159335596944,6.079821860869233
27,5.9515600169992435,6.123893015909692
28,5.882789455730505,6.119565155834772
29,5.875485673277005,6.085738614760137
30,5.871391901387022,6.056185647326365
31,5.864783674282612,5.909885772883303
32,5.650923325118823,5.899323049235942
33,5.51894727269941,5.840267704300021
34,5.407377068196114,5.649097005083259
35,5.463761278983219,5.467431007872181
36,5.444781015087852,5.628345580121404
37,5.433142442021197,5.526399935507779
38,5.427338120575742,5.689119464595366
39,5.529888746837217,5.69957371962666
40,5.554323607888483,5.700318809555521
41,5.5847254629732115,5.778881477414169
42,5.63319648833073,5.824251725093439
43,5.6372070103993535,5.860350561713563
44,5.639283204288931,5.798257397085895
45,5.6565719346482695,5.789347754890795
46,5.6821378554229085,5.865071969663276
47,5.68966295244802,5.870525719778315
48,5.645760982008161,5.948900478153654
49,5.634376297180895,5.856292101256782
50,5.630509800982303,5.783783672336026
51,5.617413138870241,5.841175693608735
52,5.694485193435976,5.9040897218658595
53,5.691277529953199,6.012072877856533
54,5.766301865397439,6.016729375660117
55,5.833672182178691,6.017236747212243
