,Soroti,Masindi
0,5.635845373847415,6.127784079959406
1,5.632550871001215,6.124489577113207
2,5.791608808453554,6.121292687066978
3,5.862824867282645,6.1151308672858455
4,5.927802490107859,6.354883688438217
5,5.919009075587126,6.3454359953062385
6,5.822576736495707,6.354372984576003
7,5.7967794350841455,6.226266351540886
8,5.630280035160463,6.124503715111705
9,5.430325348723161,6.122483898456167
10,5.407508770743049,6.322586646191995
11,5.30802271951776,6.3185081821123745
12,5.366866266073148,6.317699905974179
13,5.383759991607632,6.310436724590128
14,5.41348878419944,6.3089287205934035
15,5.324971673865417,6.159197452685268
16,5.342936347741292,6.09294639019578
17,5.289075440965589,6.096754435110813
18,5.154315200331731,6.096423615231827
19,5.076987976957607,6.0930990441139725
20,5.1529607047350146,5.694091677996334
21,5.214152304588466,5.680526165783623
22,5.149262200584922,5.842409381144868
23,4.993362360945079,5.839799265618317
24,5.187258267711711,5.839995909933781
25,5.179917146043915,5.900059830945873
26,5.178569006359618,5.896287447650069
27,5.126191201696839,5.57770024830641
28,5.047672013900172,5.575304755982544
29,5.039616508713424,5.566226000180676
30,5.111724038485514,5.563709162228571
31,5.029877546190572,5.5458622527665895
32,4.831482419234586,5.524629599794531
33,4.829302722690667,5.6625158431961315
34,4.767474402154981,5.5559317625192515
35,4.770614098423273,5.558402786077907
36,4.649584580173736,5.5407693909168145
37,4.637137876021543,5.533225900578179
38,4.630512510540956,5.832803228683907
39,4.6322584376804645,5.839586949853373
40,4.8908326369114254,5.84284145138766
41,4.898050796918883,5.848587107306206
42,4.89896928202732,5.8569590430692235
43,4.853675768371139,5.349524937947573
44,4.862754414789935,5.356716232503921
45,4.901099290890496,5.347515002611756
46,5.029341970386531,5.3544504483574284
47,5.109427877309861,5.361320841910057
48,5.1775794000323705,5.560130248617659
49,5.165598909658404,5.547922489204874
50,5.193098072738031,5.544055993006281
51,5.210398843775247,5.533492954450284
52,5.269517842096371,5.528341086086172
53,5.265551236705213,5.519785375089453
54,5.523688078347364,5.688915201782019
55,5.322017027050325,5.6922920157620975
56,5.532984292497268,5.705720210627866
