,Arusha,Nairobi
0,5.3161332504449055,5.727903134516193
1,5.313708138404248,5.702948076089333
2,5.30891085511358,5.705047593937068
3,5.731657082610951,5.691551291576417
4,5.7245594047698205,5.681257740805567
5,5.721962954176504,5.677805050045487
6,5.617142605034944,5.676002241356694
7,5.400440642658901,5.694302727663336
8,5.399964071637734,5.691557362555356
9,5.39768511652383,5.689500550827232
10,5.296231023149782,5.684271226021658
11,5.291335463523213,5.7094492130658265
12,5.395121450512922,5.7062888645816825
13,5.3918837370684916,5.702791461199394
14,5.357856917668446,5.702404629927838
15,5.39836341672408,5.636358540284409
16,5.403761418458451,5.636305997421883
17,5.43679595632625,5.634025999511198
18,5.44444472114339,5.631754950138386
19,5.534579538846854,5.691548031855556
20,5.649944168589701,5.684113305838485
21,5.75282669928617,5.678747489279642
22,5.794338779709701,5.673393650962927
23,5.827777437084094,5.666840644768128
24,5.869704669993074,5.6555892258743565
25,5.930973454855508,5.637504712496552
26,5.986426665467563,5.756644175719524
27,6.031250271040776,5.918685313466101
28,6.11528598802862,5.952268704618338
29,6.111559480006191,5.9389513681883095
30,6.268523178429757,5.935226184175415
31,6.261541545051247,6.037439516238821
32,6.1877713548258875,6.043448405287259
33,6.183889545754441,6.0484778753471
34,6.006220888349961,6.147326547331649
35,5.7846371836482176,6.09409885631993
36,5.497595701740491,6.0093684917455406
37,5.514044262101511,6.045955241352255
38,5.499299789558962,5.951169348546963
39,5.4992076023025565,5.957432935276257
40,5.412854321800954,5.838868489147492
41,5.408898442850501,5.789942314452403
42,5.380760254795821,5.830468460863813
43,5.54110921613512,5.722114475353969
44,5.53579587677543,5.735793228107389
45,5.4499121698897035,5.618234964950236
46,5.259386746576515,5.6110414513169395
47,5.3430828702914175,5.5891451194912865
48,5.34498329758997,5.60878098707073
49,5.391339105961063,5.576448073861501
50,5.253218435175246,5.593345855903224
51,5.031718853651894,5.569670359017267
52,4.900092483650358,5.4888778881188385
53,4.902001142312378,5.459460796833347
54,4.901519197262282,5.436557075662312
55,4.739282205158855,5.438673283148107
56,4.9023315780284715,5.284324379361271
57,4.969585316326035,5.214531237636422
58,5.029941707869589,5.210916764411365
59,5.028424999593834,5.207282627478537
60,5.025798518342362,5.303447292269301
61,5.136507602734529,5.191622332581704
62,5.188366307921746,5.3583460022397995
63,5.218885617578165,5.371993093906342
64,5.184950383554069,5.416344927098195
65,5.114944618859133,5.4267273868554975
66,5.1628664932766215,5.37882122126736
67,5.1313885312131235,5.301672348210398
68,5.128853674501414,5.400289637619711
69,5.141140312830274,5.407137892891147
70,5.2216896097719925,5.570751928922461
71,5.240051789536639,5.57607355855524
72,5.213997725698514,5.5830140756979105
73,5.3096563986669185,5.7321955625862575
74,5.685438107137704,5.746629404694002
75,5.746956373572211,5.813529536407596
76,5.686171358715641,5.813816010033001
77,5.807795590512352,5.74005315666646
78,5.688434236107429,5.759364169368541
79,5.8231600757326785,5.7214621011750655
80,5.766461912362339,5.722984032857879
81,5.777758201997086,5.713122016246839
82,5.792303295626933,5.626878299010426
83,5.871977938997037,5.645938088041276
84,5.808464115211822,5.631963517254477
85,6.042551197210232,5.642436958473532
86,5.823283862802259,5.6137081930822825
