,Kampala,Arusha
0,5.3845506511785395,5.3161332504449055
1,5.1937148154921715,5.313708138404248
2,5.307425308138028,5.30891085511358
3,5.356531574440825,5.731657082610951
4,5.425347422518691,5.7245594047698205
5,5.413154735328748,5.721962954176504
6,5.448326518888029,5.617142605034944
7,5.509585207304187,5.400440642658901
8,5.477387842636589,5.399964071637734
9,5.514758004367279,5.39768511652383
10,5.606639793091126,5.296231023149782
11,5.606502980345127,5.291335463523213
12,5.518558680276081,5.395121450512922
13,5.4923782278421704,5.3918837370684916
14,5.457606608016572,5.357856917668446
15,5.4244927860608865,5.39836341672408
16,5.470758335460079,5.403761418458451
17,5.627181973628433,5.43679595632625
18,5.554465747867358,5.44444472114339
19,5.605005513884532,5.534579538846854
20,5.694206580903874,5.649944168589701
21,5.758867694182038,5.75282669928617
22,5.823641598941343,5.794338779709701
23,5.769210964269688,5.827777437084094
24,5.587818608667763,5.869704669993074
25,5.7164555007664255,5.930973454855508
26,5.687172586241856,5.986426665467563
27,5.682328731918932,6.031250271040776
28,5.970263159670798,6.11528598802862
29,5.950101940264485,6.111559480006191
30,5.959476692203088,6.268523178429757
31,5.967570824954286,6.261541545051247
32,6.011498977321014,6.1877713548258875
33,6.04907800364661,6.183889545754441
34,6.40700251050163,6.006220888349961
35,5.343673231661951,5.7846371836482176
36,5.372561740665815,5.497595701740491
37,5.366831366827636,5.514044262101511
38,5.423792202869158,5.499299789558962
39,5.621333221193991,5.4992076023025565
40,5.489861762984013,5.412854321800954
41,5.340009551229958,5.408898442850501
42,5.112512658376181,5.380760254795821
43,5.117816535418485,5.54110921613512
44,5.272618116662868,5.53579587677543
45,5.15217261741026,5.4499121698897035
46,5.059852699520237,5.259386746576515
47,5.1672225983747015,5.257175820927511
48,5.123795709372973,5.25021947087972
49,5.039616508713424,5.3430828702914175
50,5.111724038485514,5.34498329758997
51,5.112569262035685,5.391339105961063
52,5.115661861135165,5.253218435175246
53,5.108205107490402,5.031718853651894
54,4.615789814822916,4.900092483650358
55,4.549307094916364,4.902001142312378
56,4.653708297357598,4.901519197262282
57,4.594578261602748,4.739282205158855
58,4.56091921874176,4.9023315780284715
59,4.615308879366691,4.969585316326035
60,4.802639924875964,5.029941707869589
61,4.9483758808064,5.028424999593834
62,5.037327715400159,5.025798518342362
63,5.05496052587285,5.136507602734529
64,5.014513321173723,5.188366307921746
65,5.096200574330849,5.218885617578165
66,5.15898161919944,5.184950383554069
67,5.10420593332871,5.114944618859133
68,5.326166783174299,5.1628664932766215
69,5.311310720839797,5.1313885312131235
70,5.1011077916433765,5.128853674501414
71,5.369189903159008,5.141140312830274
72,5.615633954984768,5.2216896097719925
73,5.607646730880788,5.240051789536639
74,5.523688078347364,5.213997725698514
75,5.54764711093454,5.3096563986669185
76,5.320824344947255,5.685438107137704
77,5.2944760673529565,5.746956373572211
78,5.39421279650503,5.686171358715641
79,5.459953203059609,5.807795590512352
80,5.52756483500613,5.688434236107429
81,5.529286197320713,5.8231600757326785
82,5.576072020033621,5.766461912362339
83,5.656309786163976,5.777758201997086
84,5.667632569042072,5.792303295626933
85,5.698624413799216,5.871977938997037
86,5.357169421755842,5.808464115211822
87,5.383303193424278,6.042551197210232
88,5.327866695514615,5.823283862802259
