,Gulu,Masindi
0,6.281089093774321,6.372391869941915
1,6.28032944653131,6.393507427294286
2,6.405513693022968,6.449836239932684
3,6.519273661151749,6.442286155887745
4,6.550593704745909,6.438389706434408
5,6.6127555968902145,6.612455971419808
6,6.62002426828871,6.62002426828871
7,6.52673237592274,6.365989714413329
8,6.529804686986427,6.4527123174634795
9,6.094397799582862,6.6327158742379675
10,5.939917966176214,6.6342506833302615
11,5.939080996020765,6.62896068518407
12,5.934222491583547,6.627369672143493
13,5.705650631037101,6.620159360657688
14,5.8578693085572775,6.618651356660965
15,5.986789004284445,6.58143835029827
16,5.976920603642268,6.570147672170397
17,6.201313026106578,6.574369305791731
18,6.095423615148493,6.574019539333248
19,6.035469931277337,6.569954148308811
20,5.771605357997039,6.202077452308745
21,5.9995307093644445,6.193168320476011
22,6.036262135538013,6.293222309231491
23,6.0362326666049535,6.293192840298432
24,6.0317232650146115,6.290808838020404
25,6.025080533902487,6.327872237746034
26,6.02159335596944,6.323362040091088
27,6.011644827736443,6.357025125107407
28,6.009249335412577,6.354629632783541
29,6.002530556671921,6.500475312463859
30,5.999027233486417,6.49934027686332
31,5.919375761068152,6.36684280483642
32,5.608430701153913,6.347147431183248
33,5.615851078339013,6.340348788783034
34,5.641398737657507,5.866086690823091
35,5.647919383584474,6.050321702162092
36,5.58713531147474,6.0338106882295675
37,5.328199550090468,6.264743092411093
38,5.329945477229976,6.259917808488924
39,5.331688361419905,6.266593901736292
40,5.437376343279495,6.2689769936693915
41,5.439999923605536,6.27462060814678
42,5.453966124106448,6.1471133046663935
43,5.349524937947573,6.096739339777794
44,5.356716232503921,6.049863413063866
45,5.175118084318262,6.094729404441977
46,4.953058665636901,6.099299003294265
47,4.951798933106279,6.107682547035447
48,4.769684157070914,6.105453272996156
49,4.760133801550239,6.285230565550589
50,5.09063649177608,6.280563749181227
51,5.150500702194178,6.292598102802026
52,5.326919357918798,6.308006842048808
53,5.423454266151022,6.339744998025177
54,5.833164810626566,6.345481858979227
55,5.833672182178691,6.344497805944682
56,5.83803024778327,6.359873281253265
57,5.8509916339755135,6.3623061357761745
58,5.7088856027066575,6.032433588346935
59,5.674188679358706,6.033179779515269
60,5.673236806213697,6.0322279063702595
61,5.703672152090274,6.029250595280933
62,5.55396900920264,5.843278421313797
63,5.694800635798286,6.021947850459032
64,5.695617170683403,6.021978097700296
65,5.696429779953402,6.019977765593679
66,5.437964891650919,6.025751556553039
67,5.480370847779199,6.020383092631721
68,5.48279563487325,6.022370671925227
69,5.529209803476454,5.903282199176756
70,5.528905376261507,5.902977771961809
