,Owino,Busia
0,6.425219904546283,6.318462984402514
1,6.55895576741423,6.337440950762077
2,6.502364627366297,6.316188099802063
3,6.494874353063846,6.312043019468261
4,6.618277430407989,6.3872553915217
5,6.605846195190644,6.358921285335857
6,6.4525903644475,6.336599528487916
7,6.552406136343881,6.403138777787544
8,6.583306706487137,6.135943578426915
9,6.615933575438553,6.318066477928407
10,6.254477586647204,6.292744691025658
11,6.477066337580395,6.364133904030523
12,6.436759632406356,6.233923744733619
13,6.394081671682812,6.283766709015299
14,6.457941355652555,6.2642628327982495
15,6.541643195727906,6.279482992071245
16,6.556107830249778,6.318338482369976
17,6.589533478879123,6.419610623769823
18,6.5743119407576085,6.4160879355427145
19,6.398114045424532,6.319295131018286
20,6.273557312836522,6.168196797178696
21,6.300161239991715,6.188487988431572
22,6.461141600786897,6.261066817385763
23,6.506716735358224,6.318982538170334
24,6.503766816133705,6.34400489913866
25,6.540788747110095,6.426697114685671
26,6.538853054717605,6.4436084680391446
27,6.638017812616077,6.5005031950970995
28,6.6359067418606585,6.536507788619762
29,6.751808050114444,6.542105035181455
30,6.750390632850896,6.573984859087074
31,6.798991123381322,6.566451950177369
32,6.795426603304579,6.626442213394548
33,6.477932645340147,6.320739745217466
34,6.275183266455148,6.2572799749626205
35,6.277598763045304,6.1697472348898375
36,6.37044067943786,6.304228302247334
37,6.451455080544969,6.324607257103773
38,6.447769105613445,6.366576585153397
39,6.4454039239282785,6.384156553993323
40,6.479296931875494,6.391725383085202
41,6.513422950125465,6.376299531708487
42,6.491903206511004,6.340108240376205
43,6.246809878751679,6.173066404506129
44,6.200410091507986,6.055848936770209
45,6.097921742852849,6.0010634591662155
46,6.222810650635631,5.998788364642731
47,6.341429322524985,6.138586130010234
48,6.286661969353938,6.13140875358258
49,6.293222309231491,6.139071629404233
50,5.9749443426336715,5.902397921938062
51,6.08959064733516,5.972560340355643
52,6.09620787791807,5.971310039734474
53,6.077799615488465,5.929703444569913
54,6.2691793717656585,5.982053627561884
55,6.065927672431015,5.944566815426748
56,6.00311230054583,6.015461771344169
57,5.93608511352962,5.970295975445936
58,5.737290303909339,5.730182953450687
59,5.7954405532111,5.732268964572776
60,5.85039437311795,5.701268829493364
61,5.864851360215098,5.735724872959848
62,5.869226387091382,5.732889943539251
63,5.852730596523678,5.756427367978361
64,6.023432237141434,5.752279466640863
65,6.014703821464067,5.835325298116617
66,6.020651435457276,5.843348709775264
67,5.84284145138766,5.717511210095894
68,5.847339446508051,5.6865081572831535
69,5.713477319591533,5.760906013162644
70,5.85911523110557,5.856639982317028
71,5.8667251963633555,5.844419438849058
72,6.040662183171701,5.912407847648022
73,6.047597628917374,5.9005644168589795
74,6.054468022470003,5.95560904299699
75,6.251620427969974,6.019313963734245
76,6.170044155741471,6.039841405289059
77,6.235529533008196,6.08777932027933
78,6.274307334435037,6.103159078239208
79,6.389061966805516,6.345259344147123
80,6.456945258824288,6.316250169677425
81,6.452777907140362,6.258334989814062
82,6.344497805944682,6.12786287825786
83,6.3903324887379735,6.065788822982034
