,Kamembe,Ruhengeri
0,6.346257022997133,6.515515485816363
1,6.255188069320304,6.518057033817434
2,6.154823380945268,6.521250074688369
3,6.159742208330838,6.526788713120543
4,6.042773208624642,6.528241392978615
5,6.043120302970567,6.527121795876571
6,6.0444959670451395,6.270001764617799
7,6.043398828931567,6.309820053884018
8,6.100006126870855,6.3051048091378945
9,6.256489932812973,6.438948204351826
10,6.248098183886897,6.430693375926778
11,6.338202777573049,6.423847100351146
12,6.411904215356539,6.4156784521236645
13,6.421148966864277,6.416990956715614
14,6.140935821940094,6.428153102377929
15,6.153501804480335,6.442110231792247
16,6.159666166554744,6.447115653821153
17,6.039446517702006,6.446658961568394
18,6.040736731833174,6.44550278363884
19,5.903780169615618,6.311640488449736
20,5.895246995341916,6.097670731682509
21,5.891147034475059,6.024075835939438
22,5.8858695278639335,6.0187983293283125
23,5.874018616037375,6.007248030703994
24,5.862250120202743,6.11356454848365
25,5.911991483655146,6.110992729647756
26,5.850939046591927,6.166741428388842
27,5.857831007394825,6.109684664591467
28,5.85133137678565,6.17168423152698
29,5.715401469812731,6.0002506791802075
30,5.714933967524803,5.932379497724375
31,5.724966553248536,5.859899487798347
32,5.7180867368032,6.111270160065494
33,5.798460661882215,6.10991513552814
34,5.699267578706793,6.210093202472783
35,5.828634410202692,6.21703425775667
36,5.863882437112367,6.222280034362545
37,5.8653361966561315,6.223243426641129
38,6.114812486133453,6.220750869475664
39,6.116167294932878,6.265752704328562
40,6.126214957168272,6.32505006800594
41,6.1175342879778185,6.317147341881834
42,5.874081712383829,6.115596876549018
43,5.806886574092119,6.083595967874424
44,5.783351741574972,6.050499211585045
45,5.853069577745288,6.103828296092471
46,5.842238117237573,6.0929968355847555
47,5.830464123861751,6.088751108629726
48,5.95376740573558,6.135719345079384
49,6.1696200310578195,6.150760019857685
50,6.254762640460417,6.159208329963582
51,6.077542376421421,6.186976217466884
52,5.959423476330518,6.197768188976779
53,5.93112586335925,6.049909399349216
