,Kamembe,Rubavu
0,5.98790204900966,5.74518311730401
1,5.8942718992540755,5.89075283403888
2,5.745182453800344,5.899918442394678
3,5.900901049243412,5.930995913042221
4,6.041636172187146,5.984085323282617
5,5.910786217851494,5.9242170766792706
6,5.908853020990589,5.870432929539245
7,5.911038020125913,5.996039937277953
8,5.907886438557325,5.992348544630131
9,5.860907057727357,5.989566770759652
10,6.039276262897065,5.9663437934060335
11,6.02454403925959,5.94885528903404
12,6.327715790077802,5.964998531683107
13,6.327670314523226,5.877659946578954
14,6.334514734891375,5.672550481768117
15,5.737791438939411,5.7138634852441745
16,5.748963051232302,5.568306773757408
17,6.039205129647183,5.71917618161065
18,5.90606501640655,5.753511781008449
19,5.906306462743634,5.78401688498536
20,5.56778743432222,5.813493322943517
21,5.344637572698077,5.593391776142832
22,5.330928655379493,5.468670580540359
23,5.325651148768367,5.506565245794442
24,5.316212783347193,5.497126880373267
25,5.352231273406693,5.52577788358153
26,5.302409381441243,5.521324596645931
27,5.293747502268011,5.520275151566461
28,5.346195994673276,5.56039275999768
29,5.296929524906737,5.142064814345821
30,5.256929398529727,5.307103498620262
31,5.224263701470508,5.69774156698443
32,5.144446549724103,5.22622286083673
33,5.299151024436736,5.301290062685486
34,5.188851124901327,5.244679574454269
35,5.135332129626853,5.130268827670307
36,5.194617752869569,5.011338800119288
37,5.14579630820517,5.140733006248622
38,5.306952694766974,5.197753402801982
39,5.52586908310351,5.228884617989416
40,5.305237078716549,5.35609549595004
41,5.313842779635041,5.360362795269934
42,5.3095068314194505,5.368595747789457
43,5.179697673286487,5.384858722050264
44,5.305714382026771,5.446045746453948
45,5.306277101088684,5.489326195201016
46,5.014896625135084,5.39301627935272
47,4.99243712663225,5.280119199084031
48,4.9823262802248225,5.452329909470558
49,5.099795438260684,5.444418887112604
50,5.254218583368548,5.476472850497874
51,5.241125482914446,5.465165493275693
52,5.243758235200941,5.544773838522187
53,5.143007782837518,5.5418503501851895
54,5.108300859490772,5.575094213106259
